date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,q.x
4/26/2003,39.5,92,0,12.45,45,4.27,15.6,2.1
6/4/2003,25.2,77,2.81,20.9,38,0,18.4,13
7/1/2003,38.5,33,1.74,21.7,39,3.8,23.6,2
7/28/2003,40.8,30,1.64,24.2,5,4.48,23.7,1.4
10/25/2003,43.2,13,1.87,13.5,23,4.38,10.7,0.74
1/12/2004,36.2,7.2,2.27,3.4,41,0,3.3,2.8
3/17/2004,41.9,5.6,2.41,13.25,31,4.71,12.1,2.1
5/1/2004,21.4,67,2.04,10.9,142,3.51,11.9,7.1
6/3/2004,36.5,20,1.24,20.05,14,4.45,20.1,4.3
6/29/2004,24.8,11,1.3,21.25,179,3.62,21.5,5.9
8/4/2004,25,22,1.17,24.95,73,0,24.8,6.5
11/6/2004,28.4,10,1.92,9,66,0,9,7.2
1/12/2005,22.1,17,2.24,2.9,75,4.47,3,6.5
3/17/2005,25.4,8.5,2.31,8.4,62,4.34,8.8,5
6/30/2005,8.98,609,1.47,23.25,541,1.92,24.8,11
7/21/2005,NA,51,1.43,24.35,309,2.49,26.2,4.4
8/19/2005,28.6,16,1.36,22.8,20,4,23.3,2.8
12/3/2005,27.2,9.2,2.14,2.9,58,4.37,3.6,5.7
1/14/2006,13.2,13,2.33,2.85,68,4.24,3.9,5.2
3/15/2006,23,9.5,2.42,8.35,42,4.59,9.8,6.5
5/16/2006,23.9,72,2.57,16.55,18,4.23,18.6,5
6/16/2006,36.4,14,1.41,21.9,25,3.9,18.9,2.6
7/13/2006,19.6,554,1.15,26.2,570,1.38,28,6.5
8/10/2006,28,13,1.51,25.2,19,4.32,23.4,1.6
11/20/2006,14.2,32,1.77,6.5,113,3.88,6.9,9
3/12/2007,13.9,48,2.39,10.25,268,3.97,11.3,24
5/18/2007,22.3,47,2.19,17.4,191,3.44,18.6,13
6/22/2007,19.6,14,1.75,20.6,141,3.43,23.9,7.5
7/24/2007,21.2,645,1.47,25.05,556,1.94,26.7,7
8/15/2007,17.3,21,1.47,26,81,0,25.3,10
11/18/2007,23.6,16,1.94,8.2,104,4.27,9.1,17
1/16/2008,22.8,25,2.21,1.55,114,4.27,1.5,15
5/21/2008,19.8,18,2.2,16.15,53,4.25,19.1,10
7/16/2008,22.9,592,1.21,22.8,605,1.72,25.7,9.3
11/21/2008,17.4,25,1.92,5.25,105,4.2,5,7
3/12/2009,17.8,11,2.31,7.2,84,4.22,4.6,6.1
6/25/2009,17,15,1.83,20.95,74,4.08,25,7.6
8/28/2009,22.4,12,1.61,22.85,96,3.87,22.6,11
1/6/2010,NA,22,2.28,2.6,131,4.21,2.3,27
3/19/2010,16.4,11,2.26,7.55,120,4.23,7.6,11
6/10/2010,20,18,2.06,21.05,46,4.17,23.6,11
8/12/2010,17.1,14,1.54,26,159,3.22,25.8,13
11/21/2010,25.7,3.5,2.05,6,65,4.38,7.6,5.7
3/8/2011,20.8,7.8,2.23,5.1,81,4.19,4.2,5.5
5/21/2011,23.5,11,2.4,15.6,25,4.39,18.8,5.8
8/16/2012,31,NA,NA,NA,NA,NA,NA,NA
