point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di
D101C,5/5/2003,8.02,41,2810,14.7,60,3940,16.4,0
D102C,5/5/2003,8.34,41,2810,14.7,56,3940,16.4,7.9
D104C,5/5/2003,14.8,41,2810,14.7,50,3940,16.4,24.9
D106C,5/5/2003,,41,2810,14.7,47,3940,16.4,38.9
D101C,6/4/2003,7.59,77,2810,20.9,153.06,0,18.4,0
D104C,6/4/2003,9.18,77,2810,20.9,153,0,18.4,24.9
D102C,6/10/2003,7.88,19,2530,19.3,98,3060,22.9,7.9
D106C,6/10/2003,12.2,19,2530,19.3,91,3060,22.9,38.9
D104C,7/1/2003,10.5,33,1740,21.7,31,3800,23.6,24.9
D104C,7/28/2003,12.2,30,1640,24.2,17.3,4480,23.7,24.9
D101C,10/25/2003,7.66,13,1870,13.5,28.7,4380,10.7,0
D102C,10/25/2003,8.8,13,1870,13.5,27,4380,10.7,7.9
D103C,10/25/2003,9.31,13,1870,13.5,27.8,4380,10.7,17.6
D104C,10/25/2003,13.8,13,1870,13.5,27,4380,10.7,24.9
D105C,10/25/2003,17.8,13,1870,13.5,25.6,4380,10.7,31.2
D106C,10/25/2003,23,13,1870,13.5,25.6,4380,10.7,38.9
D103C,1/12/2004,5.41,7.2,2270,3.4,38,0,3.3,17.6
D104C,1/12/2004,5.96,7.2,2270,3.4,38,0,3.3,24.9
D106C,1/12/2004,17,7.2,2270,3.4,39,0,3.3,38.9
D101C,1/13/2004,13.6,7.3,2270,3.85,43,0,3.5,0
D102C,1/13/2004,11,7.3,2270,3.85,43,0,3.5,7.9
D105C,1/13/2004,14.6,7.3,2270,3.85,44,0,3.5,31.2
D101C,3/17/2004,12.6,5.6,2410,13.25,659,4710,12.1,0
D102C,3/17/2004,10.4,5.6,2410,13.25,624,4710,12.1,7.9
D103C,3/17/2004,13.5,5.6,2410,13.25,588,4710,12.1,17.6
D104C,3/17/2004,15.5,5.6,2410,13.25,583,4710,12.1,24.9
D105C,3/17/2004,15.8,5.6,2410,13.25,560,4710,12.1,31.2
D106C,3/17/2004,20.8,5.6,2410,13.25,377,4710,12.1,38.9
D101C,5/1/2004,7.86,67,2040,10.9,42,3510,11.9,0
D102C,5/1/2004,7.72,67,2040,10.9,38,3510,11.9,7.9
D103C,5/1/2004,8.38,67,2040,10.9,37,3510,11.9,17.6
D104C,5/1/2004,8.7,67,2040,10.9,36,3510,11.9,24.9
D105C,5/1/2004,9.42,67,2040,10.9,34,3510,11.9,31.2
D106C,5/1/2004,11.6,67,2040,10.9,33,3510,11.9,38.9
D101C,6/3/2004,8.79,20,1240,20.05,137,4450,20.1,0
D102C,6/3/2004,10.8,20,1240,20.05,135,4450,20.1,7.9
D103C,6/3/2004,11.4,20,1240,20.05,116.6,4450,20.1,17.6
D104C,6/3/2004,14.3,20,1240,20.05,110,4450,20.1,24.9
D105C,6/4/2004,14,42,1240,20.8,101,4370,21.9,31.2
D106C,6/4/2004,17.3,42,1240,20.8,81,4370,21.9,38.9
D102C,6/29/2004,8.27,11,1300,21.25,123,3620,21.5,7.9
D103C,6/29/2004,8.47,11,1300,21.25,163,3620,21.5,17.6
D104C,6/29/2004,9.35,11,1300,21.25,176,3620,21.5,24.9
D105C,6/29/2004,9.39,11,1300,21.25,211,3620,21.5,31.2
D106C,6/29/2004,10.8,11,1300,21.25,167,3620,21.5,38.9
D101C,6/30/2004,7.66,30,1320,21.7,169,3650,20.7,0
D101C,8/4/2004,6.59,22,1170,24.95,45,0,24.8,0
D102C,8/4/2004,6.75,22,1170,24.95,49,0,24.8,7.9
D103C,8/4/2004,8.32,22,1170,24.95,52,0,24.8,17.6
D104C,8/4/2004,7.59,22,1170,24.95,63,0,24.8,24.9
D105C,8/4/2004,9.8,22,1170,24.95,65,0,24.8,31.2
D106C,8/4/2004,13.4,22,1170,24.95,60.94,0,24.8,38.9
D101C,11/6/2004,10.2,10,1920,9,79,0,9,0
D102C,11/6/2004,8.84,10,1920,9,77,0,9,7.9
D103C,11/6/2004,11.1,10,1920,9,77,0,9,17.6
D106C,11/6/2004,15.9,10,1920,9,75,0,9,38.9
D104C,11/7/2004,12.2,9.8,1930,7.95,72,0,9.4,24.9
D105C,11/7/2004,12.2,9.8,1930,7.95,71,0,9.4,31.2
D101C,1/12/2005,12.3,17,2240,2.9,62,4470,3,0
D102C,1/12/2005,10.6,17,2240,2.9,63,4470,3,7.9
D103C,1/12/2005,12.2,17,2240,2.9,63,4470,3,17.6
D104C,1/12/2005,13,17,2240,2.9,62,4470,3,24.9
D105C,1/12/2005,13.4,17,2240,2.9,61,4470,3,31.2
D106C,1/12/2005,16.4,17,2240,2.9,62,4470,3,38.9
D101C,3/18/2005,13.5,8.6,2320,10.05,222,4350,9.9,0
D102C,3/18/2005,11.9,8.6,2320,10.05,223,4350,9.9,7.9
D103C,3/18/2005,13.8,8.6,2320,10.05,229,4350,9.9,17.6
D104C,3/18/2005,14.4,8.6,2320,10.05,243,4350,9.9,24.9
D105C,3/18/2005,13.6,8.6,2320,10.05,579,4350,9.9,31.2
D106C,3/18/2005,16.8,8.6,2320,10.05,431,4350,9.9,38.9
D101C,6/30/2005,4.22,609,1470,23.25,34,1920,24.8,0
D102C,6/30/2005,4.48,609,1470,23.25,30,1920,24.8,7.9
D103C,6/30/2005,4.88,609,1470,23.25,29,1920,24.8,17.6
D105C,6/30/2005,5.3,609,1470,23.25,28,1920,24.8,31.2
D104C,7/1/2005,5.01,667,1440,23.15,26.7,1940,24.9,24.9
D106C,7/1/2005,5.85,667,1440,23.15,28,1940,24.9,38.9
D101C,7/21/2005,5.08,51,1430,24.35,31,2490,26.2,0
D102C,7/21/2005,5.7,51,1430,24.35,35,2490,26.2,7.9
D103C,7/21/2005,5.5,51,1430,24.35,36,2490,26.2,17.6
D104C,7/21/2005,5.7,51,1430,24.35,34,2490,26.2,24.9
D105C,7/21/2005,5.74,51,1430,24.35,38,2490,26.2,31.2
D106C,7/21/2005,6.7,51,1430,24.35,46,2490,26.2,38.9
D101C,8/19/2005,8.66,16,1360,22.8,62,4000,23.3,0
D102C,8/19/2005,7.81,16,1360,22.8,60,4000,23.3,7.9
D103C,8/19/2005,7.86,16,1360,22.8,60,4000,23.3,17.6
D104C,8/19/2005,10.9,16,1360,22.8,62,4000,23.3,24.9
D105C,8/19/2005,11,16,1360,22.8,64,4000,23.3,31.2
D106C,8/19/2005,15.4,16,1360,22.8,66,4000,23.3,38.9
D101C,12/3/2005,10,9.2,2140,2.9,55,4370,3.6,0
D102C,12/3/2005,9.32,9.2,2140,2.9,53,4370,3.6,7.9
D103C,12/3/2005,10.8,9.2,2140,2.9,47,4370,3.6,17.6
D104C,12/3/2005,13.2,9.2,2140,2.9,44,4370,3.6,24.9
D105C,12/3/2005,14.2,9.2,2140,2.9,42,4370,3.6,31.2
D106C,12/3/2005,16.1,9.2,2140,2.9,42,4370,3.6,38.9
D101C,1/14/2006,12,13,2330,2.85,36,4240,3.9,0
D102C,1/14/2006,10.6,13,2330,2.85,39,4240,3.9,7.9
D103C,1/14/2006,11.6,13,2330,2.85,46,4240,3.9,17.6
D104C,1/14/2006,12.8,13,2330,2.85,45,4240,3.9,24.9
D105C,1/14/2006,12.3,13,2330,2.85,59,4240,3.9,31.2
D106C,1/14/2006,15.4,13,2330,2.85,47,4240,3.9,38.9
D101C,3/15/2006,12.7,9.5,2420,8.35,256,4590,9.8,0
D102C,3/15/2006,10.8,9.5,2420,8.35,300,4590,9.8,7.9
D103C,3/15/2006,11.4,9.5,2420,8.35,143,4590,9.8,17.6
D104C,3/15/2006,13.8,9.5,2420,8.35,95,4590,9.8,24.9
D105C,3/15/2006,13.8,9.5,2420,8.35,72,4590,9.8,31.2
D106C,3/15/2006,17.9,9.5,2420,8.35,62,4590,9.8,38.9
D101C,5/16/2006,6.99,72,2570,16.55,114,4230,18.6,0
D102C,5/16/2006,8.96,72,2570,16.55,130,4230,18.6,7.9
D103C,5/16/2006,7.78,72,2570,16.55,134,4230,18.6,17.6
D104C,5/16/2006,13.9,72,2570,16.55,124,4230,18.6,24.9
D105C,5/16/2006,13.8,72,2570,16.55,128,4230,18.6,31.2
D106C,5/16/2006,18,72,2570,16.55,147,4230,18.6,38.9
D101C,6/16/2006,6.3,14,1410,21.9,60,3900,18.9,0
D102C,6/16/2006,10.1,14,1410,21.9,60,3900,18.9,7.9
D103C,6/16/2006,8.88,14,1410,21.9,63,3900,18.9,17.6
D104C,6/16/2006,12.7,14,1410,21.9,77,3900,18.9,24.9
D105C,6/16/2006,10.4,14,1410,21.9,84,3900,18.9,31.2
D106C,6/16/2006,11.8,14,1410,21.9,90,3900,18.9,38.9
D101C,7/13/2006,4.65,554,1150,26.2,150,1380,28,0
D102C,7/13/2006,4.51,554,1150,26.2,144,1380,28,7.9
D103C,7/13/2006,4.88,554,1150,26.2,139,1380,28,17.6
D104C,7/13/2006,4.28,554,1150,26.2,135,1380,28,24.9
D105C,7/13/2006,4.6,554,1150,26.2,132,1380,28,31.2
D106C,7/13/2006,5.46,554,1150,26.2,130,1380,28,38.9
D101C,8/10/2006,9.28,13,1510,25.2,96,4320,23.4,0
D102C,8/10/2006,7.66,13,1510,25.2,93,4320,23.4,7.9
D103C,8/10/2006,7.68,13,1510,25.2,92,4320,23.4,17.6
D104C,8/10/2006,12.4,13,1510,25.2,90,4320,23.4,24.9
D105C,8/10/2006,10.8,13,1510,25.2,90,4320,23.4,31.2
D106C,8/10/2006,13.2,13,1510,25.2,89,4320,23.4,38.9
D101C,11/20/2006,6.4,32,1770,6.5,157,3880,6.9,0
D102C,11/20/2006,8.32,32,1770,6.5,153,3880,6.9,7.9
D103C,11/20/2006,,32,1770,6.5,151,3880,6.9,17.6
D104C,11/20/2006,8.88,32,1770,6.5,148,3880,6.9,24.9
D105C,11/20/2006,10.3,32,1770,6.5,148,3880,6.9,31.2
