,DATE,q.in,ec.in,t.in,q.out,ec.out,t.out,q.BIG,q.BUF,q.WIL,q.FRO,df.0,df.1,dg.0,dg.1,p,et
1,3/1/1999,33,2.24,5,205,NA,NA,25,NA,9.7,0,0.240625,NA,3.133854167,NA,0,0.22
2,3/2/1999,33,2.25,4.9,201,NA,NA,25,NA,8.4,0,0.249375,0.240625,3.135729167,3.133854167,0,0.31
3,3/3/1999,35,2.25,5.35,195,NA,NA,25,NA,8.2,0,0.286041667,0.249375,3.147395833,3.135729167,0,0.22
4,3/4/1999,25,2.26,5.9,198,NA,NA,25,NA,8,0,0.108333333,0.286041667,3.156770833,3.147395833,0,0.17
5,3/5/1999,16,2.27,6.4,191,NA,NA,25,NA,7.3,0,-0.075208333,0.108333333,3.102083333,3.156770833,0,0.11
6,3/6/1999,15,2.28,5.6,184,NA,NA,24,NA,7.4,0,-0.105833333,-0.075208333,3.072916667,3.102083333,0,0.14
7,3/7/1999,14,2.29,6.15,181,NA,NA,27,NA,7.4,0,-0.120208333,-0.105833333,3.061979167,3.072916667,0.18,0.13
8,3/8/1999,15,2.3,6.8,194,NA,NA,30,NA,7.2,0,-0.0775,-0.120208333,3.100833333,3.061979167,0,0.2
9,3/9/1999,13,2.28,5.9,196,NA,NA,32,NA,7.1,0,-0.136666667,-0.0775,3.093229167,3.100833333,0,0.14
10,3/10/1999,13,2.26,5.8,191,NA,NA,31,NA,7,0,-0.13,-0.136666667,3.084375,3.093229167,0,0.02
11,3/11/1999,12,2.25,4.85,186,NA,NA,30,NA,7.3,0,-0.138125,-0.13,3.104791667,3.084375,0,0.02
12,3/12/1999,11,2.25,4.3,198,NA,NA,31,NA,7.2,0,-0.163958333,-0.138125,3.1121875,3.104791667,0.25,0.05
13,3/13/1999,52,2.24,4.5,208,NA,NA,32,NA,10,0,0.394375,-0.163958333,3.114375,3.1121875,0,0.08
14,3/14/1999,71,2.26,5.5,220,NA,NA,39,NA,8.3,0,0.689166667,0.394375,3.258958333,3.114375,0,0.21
15,3/15/1999,43,2.26,6.25,221,NA,NA,41,NA,7.9,0,0.354375,0.689166667,3.349479167,3.258958333,0,0.29
16,3/16/1999,15,2.26,6.45,225,NA,NA,41,NA,11,0,-0.039166667,0.354375,3.265104167,3.349479167,0,0.21
