"","X","DATE","q.in","ec.in","t.in","q.out","ec.out","t.out","q.BIG","q.BUF","q.WIL","q.FRO","df.0","df.1","dg.0","dg.1","p","et"
"1",1,"3/1/1999",0.93445593747,2.24,5,5.80495355095,NA,NA,0.70792116475,NA,0.274673411923,0,0.0733425,NA,0.9551987501016,NA,0,0.005588
"2",2,"3/2/1999",0.93445593747,2.25,4.9,5.69168616459,NA,NA,0.70792116475,NA,0.237861511356,0,0.0760095,0.0733425,0.9557702501016,0.9551987501016,0,0.007874
"3",3,"3/3/1999",0.99108963065,2.25,5.35,5.52178508505,NA,NA,0.70792116475,NA,0.232198142038,0,0.0871855001016,0.0760095,0.9593262498984,0.9557702501016,0,0.005588
"4",4,"3/4/1999",0.70792116475,2.26,5.9,5.60673562482,NA,NA,0.70792116475,NA,0.22653477272,0,0.0330199998984,0.0871855001016,0.9621837498984,0.9593262498984,0,0.004318
"5",5,"3/5/1999",0.45306954544,2.27,6.4,5.40851769869,NA,NA,0.70792116475,NA,0.206712980107,0,-0.0229234998984,0.0330199998984,0.9455149998984,0.9621837498984,0,0.002794
"6",6,"3/6/1999",0.42475269885,2.28,5.6,5.21029977256,NA,NA,0.67960431816,NA,0.209544664766,0,-0.0322579998984,-0.0229234998984,0.9366250001016,0.9455149998984,0,0.003556
"7",7,"3/7/1999",0.39643585226,2.29,6.15,5.12534923279,NA,NA,0.76455485793,NA,0.209544664766,0,-0.0366394998984,-0.0322579998984,0.9332912501016,0.9366250001016,0.004572,0.003302
"8",8,"3/8/1999",0.42475269885,2.3,6.8,5.49346823846,NA,NA,0.8495053977,NA,0.203881295448,0,-0.023622,-0.0366394998984,0.9451339998984,0.9332912501016,0,0.00508
"9",9,"3/9/1999",0.36811900567,2.28,5.9,5.55010193164,NA,NA,0.90613909088,NA,0.201049610789,0,-0.0416560001016,-0.023622,0.9428162501016,0.9451339998984,0,0.003556
"10",10,"3/10/1999",0.36811900567,2.26,5.8,5.40851769869,NA,NA,0.87782224429,NA,0.19821792613,0,-0.039624,-0.0416560001016,0.9401175,0.9428162501016,0,0.000508
"11",11,"3/11/1999",0.33980215908,2.25,4.85,5.26693346574,NA,NA,0.8495053977,NA,0.206712980107,0,-0.0421005,-0.039624,0.9463405001016,0.9401175,0,0.000508
"12",12,"3/12/1999",0.31148531249,2.25,4.3,5.60673562482,NA,NA,0.87782224429,NA,0.203881295448,0,-0.0499744998984,-0.0421005,0.94859475,0.9463405001016,0.00635,0.00127
"13",13,"3/13/1999",1.47247602268,2.24,4.5,5.88990409072,NA,NA,0.90613909088,NA,0.2831684659,0,0.1202055,-0.0499744998984,0.9492615,0.94859475,0,0.002032
"14",14,"3/14/1999",2.01049610789,2.26,5.5,6.2297062498,NA,NA,1.10435701701,NA,0.235029826697,0,0.2100580001016,0.1202055,0.9933304998984,0.9492615,0,0.005334
"15",15,"3/15/1999",1.21762440337,2.26,6.25,6.25802309639,NA,NA,1.16099071019,NA,0.223703088061,0,0.1080135,0.2100580001016,1.0209212501016,0.9933304998984,0,0.007366
"16",16,"3/16/1999",0.42475269885,2.26,6.45,6.37129048275,NA,NA,1.16099071019,NA,0.31148531249,0,-0.0119380001016,0.1080135,0.9952037501016,1.0209212501016,0,0.005334
"17",17,"3/17/1999",0.39643585226,2.25,6.05,5.88990409072,NA,NA,0.99108963065,NA,0.65128747157,0,-0.0193039998984,-0.0119380001016,0.9646602498984,0.9952037501016,0.000508,0.001016
"18",18,"3/18/1999",0.36811900567,2.24,5.05,5.49346823846,NA,NA,0.93445593747,NA,1.01940647724,0,-0.0196849998984,-0.0193039998984,0.949833,0.9646602498984,0.008382,0.001778
"19",19,"3/19/1999",1.35920863632,2.23,5.8,5.77663670436,NA,NA,1.01940647724,NA,0.96277278406,0,0.1164589998984,-0.0196849998984,0.9619615001016,0.949833,0,0.004572
"20",20,"3/20/1999",1.21762440337,2.23,6.55,6.25802309639,NA,NA,1.16099071019,NA,0.53802008521,0,0.1176019998984,0.1164589998984,0.9999979998984,0.9619615001016,0,0.007366
"21",21,"3/21/1999",0.39643585226,2.23,7.1,6.11643886344,NA,NA,1.04772332383,NA,0.266178357946,0,-0.003429,0.1176019998984,0.9778047498984,0.9999979998984,0,0.005842
"22",22,"3/22/1999",0.39643585226,2.24,6.5,5.72000301118,NA,NA,0.96277278406,NA,0.2831684659,0,-0.002667,-0.003429,0.9538017498984,0.9778047498984,0,0.003556
"23",23,"3/23/1999",0.39643585226,2.22,6.3,5.35188400551,NA,NA,0.93445593747,NA,0.31148531249,0,-0.0055245,-0.002667,0.9488170001016,0.9538017498984,0.01651,0.00127
"24",24,"3/24/1999",0.50970323862,2.2,5.9,5.69168616459,NA,NA,0.96277278406,NA,0.45306954544,0,0.0212725001016,-0.0055245,0.95945325,0.9488170001016,0,0.004318
"25",25,"3/25/1999",0.50970323862,2.2,6.45,6.31465678957,NA,NA,1.38752548291,NA,0.42475269885,0,0.0186055001016,0.0212725001016,0.9771379998984,0.95945325,0,0.008636
"26",26,"3/26/1999",0.45306954544,2.2,7.15,6.68277579524,NA,NA,2.86000150559,NA,0.33980215908,0,0.0097789998984,0.0186055001016,1.033653,0.9771379998984,0,0.010668
"27",27,"3/27/1999",0.42475269885,2.21,7.6,7.10752849409,NA,NA,2.66178357946,NA,0.39643585226,0,0.0029209998984,0.0097789998984,1.0553065001016,1.033653,0,0.005588
"28",28,"3/28/1999",0.39643585226,2.19,7.5,6.88099372137,NA,NA,2.15208034084,NA,0.48138639203,0,-0.0027304998984,0.0029209998984,1.0350499998984,1.0553065001016,0,0.006096
"29",29,"3/29/1999",0.36811900567,2.19,7.35,6.62614210206,NA,NA,1.61406025563,NA,0.39643585226,0,-0.0073024998984,-0.0027304998984,1.0151427498984,1.0350499998984,0,0.013462
"30",30,"3/30/1999",0.42475269885,2.22,7.85,6.39960732934,NA,NA,1.44415917609,NA,2.2653477272,0,0.0016510001016,-0.0073024998984,0.9984739998984,1.0151427498984,0,0.012446
"31",31,"3/31/1999",0.39643585226,2.23,8.25,6.28633994298,NA,NA,1.33089178973,NA,1.27425809655,0,-0.0056515001016,0.0016510001016,0.9890442498984,0.9984739998984,0,0.009398
"32",32,"4/1/1999",0.36811900567,2.23,8.4,6.2297062498,NA,NA,1.61406025563,NA,0.53802008521,0,-0.0071119998984,-0.0056515001016,0.9892030001016,0.9890442498984,0.00254,0.003048
"33",33,"4/2/1999",0.39643585226,2.22,8,6.2297062498,NA,NA,1.84059502835,NA,0.62297062498,0,-0.006858,-0.0071119998984,0.9997122498984,0.9892030001016,0,0.005588
"34",34,"4/3/1999",0.42475269885,2.2,8.4,6.48455786911,NA,NA,1.95386241471,NA,0.82118855111,0,0.0045085001016,-0.006858,0.9879012498984,0.9997122498984,0.008636,0.00508
