DATE,q.in,ec.in,t.in,q.out,ec.out,t.out,q.BIG,q.BUF,q.WIL,q.FRO,df.0,df.1,dg.0,dg.1,p,et
3/1/1999,0.934455937,2.24,5,5.804953551,NA,NA,0.707921165,NA,0.274673412,0,0.0733425,NA,0.95519875,NA,0,0.005588
3/2/1999,0.934455937,2.25,4.9,5.691686165,NA,NA,0.707921165,NA,0.237861511,0,0.0760095,0.0733425,0.95577025,0.95519875,0,0.007874
3/3/1999,0.991089631,2.25,5.35,5.521785085,NA,NA,0.707921165,NA,0.232198142,0,0.0871855,0.0760095,0.95932625,0.95577025,0,0.005588
3/4/1999,0.707921165,2.26,5.9,5.606735625,NA,NA,0.707921165,NA,0.226534773,0,0.03302,0.0871855,0.96218375,0.95932625,0,0.004318
3/5/1999,0.453069545,2.27,6.4,5.408517699,NA,NA,0.707921165,NA,0.20671298,0,-0.0229235,0.03302,0.945515,0.96218375,0,0.002794
3/6/1999,0.424752699,2.28,5.6,5.210299773,NA,NA,0.679604318,NA,0.209544665,0,-0.032258,-0.0229235,0.936625,0.945515,0,0.003556
3/7/1999,0.396435852,2.29,6.15,5.125349233,NA,NA,0.764554858,NA,0.209544665,0,-0.0366395,-0.032258,0.93329125,0.936625,0.004572,0.003302
3/8/1999,0.424752699,2.3,6.8,5.493468238,NA,NA,0.849505398,NA,0.203881295,0,-0.023622,-0.0366395,0.945134,0.93329125,0,0.00508
3/9/1999,0.368119006,2.28,5.9,5.550101932,NA,NA,0.906139091,NA,0.201049611,0,-0.041656,-0.023622,0.94281625,0.945134,0,0.003556
3/10/1999,0.368119006,2.26,5.8,5.408517699,NA,NA,0.877822244,NA,0.198217926,0,-0.039624,-0.041656,0.9401175,0.94281625,0,0.000508
3/11/1999,0.339802159,2.25,4.85,5.266933466,NA,NA,0.849505398,NA,0.20671298,0,-0.0421005,-0.039624,0.9463405,0.9401175,0,0.000508
3/12/1999,0.311485312,2.25,4.3,5.606735625,NA,NA,0.877822244,NA,0.203881295,0,-0.0499745,-0.0421005,0.94859475,0.9463405,0.00635,0.00127
3/13/1999,1.472476023,2.24,4.5,5.889904091,NA,NA,0.906139091,NA,0.283168466,0,0.1202055,-0.0499745,0.9492615,0.94859475,0,0.002032
3/14/1999,2.010496108,2.26,5.5,6.22970625,NA,NA,1.104357017,NA,0.235029827,0,0.210058,0.1202055,0.9933305,0.9492615,0,0.005334
3/15/1999,1.217624403,2.26,6.25,6.258023096,NA,NA,1.16099071,NA,0.223703088,0,0.1080135,0.210058,1.02092125,0.9933305,0,0.007366
3/16/1999,0.424752699,2.26,6.45,6.371290483,NA,NA,1.16099071,NA,0.311485312,0,-0.011938,0.1080135,0.99520375,1.02092125,0,0.005334
3/17/1999,0.396435852,2.25,6.05,5.889904091,NA,NA,0.991089631,NA,0.651287472,0,-0.019304,-0.011938,0.96466025,0.99520375,0.000508,0.001016
3/18/1999,0.368119006,2.24,5.05,5.493468238,NA,NA,0.934455937,NA,1.019406477,0,-0.019685,-0.019304,0.949833,0.96466025,0.008382,0.001778
3/19/1999,1.359208636,2.23,5.8,5.776636704,NA,NA,1.019406477,NA,0.962772784,0,0.116459,-0.019685,0.9619615,0.949833,0,0.004572
3/20/1999,1.217624403,2.23,6.55,6.258023096,NA,NA,1.16099071,NA,0.538020085,0,0.117602,0.116459,0.999998,0.9619615,0,0.007366
3/21/1999,0.396435852,2.23,7.1,6.116438863,NA,NA,1.047723324,NA,0.266178358,0,-0.003429,0.117602,0.97780475,0.999998,0,0.005842
3/22/1999,0.396435852,2.24,6.5,5.720003011,NA,NA,0.962772784,NA,0.283168466,0,-0.002667,-0.003429,0.95380175,0.97780475,0,0.003556
3/23/1999,0.396435852,2.22,6.3,5.351884006,NA,NA,0.934455937,NA,0.311485312,0,-0.0055245,-0.002667,0.948817,0.95380175,0.01651,0.00127
3/24/1999,0.509703239,2.2,5.9,5.691686165,NA,NA,0.962772784,NA,0.453069545,0,0.0212725,-0.0055245,0.95945325,0.948817,0,0.004318
3/25/1999,0.509703239,2.2,6.45,6.31465679,NA,NA,1.387525483,NA,0.424752699,0,0.0186055,0.0212725,0.977138,0.95945325,0,0.008636
3/26/1999,0.453069545,2.2,7.15,6.682775795,NA,NA,2.860001506,NA,0.339802159,0,0.009779,0.0186055,1.033653,0.977138,0,0.010668
3/27/1999,0.424752699,2.21,7.6,7.107528494,NA,NA,2.661783579,NA,0.396435852,0,0.002921,0.009779,1.0553065,1.033653,0,0.005588
3/28/1999,0.396435852,2.19,7.5,6.880993721,NA,NA,2.152080341,NA,0.481386392,0,-0.0027305,0.002921,1.03505,1.0553065,0,0.006096
3/29/1999,0.368119006,2.19,7.35,6.626142102,NA,NA,1.614060256,NA,0.396435852,0,-0.0073025,-0.0027305,1.01514275,1.03505,0,0.013462
3/30/1999,0.424752699,2.22,7.85,6.399607329,NA,NA,1.444159176,NA,2.265347727,0,0.001651,-0.0073025,0.998474,1.01514275,0,0.012446
3/31/1999,0.396435852,2.23,8.25,6.286339943,NA,NA,1.33089179,NA,1.274258097,0,-0.0056515,0.001651,0.98904425,0.998474,0,0.009398
4/1/1999,0.368119006,2.23,8.4,6.22970625,NA,NA,1.614060256,NA,0.538020085,0,-0.007112,-0.0056515,0.989203,0.98904425,0.00254,0.003048
4/2/1999,0.396435852,2.22,8,6.22970625,NA,NA,1.840595028,NA,0.622970625,0,-0.006858,-0.007112,0.99971225,0.989203,0,0.005588
4/3/1999,0.424752699,2.2,8.4,6.484557869,NA,NA,1.953862415,NA,0.821188551,0,0.0045085,-0.006858,0.98790125,0.99971225,0.008636,0.00508
4/4/1999,0.481386392,2.19,8.3,6.427924176,NA,NA,1.840595028,NA,0.424752699,0,0.016101391,0.0045085,0.912478435,0.98790125,0.005588,0.00508
4/5/1999,0.991089631,2.19,8.6,7.362380113,NA,NA,1.812278182,NA,0.189722872,0,0.0856615,0.016101391,0.93271975,0.912478435,0,0.00889
4/6/1999,1.047723324,2.19,8.95,7.39069696,NA,NA,2.237030881,NA,0.229366457,0,0.1020445,0.0856615,0.9537065,0.93271975,0,0.008636
4/7/1999,0.481386392,2.18,9.05,7.419013807,NA,NA,2.944952045,NA,0.311485312,0,0.012954,0.1020445,0.97431225,0.9537065,0,0.013716
4/8/1999,0.396435852,2.19,8.9,7.447330653,NA,NA,2.831684659,NA,3.596239517,0,-0.002794,0.012954,0.97431225,0.97431225,0,0.0127
4/9/1999,0.396435852,2.19,9.6,7.050894801,NA,NA,1.925545568,NA,5.578418778,0,-0.001651,-0.002794,0.9340215,0.97431225,0,0.009144
4/10/1999,0.396435852,2.2,9.35,6.682775795,NA,NA,1.444159176,NA,1.670693949,0,-0.004699,-0.001651,0.889381,0.9340215,0,0.006096
4/11/1999,0.396435852,2.19,9.55,6.541191562,NA,NA,1.500792869,NA,1.047723324,0,-0.006731,-0.004699,0.8829675,0.889381,0,0.010414
4/12/1999,0.368119006,2.18,9.4,6.286339943,NA,NA,1.840595028,NA,1.302574943,0,-0.0165735,-0.006731,0.90439875,0.8829675,0.004572,0.003048
4/13/1999,0.594653778,2.24,9.3,5.918220937,NA,NA,2.293664574,NA,0.906139091,0,0.0304165,-0.0165735,0.921639,0.90439875,0.034544,0.003556
4/14/1999,2.180397187,2.24,8.9,6.626142102,NA,NA,3.879407983,NA,1.132673864,0,0.1981835,0.0304165,0.9998075,0.921639,0,0.00508
4/15/1999,2.944952045,2.25,8.75,8.325152897,NA,NA,6.456241023,NA,0.962772784,0,0.309499,0.1981835,1.1927205,0.9998075,0,0.005334
4/16/1999,1.783961335,2.25,8.4,9.79762892,NA,NA,3.539605824,NA,0.877822244,0,0.184277,0.309499,1.1231245,1.1927205,0,0.00635
4/17/1999,1.07604017,2.25,8.5,8.325152897,NA,NA,2.690100426,NA,0.991089631,0,0.1044575,0.184277,1.0475595,1.1231245,0,0.009398
4/18/1999,0.651287472,2.25,9.3,7.447330653,NA,NA,2.605149886,NA,1.16099071,0,0.045593,0.1044575,1.00682425,1.0475595,0,0.008382
4/19/1999,0.707921165,2.25,9.1,6.965944261,NA,NA,2.888318352,NA,1.189307557,0,0.053213,0.045593,0.975233,1.00682425,0,0.008382
4/20/1999,1.670693949,2.25,9.05,7.022577954,NA,NA,2.860001506,NA,0.906139091,0,0.168148,0.053213,1.00457,0.975233,0.000762,0.006096
4/21/1999,1.868911875,2.23,8.9,7.532281193,NA,NA,0.934455937,NA,0.764554858,0,0.1906905,0.168148,0.95932625,1.00457,0.006096,0.00254
4/22/1999,1.840595028,2.23,8.9,9.88257946,NA,NA,0.877822244,NA,0.679604318,0,0.185166,0.1906905,0.936625,0.95932625,0.002032,0.000762
4/23/1999,1.925545568,2.23,8.8,10.13743108,NA,NA,0.934455937,NA,0.622970625,0,0.197485,0.185166,0.941197,0.936625,0.000762,0.000508
4/24/1999,0.991089631,2.23,8.7,8.891489829,NA,NA,0.849505398,NA,0.594653778,0,0.0960755,0.197485,0.9443085,0.941197,0.017018,0.00381
4/25/1999,2.293664574,2.23,9.05,9.118024602,NA,NA,0.934455937,NA,0.566336932,0,0.2305685,0.0960755,0.93856175,0.9443085,0,0.00508
4/26/1999,3.143169971,2.23,9.2,10.53386693,NA,NA,0.962772784,NA,0.707921165,0,0.3283585,0.2305685,1.001649,0.93856175,0,0.00762
4/27/1999,2.888318352,2.22,9.4,9.287925682,NA,NA,0.821188551,NA,0.962772784,0,0.3001645,0.3283585,1.0043795,1.001649,0.0127,0.006096
4/28/1999,1.585743409,2.2,9.25,8.381786591,NA,NA,0.764554858,NA,0.849505398,0,0.1628775,0.3001645,0.96116775,1.0043795,0.002286,0.000508
4/29/1999,2.123763494,2.22,9.35,7.702182272,NA,NA,0.821188551,NA,1.387525483,0,0.216281,0.1628775,0.931545,0.96116775,0.027178,0.000508
4/30/1999,3.171486818,2.21,9.55,8.976440369,NA,NA,1.07604017,NA,1.189307557,0,0.2953385,0.216281,0.993521,0.931545,0.03302,0.00127
5/1/1999,10.67545116,NA,NA,16.28218679,NA,NA,3.539605824,NA,0.934455937,0,0.801751,0.2953385,1.395095,0.993521,0,0.006858
5/2/1999,13.70535375,NA,NA,41.62576449,NA,NA,4.049309062,NA,0.962772784,0.00736238,0.9305925,0.801751,1.670431,1.395095,0,0.010414
5/3/1999,37.66140596,2.18,10.95,32.84754204,NA,NA,1.868911875,NA,1.274258097,0.013875255,1.612519,0.9305925,1.74913925,1.670431,0.000762,0.007112
5/4/1999,45.87329148,2.1,11.35,43.60794375,NA,NA,41.34259602,NA,1.41584233,0.00736238,1.81864,1.612519,2.2672675,1.74913925,0.000508,0.00635
5/5/1999,43.89111221,2.05,11.15,74.47330653,NA,NA,39.92675369,NA,1.302574943,0,1.7694275,1.81864,2.7040205,2.2672675,0,0.008128
5/6/1999,35.96239517,1.99,10.95,93.72876221,NA,NA,16.79189003,NA,0.651287472,0,1.566866553,1.7694275,2.3623905,2.7040205,0,0.006858
5/7/1999,45.30695454,2.02,11.1,68.24360028,NA,NA,7.447330653,NA,0.736238011,0,1.7709515,1.566866553,2.232914,2.3623905,0,0.00889
5/8/1999,56.06735625,2.05,11.15,63.42973636,NA,NA,2.4918825,NA,2.32198142,0,1.9886295,1.7709515,2.30171625,2.232914,0,0.015494
5/9/1999,62.86339943,2.06,11.15,67.96043182,NA,NA,1.24594125,NA,1.07604017,0,2.105088499,1.9886295,2.383663,2.30171625,0.000254,0.007874
5/10/1999,62.58023096,2.04,11.2,71.92479034,NA,NA,1.16099071,NA,1.274258097,0,2.093722001,2.105088499,2.4242395,2.383663,0.000254,0.00508
5/11/1999,62.86339943,1.99,11.45,75.32281193,NA,NA,1.189307557,NA,0.991089631,0,2.087562499,2.093722001,2.4087455,2.4242395,0,0.007366
5/12/1999,63.1465679,1.94,11.75,74.47330653,NA,NA,1.189307557,NA,0.764554858,0,2.083435001,2.087562499,2.40217325,2.4087455,0,0.01524
5/13/1999,64.84557869,1.99,11.65,73.34063267,NA,NA,1.189307557,NA,0.651287472,0,2.106040999,2.083435001,2.4054435,2.40217325,0,0.012446
5/14/1999,65.12874716,2,11.5,73.62380113,NA,NA,1.189307557,NA,0.566336932,0,2.0987385,2.106040999,2.408555,2.4054435,0,0.011176
5/15/1999,66.26142102,1.98,11.7,73.9069696,NA,NA,1.217624403,NA,0.566336932,0,2.1101685,2.0987385,2.38731425,2.408555,0,0.00635
