DATE,q.in,ec.in,t.in,q.out,ec.out,t.out,q.BIG,q.BUF,q.WIL,q.FRO,df.0,dg.0,p,et,RHmin,u2
10/1/2006,0.453069545,1.57,17.75,1.783961335,3.89,18.38666667,0.339802159,1.65936721,0.453069545,0,0.18449925,0.6555105,0,0.0062992,14.45,2.293287037
10/2/2006,0.481386392,1.58,17.55,1.727327642,3.94,18.32333333,0.339802159,1.673525633,0.453069545,0,0.18646775,0.65268475,0,0.005588,11.3833333,2.243981481
10/3/2006,0.509703239,1.6,17.45,1.670693949,4.01,18.23,0.339802159,1.682020687,0.934455937,0,0.191135,0.65560575,0,0.0042672,19.75,2.659722222
10/4/2006,0.481386392,1.63,17.1,1.670693949,3.96,18.11666667,0.339802159,1.673525633,0.594653778,0,0.18564225,0.655066,0,0.0064008,25.95,2.334722222
10/5/2006,0.453069545,1.65,16.8,1.642377102,3.96,18.02,0.339802159,1.65936721,0.237861511,0,0.1838325,0.657098,0,0.0108204,26.7166667,4.427546296
10/6/2006,0.453069545,1.67,17.6,1.699010795,3.96,17.95,0.311485312,1.665030579,0.243524881,0,0.1824355,0.654431,0,0.010922,25.2285714,6.77507716
10/7/2006,0.453069545,1.7,17.3,1.699010795,3.97,17.84333333,0.283168466,1.656535526,0.235029827,0,0.18208625,0.64785875,0.006646333,0.00381,21.7428571,5.887731481
10/8/2006,0.481386392,1.73,16,1.783961335,3.94,17.67666667,0.311485312,1.667862264,0.201049611,0,0.187452,0.6467475,0.001566333,0.0007112,46.4142857,4.714313272
10/9/2006,0.538020085,1.75,13.6,2.180397187,3.75,17.36333333,0.339802159,1.693347426,0.201049611,0,0.198501,0.6652895,0.006900333,0.0013716,69.1142857,3.083912037
10/10/2006,0.566336932,1.75,12.2,2.378615114,3.79,17.03333333,0.311485312,1.716000903,0.189722872,0,0.199517,0.68367275,0,0.0043688,52.9428571,1.65007716
10/11/2006,0.538020085,1.76,11.9,2.548516193,3.83,16.74666667,0.283168466,1.747149435,0.189722872,0,0.19523075,0.7054215,0,0.003048,29.3857143,2.666666667
10/12/2006,0.509703239,1.77,12.15,2.690100426,3.73,16.47,0.283168466,1.718832588,0.158574341,0,0.19377025,0.67891025,0,0.004064,38.1571429,2.073881173
10/13/2006,0.509703239,1.77,11.95,2.4918825,3.86,16.21,0.283168466,1.699010795,0.150079287,0,0.1937385,0.66675,0,0.0021844,29.8714286,2.102430556
10/14/2006,0.509703239,1.76,11.6,2.435248807,3.92,15.95,0.254851619,1.670693949,0.147247602,0,0.1938655,0.64201675,0,0.0021844,57.2142857,2.363425926
10/15/2006,0.538020085,1.73,11.85,2.40693196,4.01,15.75333333,0.254851619,1.682020687,0.141584233,0,0.19497675,0.65024,0,0.0046228,53.7142857,1.336998457
10/16/2006,0.538020085,1.68,12.2,2.435248807,3.95,15.63,0.226534773,1.645208787,0.141584233,0,0.197104,0.6583045,0.005037667,0.0029464,24.4285714,1.97183642
10/17/2006,2.123763494,1.6,13.3,2.40693196,3.9,15.55,0.311485312,1.636713733,0.138752548,0,0.3414395,0.674243,0.000211667,0.0023876,49.1285714,4.437114198
10/18/2006,2.746734119,1.53,11.75,2.4918825,3.82,15.38666667,0.283168466,1.738654381,0.093445594,0,0.38306375,0.783082,0,0.0036068,39.7142857,3.108217593
10/19/2006,2.746734119,1.54,10.8,2.888318352,3.14,15.15,0.254851619,1.766971227,0,0,0.38458775,0.838581,0,0.0061976,18.5857143,1.695216049
10/20/2006,1.189307557,1.54,11.2,3.426338437,2.87,14.91333333,0.254851619,1.781129651,0,0,0.2657475,0.856615,0,0.0037084,18.7,3.110339506
10/21/2006,0.594653778,1.52,10.2,3.539605824,2.94,14.72,0.226534773,1.667862264,0,0,0.20627975,0.7775575,0,0.0026416,29.2285714,4.807677469
10/22/2006,0.566336932,1.53,9.7,3.313071051,3.43,14.58666667,0.226534773,1.636713733,0,0,0.2032635,0.74355325,0,0.0059944,26.4142857,1.396604938
10/23/2006,0.538020085,1.53,9.6,3.256437358,3.59,14.47,0.226534773,1.625386994,0,0,0.19567525,0.73161525,0,0.0033528,10.6428571,2.463155864
10/24/2006,0.509703239,1.53,9.55,3.284754204,3.59,14.34666667,0.212376349,1.631050364,0,0,0.19472275,0.736854,0,0.003556,26.9714286,1.731674383
10/25/2006,0.509703239,1.52,9.7,3.313071051,3.54,14.21,0.226534773,1.642377102,0,0,0.1947545,0.74031475,0.056515,0.0010668,25.4571429,1.46720679
10/26/2006,2.888318352,1.48,7.5,4.445744915,3.08,14.01666667,0.263346673,1.817941551,0,0,0.3692525,0.81143475,4.23E-05,0.0037084,64.0857143,6.546103395
10/27/2006,3.992675369,1.29,5.35,7.758815966,2.12,13.74333333,0.566336932,1.013743108,0,0,0.456946,1.11058325,0,0.0037084,26.75,4.150462963
10/28/2006,2.378615114,1.3,6.7,8.325152897,2.1,13.51333333,0.509703239,0.103922827,0,0,0.35766375,1.0996295,0,0.0052832,23.2285714,2.427662037
10/29/2006,1.104357017,1.34,7.85,7.843766505,2.41,13.28,0.453069545,0.094578268,0,0,0.25828752,1.0341864,0,0.0072136,16.2142857,2.009066358
10/30/2006,0.736238011,1.38,8.75,7.022577954,2.7,13.05333333,0.424752699,0.092596088,0,0,0.22355175,0.99431475,0,0.0023876,14.4,3.852816358
10/31/2006,0.622970625,1.43,8.55,6.512874716,2.86,12.74,0.396435852,0.097409952,0.00368119,0,0.20812125,0.96732725,0,0.0020828,30.7857143,2.809606481
11/1/2006,2.831684659,1.49,8.15,6.796043182,2.83,12.39,0.396435852,0.097126784,0.033980216,0,0.388239,0.9500235,0,0.0028448,28.6571429,1.488811728
11/2/2006,2.916635199,1.52,7.85,6.456241023,2.9,12.06,0.368119006,0.095427773,0.033980216,0,0.404241,0.9821545,0,0.0037084,28.8285714,2.102623457
11/3/2006,2.378615114,1.54,8.75,5.550101932,2.95,11.77,0.339802159,0.095144605,0.033980216,0,0.36598225,0.96554925,0,0.003556,20.3142857,1.650270062
11/4/2006,2.123763494,1.56,8.85,4.955448153,3.31,11.51333333,0.339802159,0.091746583,0.033980216,0,0.34477325,0.94605475,0.000127,0.0034544,23.9,1.981481481
11/5/2006,1.897228722,1.58,10.25,4.672279687,3.51,11.25666667,0.339802159,0.090330741,0.033980216,0,0.328295,0.92992575,0.000127,0.0041656,23.3285714,1.820216049
11/6/2006,1.783961335,1.59,10.05,4.502378608,3.59,11.02666667,0.339802159,0.089198067,0.028316847,0,0.318389,0.91938475,0,0.0051816,19.8,2.293402778
11/7/2006,1.670693949,1.62,10.15,4.332477528,3.64,10.88333333,0.339802159,0.087499056,0.033980216,0,0.30686375,0.911352,0,0.0065024,22.7142857,2.464506173
