locate,point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di,q.x
D101,D101C,5/5/2003,8.02,1.16099071,2.81,14.7,1.699010795,3.94,16.4,0,NA
DDIV,D102C,5/5/2003,8.34,1.16099071,2.81,14.7,1.585743409,3.94,16.4,12.7138176,NA
DDIV,D104C,5/5/2003,14.8,1.16099071,2.81,14.7,1.41584233,3.94,16.4,40.0726656,NA
D106C,D106C,5/5/2003,NA,1.16099071,2.81,14.7,1.33089179,3.94,16.4,62.6034816,NA
D101C,D101C,6/4/2003,7.59,2.180397187,2.81,20.9,4.334176539,0,18.4,0,NA
DDIV,D104C,6/4/2003,9.18,2.180397187,2.81,20.9,4.332477528,0,18.4,40.0726656,NA
DDIV,D102C,6/10/2003,7.88,0.538020085,2.53,19.3,2.775050966,3.06,22.9,12.7138176,NA
D106C,D106C,6/10/2003,12.2,0.538020085,2.53,19.3,2.57683304,3.06,22.9,62.6034816,NA
DDIV,D104C,7/1/2003,10.5,0.934455937,1.74,21.7,0.877822244,3.8,23.6,40.0726656,NA
DDIV,D104C,7/28/2003,12.2,0.849505398,1.64,24.2,0.489881446,4.48,23.7,40.0726656,NA
D101C,D101C,10/25/2003,7.66,0.368119006,1.87,13.5,0.812693497,4.38,10.7,0,NA
DDIV,D102C,10/25/2003,8.8,0.368119006,1.87,13.5,0.764554858,4.38,10.7,12.7138176,NA
DDIV,D103C,10/25/2003,9.31,0.368119006,1.87,13.5,0.787208335,4.38,10.7,28.3244544,NA
DDIV,D104C,10/25/2003,13.8,0.368119006,1.87,13.5,0.764554858,4.38,10.7,40.0726656,NA
DDIV,D105C,10/25/2003,17.8,0.368119006,1.87,13.5,0.724911273,4.38,10.7,50.2115328,NA
D106C,D106C,10/25/2003,23,0.368119006,1.87,13.5,0.724911273,4.38,10.7,62.6034816,NA
DDIV,D103C,1/12/2004,5.41,0.203881295,2.27,3.4,1.07604017,0,3.3,28.3244544,NA
DDIV,D104C,1/12/2004,5.96,0.203881295,2.27,3.4,1.07604017,0,3.3,40.0726656,NA
