Section,SurveySection,H,Tw
1,1,0.5,32.2434
1,1,0.6,33.2948
1,1,0.7,34.3462
1,1,0.8,35.3976
1,1,0.9,38.4432
1,1,1,41.7103
1,1,1.1,45.5746
1,1,1.2,50.8321
1,1,1.3,56.0895
1,1,1.4,58.0871
1,1,1.5,59.2697
1,1,1.6,60.3997
1,1,1.7,61.056
1,1,1.8,61.7122
1,1,1.9,62.3685
1,1,2,63.0248
1,1,2.1,63.6811
1,1,2.2,64.3573
1,1,2.3,65.1133
1,1,2.4,65.8694
1,1,2.5,66.6255
1,1,2.6,67.3815
1,1,2.7,68.1376
1,1,2.8,68.8937
1,1,2.9,69.6497
1,1,3,70.4058
1,1,3.1,71.1884
1,1,3.2,72.2095
1,1,3.3,73.1098
1,1,3.4,73.9798
1,1,3.5,74.8499
1,1,3.6,75.7199
1,1,3.7,76.5899
1,1,3.8,77.46
1,1,3.9,78.33
1,1,4,79.2
1,1,4.1,80.0701
1,1,4.2,80.9401
1,1,4.3,81.7954
1,1,4.4,82.5178
1,1,4.5,83.2403
1,1,4.6,83.9627
1,1,4.7,84.6851
1,1,4.8,85.4075
1,1,4.9,86.13
1,1,5,86.8524
2,4,0.5,40.6234
2,4,0.6,41.5625
2,4,0.7,42.5996
2,4,0.8,43.6612
2,4,0.9,44.7228
2,4,1,45.7844
2,4,1.1,46.846
2,4,1.2,47.9076
2,4,1.3,48.9692
2,4,1.4,50.0308
2,4,1.5,51.0924
2,4,1.6,52.154
2,4,1.7,53.2532
2,4,1.8,54.409
2,4,1.9,55.5397
2,4,2,56.4449
2,4,2.1,57.3502
2,4,2.2,58.2554
2,4,2.3,63.207
2,4,2.4,69.8928
2,4,2.5,76.5785
2,4,2.6,83.2643
2,4,2.7,91.8999
2,4,2.8,101.3714
2,4,2.9,110.8427
2,4,3,119.6368
2,4,3.1,126.9934
2,4,3.2,135.6225
2,4,3.3,144.2518
2,4,3.4,152.881
2,4,3.5,161.0167
2,4,3.6,164.7099
2,4,3.7,168.4032
2,4,3.8,172.3385
2,4,3.9,176.5157
2,4,4,180.693
2,4,4.1,184.8701
2,4,4.2,189.0473
2,4,4.3,193.2246
2,4,4.4,199.3301
2,4,4.5,208.328
2,4,4.6,217.3261
2,4,4.7,226.3241
2,4,4.8,235.3222
2,4,4.9,244.3201
2,4,5,253.318
3,5,0.5,68.1748
3,5,0.6,69.0012
3,5,0.7,69.8277
3,5,0.8,70.6658
3,5,0.9,71.6086
3,5,1,72.5513
3,5,1.1,73.5939
3,5,1.2,74.6364
3,5,1.3,75.679
3,5,1.4,76.7215
3,5,1.5,77.764
3,5,1.6,78.8066
3,5,1.7,102.9588
4,6,0.5,37.0341
4,6,0.6,49.1189
4,6,0.7,49.8803
4,6,0.8,50.6417
4,6,0.9,51.4031
4,6,1,52.1646
4,6,1.1,52.926
4,6,1.2,53.5912
4,6,1.3,53.7939
4,6,1.4,53.9632
4,6,1.5,54.1326
4,6,1.6,54.302
4,6,1.7,54.4713
4,6,1.8,54.6407
4,6,1.9,54.8101
4,6,2,54.9794
4,6,2.1,55.1413
4,6,2.2,55.2957
4,6,2.3,55.4501
4,6,2.4,55.6045
4,6,2.5,55.7589
4,6,2.6,55.9133
4,6,2.7,56.0677
4,6,2.8,56.2221
4,6,2.9,56.3765
4,6,3,56.5309
4,6,3.1,56.6853
4,6,3.2,56.8397
4,6,3.3,58.819
4,6,3.4,61.2546
4,6,3.5,63.6903
4,6,3.6,66.1259
4,6,3.7,68.5615
4,6,3.8,70.9971
4,6,3.9,73.4327
4,6,4,75.8683
4,6,4.1,78.3039
4,6,4.2,80.7396
4,6,4.3,83.1752
4,6,4.4,85.6108
4,6,4.5,88.0464
4,6,4.6,90.482
4,6,4.7,92.9176
4,6,4.8,95.3532
4,6,4.9,97.7889
4,6,5,100.2245
5,7,0.5,32.9033
5,7,0.6,39.484
5,7,0.7,42.8631
5,7,0.8,44.8546
5,7,0.9,45.4586
5,7,1,46.0626
5,7,1.1,46.6667
5,7,1.2,47.2707
5,7,1.3,47.8747
5,7,1.4,48.4787
5,7,1.5,49.0827
5,7,1.6,49.6867
5,7,1.7,50.2907
5,7,1.8,50.8947
5,7,1.9,51.2621
5,7,2,51.43
5,7,2.1,51.5979
5,7,2.2,51.7659
5,7,2.3,51.9338
5,7,2.4,52.1018
5,7,2.5,52.2697
5,7,2.6,52.4377
5,7,2.7,52.6056
5,7,2.8,52.7736
5,7,2.9,52.9415
5,7,3,53.1095
5,7,3.1,53.2774
5,7,3.2,53.5374
5,7,3.3,54.0122
5,7,3.4,54.487
5,7,3.5,54.9617
5,7,3.6,56.1209
5,7,3.7,58.3067
5,7,3.8,60.4925
5,7,3.9,62.6782
5,7,4,64.864
5,7,4.1,69.8284
5,7,4.2,81.2764
5,7,4.3,92.7244
5,7,4.4,104.1723
5,7,4.5,115.6202
5,7,4.6,123.4542
5,7,4.7,128.8791
5,7,4.8,134.3039
5,7,4.9,141.8824
5,7,5,149.461
6,8,0.5,34.9878
6,8,0.6,41.9854
6,8,0.7,46.6193
6,8,0.8,50.2401
6,8,0.9,53.861
6,8,1,57.3631
6,8,1.1,60.0896
6,8,1.2,61.653
6,8,1.3,63.2164
6,8,1.4,64.7798
6,8,1.5,66.3531
6,8,1.6,67.9412
6,8,1.7,69.3188
6,8,1.8,69.8544
6,8,1.9,70.3899
6,8,2,70.9254
6,8,2.1,71.461
6,8,2.2,71.9965
6,8,2.3,72.5321
6,8,2.4,73.0676
6,8,2.5,73.6031
6,8,2.6,74.1387
6,8,2.7,74.6742
6,8,2.8,75.2097
6,8,2.9,75.7453
6,8,3,76.2599
6,8,3.1,76.7432
6,8,3.2,77.2265
6,8,3.3,77.7097
6,8,3.4,78.193
6,8,3.5,78.6763
6,8,3.6,79.1595
6,8,3.7,81.4234
6,8,3.8,85.4677
6,8,3.9,89.5121
6,8,4,93.5565
6,8,4.1,97.6009
6,8,4.2,99.3776
6,8,4.3,100.9025
6,8,4.4,102.4273
6,8,4.5,103.9522
6,8,4.6,105.477
6,8,4.7,107.0019
6,8,4.8,108.5267
6,8,4.9,110.0515
6,8,5,111.5764
7,9,0.5,10.332
7,9,0.6,12.3985
7,9,0.7,14.4649
7,9,0.8,16.5313
7,9,0.9,18.5977
7,9,1,20.6641
7,9,1.1,22.7305
7,9,1.2,24.7969
7,9,1.3,26.8633
7,9,1.4,28.9297
7,9,1.5,30.9961
7,9,1.6,33.0625
7,9,1.7,35.129
7,9,1.8,37.1954
7,9,1.9,39.2618
7,9,2,41.3282
7,9,2.1,84.2853
7,9,2.2,99.3828
7,9,2.3,102.6153
7,9,2.4,105.8477
7,9,2.5,109.0802
7,9,2.6,112.3127
7,9,2.7,115.5251
7,9,2.8,118.6371
7,9,2.9,122.2066
7,9,3,126.2809
7,9,3.1,130.3551
7,9,3.2,134.4294
7,9,3.3,138.5036
7,9,3.4,142.5779
7,9,3.5,146.6522
7,9,3.6,150.662
7,9,3.7,154.6073
7,9,3.8,161.3837
7,9,3.9,169.9474
