"","Section","SurveySection","H","Tw"
"1",1,1,0.1524,9.82778832
"2",1,1,0.18288,10.14825504
"3",1,1,0.21336,10.46872176
"4",1,1,0.24384,10.78918848
"5",1,1,0.27432,11.71748736
"6",1,1,0.3048,12.71329944
"7",1,1,0.33528,13.89113808
"8",1,1,0.36576,15.49362408
"9",1,1,0.39624,17.0960796
"10",1,1,0.42672,17.70494808
"11",1,1,0.4572,18.06540456
"12",1,1,0.48768,18.40982856
"13",1,1,0.51816,18.6098688
"14",1,1,0.54864,18.80987856
"15",1,1,0.57912,19.0099188
"16",1,1,0.6096,19.20995904
"17",1,1,0.64008,19.40999928
"18",1,1,0.67056,19.61610504
"19",1,1,0.70104,19.84653384
"20",1,1,0.73152,20.07699312
"21",1,1,0.762,20.3074524
"22",1,1,0.79248,20.5378812
"23",1,1,0.82296,20.76834048
"24",1,1,0.85344,20.99879976
"25",1,1,0.88392,21.22922856
"26",1,1,0.9144,21.45968784
"27",1,1,0.94488,21.69822432
"28",1,1,0.97536,22.0094556
"29",1,1,1.00584,22.28386704
"30",1,1,1.03632,22.54904304
"31",1,1,1.0668,22.81424952
"32",1,1,1.09728,23.07942552
"33",1,1,1.12776,23.34460152
"34",1,1,1.15824,23.609808
"35",1,1,1.18872,23.874984
"36",1,1,1.2192,24.14016
"37",1,1,1.24968,24.40536648
"38",1,1,1.28016,24.67054248
"39",1,1,1.31064,24.93123792
"40",1,1,1.34112,25.15142544
"41",1,1,1.3716,25.37164344
"42",1,1,1.40208,25.59183096
"43",1,1,1.43256,25.81201848
"44",1,1,1.46304,26.032206
"45",1,1,1.49352,26.252424
"46",1,1,1.524,26.47261152
"47",2,4,0.1524,12.38201232
"48",2,4,0.18288,12.66825
"49",2,4,0.21336,12.98435808
"50",2,4,0.24384,13.30793376
"51",2,4,0.27432,13.63150944
"52",2,4,0.3048,13.95508512
"53",2,4,0.33528,14.2786608
"54",2,4,0.36576,14.60223648
"55",2,4,0.39624,14.92581216
"56",2,4,0.42672,15.24938784
"57",2,4,0.4572,15.57296352
"58",2,4,0.48768,15.8965392
"59",2,4,0.51816,16.23157536
"60",2,4,0.54864,16.5838632
"61",2,4,0.57912,16.92850056
"62",2,4,0.6096,17.20440552
"63",2,4,0.64008,17.48034096
"64",2,4,0.67056,17.75624592
"65",2,4,0.70104,19.2654936
"66",2,4,0.73152,21.30332544
"67",2,4,0.762,23.3411268
"68",2,4,0.79248,25.37895864
"69",2,4,0.82296,28.01108952
"70",2,4,0.85344,30.89800272
"71",2,4,0.88392,33.78485496
"72",2,4,0.9144,36.46529664
"73",2,4,0.94488,38.70758832
"74",2,4,0.97536,41.337738
"75",2,4,1.00584,43.96794864
"76",2,4,1.03632,46.5981288
"77",2,4,1.0668,49.07789016
"78",2,4,1.09728,50.20357752
"79",2,4,1.12776,51.32929536
"80",2,4,1.15824,52.5287748
"81",2,4,1.18872,53.80198536
"82",2,4,1.2192,55.0752264
"83",2,4,1.24968,56.34840648
"84",2,4,1.28016,57.62161704
"85",2,4,1.31064,58.89485808
"86",2,4,1.34112,60.75581448
"87",2,4,1.3716,63.4983744
"88",2,4,1.40208,66.24099528
"89",2,4,1.43256,68.98358568
"90",2,4,1.46304,71.72620656
"91",2,4,1.49352,74.46876648
"92",2,4,1.524,77.2113264
"93",3,5,0.1524,20.77967904
"94",3,5,0.18288,21.03156576
"95",3,5,0.21336,21.28348296
"96",3,5,0.24384,21.53893584
"97",3,5,0.27432,21.82630128
"98",3,5,0.3048,22.11363624
"99",3,5,0.33528,22.43142072
"100",3,5,0.36576,22.74917472
"101",3,5,0.39624,23.0669592
"102",3,5,0.42672,23.3847132
"103",3,5,0.4572,23.7024672
"104",3,5,0.48768,24.02025168
"105",3,5,0.51816,31.38184224
"106",4,6,0.1524,11.28799368
"107",4,6,0.18288,14.97144072
"108",4,6,0.21336,15.20351544
"109",4,6,0.24384,15.43559016
"110",4,6,0.27432,15.66766488
"111",4,6,0.3048,15.89977008
"112",4,6,0.33528,16.1318448
"113",4,6,0.36576,16.33459776
"114",4,6,0.39624,16.39638072
"115",4,6,0.42672,16.44798336
"116",4,6,0.4572,16.49961648
"117",4,6,0.48768,16.5512496
"118",4,6,0.51816,16.60285224
"119",4,6,0.54864,16.65448536
"120",4,6,0.57912,16.70611848
"121",4,6,0.6096,16.75772112
"122",4,6,0.64008,16.80706824
"123",4,6,0.67056,16.85412936
"124",4,6,0.70104,16.90119048
"125",4,6,0.73152,16.9482516
"126",4,6,0.762,16.99531272
"127",4,6,0.79248,17.04237384
"128",4,6,0.82296,17.08943496
"129",4,6,0.85344,17.13649608
"130",4,6,0.88392,17.1835572
"131",4,6,0.9144,17.23061832
"132",4,6,0.94488,17.27767944
"133",4,6,0.97536,17.32474056
"134",4,6,1.00584,17.9280312
"135",4,6,1.03632,18.67040208
"136",4,6,1.0668,19.41280344
"137",4,6,1.09728,20.15517432
"138",4,6,1.12776,20.8975452
"139",4,6,1.15824,21.63991608
"140",4,6,1.18872,22.38228696
"141",4,6,1.2192,23.12465784
"142",4,6,1.24968,23.86702872
"143",4,6,1.28016,24.60943008
"144",4,6,1.31064,25.35180096
"145",4,6,1.34112,26.09417184
"146",4,6,1.3716,26.83654272
"147",4,6,1.40208,27.5789136
"148",4,6,1.43256,28.32128448
"149",4,6,1.46304,29.06365536
"150",4,6,1.49352,29.80605672
"151",4,6,1.524,30.5484276
"152",5,7,0.1524,10.02892584
"153",5,7,0.18288,12.0347232
"154",5,7,0.21336,13.06467288
"155",5,7,0.24384,13.67168208
"156",5,7,0.27432,13.85578128
"157",5,7,0.3048,14.03988048
"158",5,7,0.33528,14.22401016
"159",5,7,0.36576,14.40810936
"160",5,7,0.39624,14.59220856
"161",5,7,0.42672,14.77630776
"162",5,7,0.4572,14.96040696
"163",5,7,0.48768,15.14450616
