Region,Reach,reach,Section,Name,WIDTH,H
2,6,F,22,DSS1,6.8705,0
2,6,F,22,DSS1,13.741,0.1
2,6,F,22,DSS1,21.8164,0.2
2,6,F,22,DSS1,26.5439,0.3
2,6,F,22,DSS1,28.4029,0.4
2,6,F,22,DSS1,28.6523,0.5
2,6,F,22,DSS1,28.9017,0.6
2,6,F,22,DSS1,29.1511,0.7
2,6,F,22,DSS1,29.4005,0.8
2,6,F,22,DSS1,29.6499,0.9
2,6,F,22,DSS1,30.4839,1
2,6,F,22,DSS1,32.6819,1.1
2,6,F,22,DSS1,34.8799,1.2
2,6,F,23,DSS4,5.7725,0
2,6,F,23,DSS4,11.5451,0.1
2,6,F,23,DSS4,17.3176,0.2
2,6,F,23,DSS4,23.0901,0.3
2,6,F,23,DSS4,31.6464,0.4
2,6,F,23,DSS4,40.2028,0.5
2,6,F,23,DSS4,48.7591,0.6
2,6,F,23,DSS4,55.623,0.7
2,6,F,23,DSS4,80.9174,0.8
2,6,F,23,DSS4,84.1413,0.9
2,6,F,23,DSS4,87.3653,1
2,6,F,23,DSS4,90.5893,1.1
2,6,F,23,DSS4,93.8132,1.2
2,6,F,23,DSS4,97.0372,1.3
2,6,F,23,DSS4,100.2612,1.4
2,6,F,23,DSS4,103.8717,1.5
2,6,F,23,DSS4,107.579,1.6
2,6,F,23,DSS4,111.2863,1.7
2,6,F,23,DSS4,114.9936,1.8
2,6,F,23,DSS4,118.7009,1.9
2,6,F,23,DSS4,122.4082,2
2,6,F,23,DSS4,129.5008,2.1
2,6,F,23,DSS4,138.0442,2.2
2,6,F,23,DSS4,146.5875,2.3
2,6,F,23,DSS4,155.1308,2.4
2,6,F,23,DSS4,163.6742,2.5
2,6,F,23,DSS4,172.2176,2.6
2,6,F,23,DSS4,180.7609,2.7
2,6,F,23,DSS4,187.7353,2.8
2,6,F,23,DSS4,193.1407,2.9
2,6,F,23,DSS4,197.0559,3
2,6,F,23,DSS4,198.7359,3.1
2,6,F,23,DSS4,200.4158,3.2
2,6,F,23,DSS4,202.0958,3.3
2,6,F,23,DSS4,203.7757,3.4
2,6,F,23,DSS4,205.4556,3.5
2,6,F,23,DSS4,206.3658,3.6
2,6,F,23,DSS4,206.763,3.7
2,6,F,23,DSS4,207.1602,3.8
2,6,F,23,DSS4,207.5573,3.9
2,6,F,23,DSS4,207.9545,4
2,6,F,23,DSS4,208.3517,4.1
2,6,F,23,DSS4,208.7489,4.2
2,6,F,23,DSS4,209.146,4.3
2,6,F,23,DSS4,209.5432,4.4
2,6,F,23,DSS4,209.9404,4.5
2,6,F,23,DSS4,210.3375,4.6
2,6,F,23,DSS4,210.7347,4.7
2,6,F,23,DSS4,211.1319,4.8
2,6,F,23,DSS4,211.529,4.9
2,6,F,23,DSS4,211.9262,5
2,6,F,23,DSS4,212.3234,5.1
2,6,F,23,DSS4,212.7205,5.2
2,6,F,23,DSS4,231.4544,5.3
2,6,F,23,DSS4,250.2268,5.4
2,6,F,23,DSS4,252.5967,5.5
2,6,F,23,DSS4,253.9387,5.6
2,6,F,23,DSS4,255.2808,5.7
2,6,F,23,DSS4,256.6228,5.8
2,6,F,23,DSS4,258.0573,5.9
2,6,F,23,DSS4,259.5149,6
2,6,F,23,DSS4,260.9724,6.1
2,6,F,23,DSS4,262.4299,6.2
2,6,F,23,DSS4,263.8875,6.3
2,6,F,23,DSS4,265.345,6.4
2,6,F,23,DSS4,266.8026,6.5
2,6,F,23,DSS4,268.2602,6.6
2,6,F,23,DSS4,269.7177,6.7
2,6,F,23,DSS4,271.1753,6.8
2,6,F,23,DSS4,272.4975,6.9
2,6,F,23,DSS4,273.6166,7
2,6,F,23,DSS4,274.7109,7.1
2,6,F,23,DSS4,275.5819,7.2
2,6,F,23,DSS4,276.4529,7.3
2,6,F,23,DSS4,277.3238,7.4
2,6,F,23,DSS4,278.1948,7.5
2,6,F,23,DSS4,279.0658,7.6
2,6,F,23,DSS4,279.9368,7.7
2,6,F,23,DSS4,280.8077,7.8
2,6,F,23,DSS4,281.626,7.9
2,6,F,23,DSS4,282.4383,8
2,6,F,23,DSS4,283.2507,8.1
2,6,F,23,DSS4,284.063,8.2
2,6,F,23,DSS4,284.8713,8.3
2,6,F,23,DSS4,285.6753,8.4
2,6,F,23,DSS4,286.4794,8.5
2,6,F,23,DSS4,287.2835,8.6
2,6,F,23,DSS4,288.0875,8.7
2,6,F,23,DSS4,288.8916,8.8
2,6,F,23,DSS4,289.6957,8.9
2,6,F,23,DSS4,290.4997,9
2,6,F,23,DSS4,291.3038,9.1
2,6,F,23,DSS4,292.1079,9.2
2,6,F,23,DSS4,292.9119,9.3
2,6,F,23,DSS4,293.716,9.4
2,6,F,23,DSS4,294.5201,9.5
2,6,F,23,DSS4,295.3241,9.6
2,6,F,23,DSS4,296.1282,9.7
2,6,F,23,DSS4,296.9323,9.8
2,6,F,23,DSS4,297.7363,9.9
2,6,F,23,DSS4,298.5404,10
2,6,F,23,DSS4,299.3445,10.1
2,6,F,23,DSS4,300.1485,10.2
2,6,F,23,DSS4,300.9526,10.3
2,6,F,23,DSS4,301.7567,10.4
2,6,F,23,DSS4,302.5607,10.5
2,6,F,23,DSS4,303.3648,10.6
2,6,F,23,DSS4,304.1689,10.7
2,6,F,23,DSS4,304.9729,10.8
2,6,F,23,DSS4,305.777,10.9
2,6,F,23,DSS4,306.5811,11
2,6,F,23,DSS4,307.3851,11.1
2,6,F,23,DSS4,308.1892,11.2
2,6,F,24,DSS5,47.0216,0
2,6,F,24,DSS5,59.7858,0.1
2,6,F,24,DSS5,60.7297,0.2
2,6,F,24,DSS5,61.6393,0.3
2,6,F,24,DSS5,62.3006,0.4
2,6,F,24,DSS5,62.962,0.5
2,6,F,24,DSS5,63.6233,0.6
2,6,F,24,DSS5,64.3,0.7
2,6,F,24,DSS5,65.115,0.8
2,6,F,24,DSS5,65.93,0.9
2,6,F,24,DSS5,66.8386,1
2,6,F,24,DSS5,67.7471,1.1
2,6,F,24,DSS5,68.6557,1.2
2,6,F,24,DSS5,69.5643,1.3
2,6,F,24,DSS5,70.4729,1.4
2,6,F,24,DSS5,71.3814,1.5
2,6,F,24,DSS5,82.35,1.6
2,6,F,25,DSS6,5.7642,0
2,6,F,25,DSS6,11.5285,0.1
2,6,F,25,DSS6,17.2927,0.2
2,6,F,25,DSS6,23.0569,0.3
2,6,F,25,DSS6,37.0877,0.4
2,6,F,25,DSS6,49.1991,0.5
2,6,F,25,DSS6,49.9589,0.6
2,6,F,25,DSS6,50.7187,0.7
2,6,F,25,DSS6,51.4785,0.8
2,6,F,25,DSS6,52.2383,0.9
2,6,F,25,DSS6,52.9981,1
2,6,F,25,DSS6,53.6616,1.1
2,6,F,25,DSS6,53.8624,1.2
2,6,F,25,DSS6,54.0301,1.3
2,6,F,25,DSS6,54.1977,1.4
2,6,F,25,DSS6,54.3654,1.5
2,6,F,25,DSS6,54.533,1.6
2,6,F,25,DSS6,54.7007,1.7
2,6,F,25,DSS6,54.8684,1.8
2,6,F,25,DSS6,55.036,1.9
2,6,F,25,DSS6,55.1965,2
2,6,F,25,DSS6,55.3499,2.1
2,6,F,25,DSS6,55.5032,2.2
2,6,F,25,DSS6,55.6565,2.3
2,6,F,25,DSS6,55.8099,2.4
2,6,F,25,DSS6,55.9632,2.5
2,6,F,25,DSS6,56.1165,2.6
2,6,F,25,DSS6,56.2699,2.7
2,6,F,25,DSS6,56.4232,2.8
2,6,F,25,DSS6,56.5766,2.9
2,6,F,25,DSS6,56.7299,3
2,6,F,25,DSS6,56.8832,3.1
2,6,F,25,DSS6,58.8552,3.2
2,6,F,25,DSS6,61.2818,3.3
2,6,F,25,DSS6,63.7084,3.4
2,6,F,25,DSS6,66.135,3.5
2,6,F,25,DSS6,68.5616,3.6
2,6,F,25,DSS6,70.9882,3.7
2,6,F,25,DSS6,73.4149,3.8
2,6,F,25,DSS6,75.8415,3.9
2,6,F,26,DSS7,5.7642,0
2,6,F,26,DSS7,11.5285,0.1
2,6,F,26,DSS7,17.2927,0.2
2,6,F,26,DSS7,23.0569,0.3
