"","vName","Mod","Mean","dMean"
"1","qin","+10%",0.0501,-3.02
"2","qin","-10%",0.0532,3.04
"3","ecin","+10%",0.0516,0
"4","ecin","-10%",0.0516,0
"5","tin","+5C",0.0516,0
"6","tin","-5C",0.0516,0
"7","qout","+10%",0.0608,17.8
"8","qout","-10%",0.0424,-17.8
"9","ecout","+10%",0.0516,0
"10","ecout","-10%",0.0516,0
"11","tout","+5C",0.0516,0
"12","tout","-5C",0.0516,0
"13","qBIG","+20%",0.0505,-2.15
"14","qBIG","-20%",0.0527,2.15
"15","qWIL","+20%",0.051,-1.24
"16","qWIL","-20%",0.0523,1.26
"17","qBUF","+20%",0.0537,4.11
"18","qBUF","-20%",0.0495,-4.11
"19","qFRO","+20%",0.0525,1.72
"20","qFRO","-20%",0.0507,-1.72
"21","p","+25%",0.0516,0
"22","p","-25%",0.0516,0
"23","et","+0.98mm",0.0516,0
"24","et","-0.98mm",0.0516,0
"25","u2","+0.5mps",0.0516,0
"26","u2","-0.5mps",0.0516,0
"27","RHmin","+2%",0.0516,0
"28","RHmin","-2%",0.0516,0
"29","B1","+10%",0.0516,-0.0387
"30","B1","-10%",0.0516,0.0387
"31","B2","+10%",0.0516,0.0194
"32","B2","-10%",0.0516,-0.0194
"33","depthF","+0.01ft",0.0516,0
"34","depthF","-0.01ft",0.0516,0.0194
"35","depthG","+0.01ft",0.0516,0
"36","depthG","-0.01ft",0.0516,0
"37","depthF","+0.05ft",0.0516,-0.0387
"38","depthF","-0.05ft",0.0516,0.0387
"39","depthG","+0.05ft",0.0516,0.0194
"40","depthG","-0.05ft",0.0516,0
"41","depthF","+0.1ft",0.0516,-0.0581
"42","depthF","-0.1ft",0.0517,0.0775
"43","depthG","+0.1ft",0.0516,0.0194
"44","depthG","-0.1ft",0.0516,-0.0194
"45","depthF","+0.25ft",0.0515,-0.155
"46","depthF","-0.25ft",0.0793,53.6
"47","depthG","+0.25ft",0.0516,0.0387
"48","depthG","-0.25ft",0.0516,-0.0387
"49","base","none",0.0516,0
