"","vName","Mod","Mean","dMean"
"1","qin","+10%",0.0266,-11.1
"2","qin","-10%",0.0332,11.1
"3","ecin","+10%",0.0299,0
"4","ecin","-10%",0.0299,0
"5","tin","+5C",0.0299,0
"6","tin","-5C",0.0299,0
"7","qout","+10%",0.0378,26.3
"8","qout","-10%",0.0221,-26.3
"9","ecout","+10%",0.0299,0
"10","ecout","-10%",0.0299,0
"11","tout","+5C",0.0299,0
"12","tout","-5C",0.0299,0
"13","qBIG","+20%",0.0292,-2.41
"14","qBIG","-20%",0.0307,2.44
"15","qWIL","+20%",0.0295,-1.3
"16","qWIL","-20%",0.0303,1.34
"17","qBUF","+20%",0.0322,7.75
"18","qBUF","-20%",0.0276,-7.72
"19","qFRO","+20%",0.0307,2.54
"20","qFRO","-20%",0.0292,-2.51
"21","p","+25%",0.0299,-0.0334
"22","p","-25%",0.03,0.0668
"23","et","+0.98mm",0.0301,0.434
"24","et","-0.98mm",0.0298,-0.401
"25","u2","+0.5mps",0.0299,0
"26","u2","-0.5mps",0.0299,0.0334
"27","RHmin","+2%",0.0299,0.0334
"28","RHmin","-2%",0.0299,0
"29","B1","+10%",0.03,0.301
"30","B1","-10%",0.0298,-0.267
"31","B2","+10%",0.0299,-0.0334
"32","B2","-10%",0.03,0.0668
"33","depthF","+0.01ft",0.0299,0.0334
"34","depthF","-0.01ft",0.0299,0
"35","depthG","+0.01ft",0.0299,0.0334
"36","depthG","-0.01ft",0.0299,0
"37","depthF","+0.05ft",0.03,0.1
"38","depthF","-0.05ft",0.0299,-0.1
"39","depthG","+0.05ft",0.03,0.1
"40","depthG","-0.05ft",0.0299,-0.0668
"41","depthF","+0.1ft",0.03,0.2
"42","depthF","-0.1ft",0.0299,-0.2
"43","depthG","+0.1ft",0.03,0.167
"44","depthG","-0.1ft",0.0299,-0.134
"45","depthF","+0.25ft",0.0301,0.434
"46","depthF","-0.25ft",0.022,-26.4
"47","depthG","+0.25ft",0.03,0.368
"48","depthG","-0.25ft",0.0298,-0.368
"49","base","none",0.0299,0
