date,h.arkcatco,h.arkrocco,h.arklajco,h.arklasco,h.arklamco,h.arklamco,,Date,h.arklamco
3/1/1999,2.4,1.98,5.69,5,4.090625,NA,,3/1/1999,4.090625
3/2/1999,2.39,1.93,5.65,5.02,4.099375,NA,,3/2/1999,4.099375
3/3/1999,2.57,1.94,5.67,5,4.136041667,0.68,,3/3/1999,4.136041667
3/4/1999,2.6,1.94,5.67,5,3.958333333,1.06,,3/4/1999,3.958333333
3/5/1999,2.61,1.89,5.73,5,3.774791667,1,,3/5/1999,3.774791667
3/6/1999,2.67,1.88,5.97,5,3.744166667,0.9,,3/6/1999,3.744166667
3/7/1999,2.71,1.88,6.03,5.07,3.729791667,0.82,,3/7/1999,3.729791667
3/8/1999,2.71,1.88,6.17,5.11,3.7725,0.84,,3/8/1999,3.7725
3/9/1999,2.7,1.87,6.7,5.24,3.713333333,0.82,,3/9/1999,3.713333333
3/10/1999,2.51,1.87,6.56,5.44,3.72,0.79,,3/10/1999,3.72
3/11/1999,2.48,1.87,6.51,5.4,3.711875,0.87,,3/11/1999,3.711875
3/12/1999,2.53,1.86,6.57,5.4,3.686041667,0.98,,3/12/1999,3.686041667
3/13/1999,2.62,1.9,6.83,5.51,4.244375,0.44,,3/13/1999,4.244375
3/14/1999,2.67,1.91,6.91,5.76,4.539166667,0,,3/14/1999,4.539166667
3/15/1999,2.7,2.05,6.34,5.56,4.204375,0.37,,3/15/1999,4.204375
3/16/1999,2.87,2.25,6.11,5.05,3.810833333,0.81,,3/16/1999,3.810833333
3/17/1999,2.59,2.19,6.04,4.93,3.786666667,0.93,,3/17/1999,3.786666667
3/18/1999,2.63,2.17,6.09,4.89,3.785416667,1.04,,3/18/1999,3.785416667
3/19/1999,2.6,2.3,6.34,4.88,4.232083333,0.86,,3/19/1999,4.232083333
3/20/1999,2.5,2.28,6.73,5,4.235833333,0.8,,3/20/1999,4.235833333
