Date/Time,DISCHRG (cfs),GAGE_HT (ft)
3/1/1999 0:00, , 
3/2/1999 0:00, , 
3/3/1999 0:00,41.6,0.68
3/4/1999 0:00,63.3,1.06
3/5/1999 0:00,55.2,1
3/6/1999 0:00,45.8,0.9
3/7/1999 0:00,39.1,0.82
3/8/1999 0:00,40.2,0.84
3/9/1999 0:00,39.1,0.82
3/10/1999 0:00,36.5,0.79
3/11/1999 0:00,43.4,0.87
3/12/1999 0:00,52.6,0.98
3/13/1999 0:00,21.3,0.44
3/14/1999 0:00,-2.31,0
3/15/1999 0:00,15.5,0.37
3/16/1999 0:00,38.2,0.81
3/17/1999 0:00,48.3,0.93
3/18/1999 0:00,60.8,1.04
3/19/1999 0:00,46.7,0.86
3/20/1999 0:00,41.3,0.8
3/21/1999 0:00,49.3,0.9
3/22/1999 0:00,47.2,0.88
3/23/1999 0:00,67.6,1.1
3/24/1999 0:00,102,1.42
3/25/1999 0:00,105,1.45
3/26/1999 0:00,91.1,1.33
3/27/1999 0:00,86.6,1.29
3/28/1999 0:00,86.1,1.28
3/29/1999 0:00,85.3,1.28
3/30/1999 0:00,97.6,1.39
3/31/1999 0:00,107,1.47
4/1/1999 0:00,111,1.5
4/2/1999 0:00,115,1.54
4/3/1999 0:00,121,1.59
4/4/1999 0:00,122,1.59
4/5/1999 0:00,110,1.49
4/6/1999 0:00,82.7,1.25
4/7/1999 0:00,84,1.26
4/8/1999 0:00,80.6,1.23
4/9/1999 0:00,88.8,1.31
4/10/1999 0:00,89.5,1.31
4/11/1999 0:00,87.9,1.3
4/12/1999 0:00,84.3,1.27
4/13/1999 0:00,104,1.43
4/14/1999 0:00,66.5,1.09
4/15/1999 0:00,49.7,0.9
4/16/1999 0:00,82.7,1.25
4/17/1999 0:00,87.8,1.3
4/18/1999 0:00,96.8,1.38
4/19/1999 0:00,86.3,1.28
4/20/1999 0:00,120,1.57
4/21/1999 0:00,121,1.58
4/22/1999 0:00,139,1.73
4/23/1999 0:00,128,1.63
4/24/1999 0:00,133,1.68
4/25/1999 0:00,88.2,1.25
4/26/1999 0:00,61.2,1.03
4/27/1999 0:00,52.5,0.94
4/28/1999 0:00,49.8,0.91
4/29/1999 0:00,44.4,0.85
4/30/1999 0:00,38,0.75
5/1/1999 0:00,21.8,0.52
5/2/1999 0:00,61.9,1
5/3/1999 0:00,25.6,0.59
5/4/1999 0:00,72.6,1.11
5/5/1999 0:00,102,1.43
5/6/1999 0:00,103,1.43
5/7/1999 0:00,107,1.47
5/8/1999 0:00,113,1.52
5/9/1999 0:00,117,1.56
5/10/1999 0:00,151,1.82
5/11/1999 0:00,171,1.97
5/12/1999 0:00,172,1.98
5/13/1999 0:00,171,1.97
5/14/1999 0:00,151,1.82
5/15/1999 0:00,150,1.81
5/16/1999 0:00,152,1.83
5/17/1999 0:00,161,1.9
5/18/1999 0:00,168,1.95
5/19/1999 0:00,178,2.02
5/20/1999 0:00,163,1.91
5/21/1999 0:00,173,1.99
5/22/1999 0:00,176,2.01
5/23/1999 0:00,181,2.04
5/24/1999 0:00,181,2.04
5/25/1999 0:00,165,1.93
5/26/1999 0:00,159,1.88
5/27/1999 0:00,165,1.93
5/28/1999 0:00,158,1.88
5/29/1999 0:00,173,1.98
5/30/1999 0:00,196,2.15
5/31/1999 0:00,203,2.19
6/1/1999 0:00,222,2.32
6/2/1999 0:00,241,2.44
6/3/1999 0:00,249,2.49
6/4/1999 0:00,258,2.55
6/5/1999 0:00,259,2.55
6/6/1999 0:00,257,2.54
6/7/1999 0:00,251,2.51
6/8/1999 0:00,254,2.52
6/9/1999 0:00,255,2.53
6/10/1999 0:00,256,2.53
6/11/1999 0:00,258,2.55
6/12/1999 0:00,169,1.93
6/13/1999 0:00,142,1.75
6/14/1999 0:00,216,2.28
6/15/1999 0:00,189,2.1
6/16/1999 0:00,179,2.02
6/17/1999 0:00,155,1.86
6/18/1999 0:00,145,1.77
6/19/1999 0:00,155,1.85
6/20/1999 0:00,160,1.89
6/21/1999 0:00,160,1.89
6/22/1999 0:00,162,1.91
6/23/1999 0:00,164,1.92
6/24/1999 0:00,102,1.4
6/25/1999 0:00,85.7,1.28
6/26/1999 0:00,95.9,1.37
6/27/1999 0:00,109,1.48
6/28/1999 0:00,152,1.83
6/29/1999 0:00,166,1.94
6/30/1999 0:00,118,1.54
7/1/1999 0:00,176,2.01
7/2/1999 0:00,162,1.9
7/3/1999 0:00,156,1.86
7/4/1999 0:00,160,1.89
7/5/1999 0:00,177,2.02
7/6/1999 0:00,197,2.14
7/7/1999 0:00,237,2.41
7/8/1999 0:00,224,2.33
7/9/1999 0:00,267,2.6
7/10/1999 0:00,251,2.5
7/11/1999 0:00,261,2.57
7/12/1999 0:00,264,2.59
7/13/1999 0:00,249,2.49
7/14/1999 0:00,252,2.51
7/15/1999 0:00,262,2.57
7/16/1999 0:00,266,2.59
7/17/1999 0:00,257,2.54
7/18/1999 0:00,247,2.48
7/19/1999 0:00,231,2.38
7/20/1999 0:00,244,2.46
7/21/1999 0:00,247,2.48
7/22/1999 0:00,240,2.44
7/23/1999 0:00,234,2.4
7/24/1999 0:00,226,2.35
7/25/1999 0:00,208,2.23
7/26/1999 0:00,204,2.2
7/27/1999 0:00,210,2.24
7/28/1999 0:00,213,2.25
7/29/1999 0:00,223,2.32
7/30/1999 0:00,233,2.39
7/31/1999 0:00,229,2.37
8/1/1999 0:00,98.9,1.25
8/2/1999 0:00,82.1,1.24
8/3/1999 0:00,38.9,0.73
8/4/1999 0:00,8.81,0.29
8/5/1999 0:00,0.517,0.04
8/6/1999 0:00,47.7,0.84
8/7/1999 0:00,13,0.34
8/8/1999 0:00,0.38,0.04
8/9/1999 0:00,28.1,0.54
8/10/1999 0:00,31.2,0.58
8/11/1999 0:00,31.1,0.61
8/12/1999 0:00,116,1.54
8/13/1999 0:00,127,1.64
8/14/1999 0:00,130,1.66
8/15/1999 0:00,132,1.67
8/16/1999 0:00,153,1.83
8/17/1999 0:00,161,1.9
8/18/1999 0:00,175,1.99
8/19/1999 0:00,188,2.09
8/20/1999 0:00,184,2.06
8/21/1999 0:00,178,2.01
8/22/1999 0:00,165,1.92
8/23/1999 0:00,166,1.93
8/24/1999 0:00,162,1.9
8/25/1999 0:00,176,2
8/26/1999 0:00,176,2
8/27/1999 0:00,184,2.06
8/28/1999 0:00,186,2.07
8/29/1999 0:00,194,2.13
8/30/1999 0:00,191,2.11
8/31/1999 0:00,164,1.92
9/1/1999 0:00,170,1.96
9/2/1999 0:00,173,1.98
9/3/1999 0:00,190,2.1
9/4/1999 0:00,192,2.12
9/5/1999 0:00,185,2.06
9/6/1999 0:00,177,2.01
9/7/1999 0:00,175,2
9/8/1999 0:00,166,1.93
9/9/1999 0:00,177,2.01
9/10/1999 0:00,178,2.02
9/11/1999 0:00,178,2.02
9/12/1999 0:00,169,1.95
9/13/1999 0:00,164,1.91
9/14/1999 0:00,154,1.85
9/15/1999 0:00,159,1.88
9/16/1999 0:00,148,1.8
9/17/1999 0:00,116,1.54
9/18/1999 0:00,114,1.53
9/19/1999 0:00,112,1.51
9/20/1999 0:00,110,1.5
9/21/1999 0:00,104,1.45
9/22/1999 0:00,107,1.47
9/23/1999 0:00,77.3,1.2
9/24/1999 0:00,97.2,1.38
9/25/1999 0:00,98.1,1.39
9/26/1999 0:00,97.7,1.39
9/27/1999 0:00,95.6,1.37
9/28/1999 0:00,97,1.38
9/29/1999 0:00,96.8,1.38
9/30/1999 0:00,88.3,1.3
10/1/1999 0:00,75.6,1.18
10/2/1999 0:00,78.7,1.21
10/3/1999 0:00,77.5,1.2
10/4/1999 0:00,80.8,1.23
10/5/1999 0:00,76.9,1.19
10/6/1999 0:00,75.9,1.18
10/7/1999 0:00,67.2,1.1
10/8/1999 0:00,64.1,1.07
10/9/1999 0:00,63.3,1.06
10/10/1999 0:00,62.2,1.05
10/11/1999 0:00,61.4,1.04
10/12/1999 0:00,60,1.02
10/13/1999 0:00,57.2,0.99
10/14/1999 0:00,57.6,1
10/15/1999 0:00,55.4,0.97
10/16/1999 0:00,64.7,1.07
10/17/1999 0:00,62,1.04
10/18/1999 0:00,67.3,1.1
10/19/1999 0:00,75,1.18
10/20/1999 0:00,77.7,1.2
10/21/1999 0:00,68,1.11
10/22/1999 0:00,68,1.1
10/23/1999 0:00,64.7,1.07
10/24/1999 0:00,72.1,1.15
10/25/1999 0:00,69.9,1.13
10/26/1999 0:00,63.3,1.06
10/27/1999 0:00,61.7,1.04
10/28/1999 0:00,67,1.1
10/29/1999 0:00,65,1.08
10/30/1999 0:00,54.6,0.96
10/31/1999 0:00,56.6,0.99
11/1/1999 0:00,62.2,1.05
11/2/1999 0:00,61.4,1.04
11/3/1999 0:00,46.1,0.87
11/4/1999 0:00,56.6,0.99
11/5/1999 0:00,60.4,1.03
11/6/1999 0:00,68.1,1.11
11/7/1999 0:00,71,1.14
11/8/1999 0:00,78.1,1.21
11/9/1999 0:00,69.5,1.12
11/10/1999 0:00,53.3,0.95
11/11/1999 0:00,51.7,0.93
11/12/1999 0:00,53.2,0.95
11/13/1999 0:00,52.2,0.94
11/14/1999 0:00,52.8,0.94
11/15/1999 0:00,54.7,0.97
11/16/1999 0:00,57.6,1
11/17/1999 0:00,70.3,1.13
11/18/1999 0:00,90.5,1.32
11/19/1999 0:00,77.9,1.2
11/20/1999 0:00,65.3,1.08
11/21/1999 0:00,65,1.08
11/22/1999 0:00,61.9,1.04
11/23/1999 0:00,46.3,0.87
11/24/1999 0:00,39.9,0.76
11/25/1999 0:00,8.77,0.31
11/26/1999 0:00,5.75,0.21
11/27/1999 0:00,0,0
11/28/1999 0:00,0,0
11/29/1999 0:00,0,0
11/30/1999 0:00,0,0
12/1/1999 0:00,0,0
12/2/1999 0:00,0,0
12/3/1999 0:00,0,0
12/4/1999 0:00,0,0
12/5/1999 0:00,0,0
12/6/1999 0:00,0,0
12/7/1999 0:00,0,0
12/8/1999 0:00,0,0
12/9/1999 0:00,0,0
12/10/1999 0:00,0,0
12/11/1999 0:00,0,0
12/12/1999 0:00,0,0
12/13/1999 0:00,0,0
12/14/1999 0:00,0,0
12/15/1999 0:00,0,0
12/16/1999 0:00,0,0
12/17/1999 0:00,0,0
12/18/1999 0:00,0,0
12/19/1999 0:00,0,0
12/20/1999 0:00,0,0
12/21/1999 0:00,0,0
12/22/1999 0:00,0,0
12/23/1999 0:00,0,0
12/24/1999 0:00,0,0
12/25/1999 0:00,0,0
12/26/1999 0:00,0,0
12/27/1999 0:00,0,0
12/28/1999 0:00,0,0
12/29/1999 0:00,0,0
12/30/1999 0:00,0,0
12/31/1999 0:00, ,99.96
1/1/2000 0:00, ,99.96
1/2/2000 0:00, ,99.96
1/3/2000 0:00, ,99.96
1/4/2000 0:00, ,99.96
1/5/2000 0:00, , 
1/6/2000 0:00, ,99.95
1/7/2000 0:00, ,99.95
1/8/2000 0:00, ,99.95
1/9/2000 0:00, ,99.95
1/10/2000 0:00, ,99.95
1/11/2000 0:00, ,99.95
1/12/2000 0:00, ,99.95
1/13/2000 0:00, ,99.95
1/14/2000 0:00, ,99.95
1/15/2000 0:00,-749.2,74.94
1/16/2000 0:00, ,99.95
1/17/2000 0:00,-707.6,70.78
1/18/2000 0:00,-790.9,79.11
1/19/2000 0:00, ,99.95
1/20/2000 0:00,-988,97.98
1/21/2000 0:00,-988,98.92
1/22/2000 0:00, ,99.95
1/23/2000 0:00, ,99.95
1/24/2000 0:00, ,99.95
1/25/2000 0:00, ,99.95
1/26/2000 0:00, ,99.95
1/27/2000 0:00, ,99.95
1/28/2000 0:00, ,99.95
1/29/2000 0:00, ,99.95
1/30/2000 0:00, ,99.95
1/31/2000 0:00, ,99.94
2/1/2000 0:00, ,99.94
2/2/2000 0:00, ,99.94
2/3/2000 0:00, ,99.94
2/4/2000 0:00, ,99.94
2/5/2000 0:00, ,99.94
2/6/2000 0:00, ,99.94
2/7/2000 0:00, ,99.94
2/8/2000 0:00, ,99.94
2/9/2000 0:00, ,99.94
2/10/2000 0:00, ,99.94
2/11/2000 0:00, ,99.94
2/12/2000 0:00, ,99.94
2/13/2000 0:00, ,99.94
2/14/2000 0:00, ,99.94
2/15/2000 0:00, ,99.94
2/16/2000 0:00, ,99.94
2/17/2000 0:00, ,99.94
2/18/2000 0:00, ,99.94
2/19/2000 0:00, ,99.94
2/20/2000 0:00, ,99.94
2/21/2000 0:00, ,99.94
2/22/2000 0:00, ,99.94
2/23/2000 0:00, ,99.94
2/24/2000 0:00, ,99.94
2/25/2000 0:00, ,99.94
2/26/2000 0:00, ,99.95
2/27/2000 0:00,-688.7,69.92
2/28/2000 0:00,106,1.42
2/29/2000 0:00,57.4,0.99
3/1/2000 0:00,67,1.09
3/2/2000 0:00,56.1,0.98
3/3/2000 0:00,68.8,1.1
3/4/2000 0:00,55.3,0.96
3/5/2000 0:00,42.2,0.82
3/6/2000 0:00,51.8,0.91
3/7/2000 0:00,79.6,1.21
3/8/2000 0:00,72.4,1.15
3/9/2000 0:00,88.9,1.31
3/10/2000 0:00,106,1.46
3/11/2000 0:00,107,1.46
3/12/2000 0:00,101,1.42
3/13/2000 0:00,102,1.42
3/14/2000 0:00,100,1.41
3/15/2000 0:00,116,1.54
3/16/2000 0:00,96.6,1.37
3/17/2000 0:00,115,1.53
3/18/2000 0:00,124,1.6
3/19/2000 0:00,125,1.61
3/20/2000 0:00,130,1.66
3/21/2000 0:00,130,1.66
3/22/2000 0:00,122,1.59
3/23/2000 0:00,119,1.57
3/24/2000 0:00,121,1.58
3/25/2000 0:00,122,1.59
3/26/2000 0:00,121,1.58
3/27/2000 0:00,121,1.58
3/28/2000 0:00,122,1.59
3/29/2000 0:00,110,1.49
3/30/2000 0:00,120,1.57
3/31/2000 0:00,107,1.46
4/1/2000 0:00, , 
4/2/2000 0:00, , 
4/3/2000 0:00, , 
4/4/2000 0:00, , 
4/5/2000 0:00,93.3,1.35
4/6/2000 0:00,97.8,1.39
4/7/2000 0:00,105,1.45
4/8/2000 0:00,113,1.51
4/9/2000 0:00,117,1.55
4/10/2000 0:00,121,1.58
4/11/2000 0:00,129,1.65
4/12/2000 0:00,141,1.74
4/13/2000 0:00,163,1.91
4/14/2000 0:00,174,1.99
4/15/2000 0:00,189,2.09
4/16/2000 0:00,187,2.08
4/17/2000 0:00,201,2.18
4/18/2000 0:00,205,2.21
4/19/2000 0:00,203,2.19
4/20/2000 0:00,207,2.22
