# ---------------------------------- WARNING ----------------------------------------,,,,,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,,,,,
# have not received Director's approval and as such are provisional and subject to,,,,,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,,,,,
#,,,,,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,,,,,
#,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,
# retrieved: 2012-01-11 22:47:04 EST       (caww02),,,,,,,,
#,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,
"#    USGS 07137500 ARKANSAS R NR COOLIDGE, KS",,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,
#,,,,,,,,
# Data provided for site 07137500,,,,,,,,
#    DD parameter statistic   Description,,,,,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,
"#    04   00010     00003     Temperature, water, degrees Celsius (Mean)",,,,,,,,
"#    06   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)",,,,,,,,
#,,,,,,,,
# Data-value qualification codes included in this output: ,,,,,,,,
#     Ice  Ice affected  ,,,,,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,,,,,
#     P  Provisional data subject to revision.  ,,,,,,,,
#     e  Value has been estimated.  ,,,,,,,,
# ,,,,,,,,
agency_cd,site_no,datetime,01_00060_00003,01_00060_00003_cd,04_00010_00003,04_00010_00003_cd,06_00095_00003,06_00095_00003_cd
5s,15s,20d,14n,10s,14n,10s,14n,10s
USGS,7137500,3/1/1999,205,A,,,,
USGS,7137500,3/2/1999,201,A,,,,
USGS,7137500,3/3/1999,195,A,,,,
USGS,7137500,3/4/1999,198,A,,,,
USGS,7137500,3/5/1999,191,A,,,,
USGS,7137500,3/6/1999,184,A,,,,
USGS,7137500,3/7/1999,181,A,,,,
USGS,7137500,3/8/1999,194,A,,,,
USGS,7137500,3/9/1999,196,A,,,,
USGS,7137500,3/10/1999,191,A,,,,
USGS,7137500,3/11/1999,186,A,,,,
USGS,7137500,3/12/1999,198,A,,,,
USGS,7137500,3/13/1999,208,A,,,,
USGS,7137500,3/14/1999,220,A,,,,
USGS,7137500,3/15/1999,221,A,,,,
USGS,7137500,3/16/1999,225,A,,,,
USGS,7137500,3/17/1999,208,A,,,,
USGS,7137500,3/18/1999,194,A,,,,
USGS,7137500,3/19/1999,204,A,,,,
USGS,7137500,3/20/1999,221,A,,,,
USGS,7137500,3/21/1999,216,A,,,,
USGS,7137500,3/22/1999,202,A,,,,
USGS,7137500,3/23/1999,189,A,,,,
USGS,7137500,3/24/1999,201,A,,,,
USGS,7137500,3/25/1999,223,A,,,,
USGS,7137500,3/26/1999,236,A,,,,
USGS,7137500,3/27/1999,251,A,,,,
USGS,7137500,3/28/1999,243,A,,,,
USGS,7137500,3/29/1999,234,A,,,,
USGS,7137500,3/30/1999,226,A,,,,
USGS,7137500,3/31/1999,222,A,,,,
USGS,7137500,4/1/1999,220,A,,,,
USGS,7137500,4/2/1999,220,A,,,,
USGS,7137500,4/3/1999,229,A,,,,
USGS,7137500,4/4/1999,227,A,,,,
USGS,7137500,4/5/1999,260,A,,,,
USGS,7137500,4/6/1999,261,A,,,,
