# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,
#,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2012-01-11 22:44:35 EST       (vaww02),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 07134180 ARKANSAS RIVER NEAR GRANADA, CO.",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 07134180,,,,
#    DD parameter statistic   Description,,,,
"#    04   00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output: ,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,
#     P  Provisional data subject to revision.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
agency_cd,site_no,datetime,04_00060_00003,04_00060_00003_cd
5s,15s,20d,14n,10s
USGS,7134180,3/1/1999,118,A
USGS,7134180,3/2/1999,118,A
USGS,7134180,3/3/1999,119,A
USGS,7134180,3/4/1999,121,A
USGS,7134180,3/5/1999,112,A
USGS,7134180,3/6/1999,107,A
USGS,7134180,3/7/1999,106,A
USGS,7134180,3/8/1999,112,A
USGS,7134180,3/9/1999,111,A
USGS,7134180,3/10/1999,110,A
USGS,7134180,3/11/1999,113,A
USGS,7134180,3/12/1999,114,A
USGS,7134180,3/13/1999,114,A
USGS,7134180,3/14/1999,138,A
USGS,7134180,3/15/1999,155,A
USGS,7134180,3/16/1999,139,A
USGS,7134180,3/17/1999,122,A
USGS,7134180,3/18/1999,115,A
USGS,7134180,3/19/1999,121,A
USGS,7134180,3/20/1999,142,A
USGS,7134180,3/21/1999,129,A
USGS,7134180,3/22/1999,117,A
USGS,7134180,3/23/1999,114,A
USGS,7134180,3/24/1999,119,A
USGS,7134180,3/25/1999,129,A
USGS,7134180,3/26/1999,164,A
USGS,7134180,3/27/1999,177,A
USGS,7134180,3/28/1999,164,A
USGS,7134180,3/29/1999,151,A
USGS,7134180,3/30/1999,141,A
USGS,7134180,3/31/1999,136,A
USGS,7134180,4/1/1999,136,A
USGS,7134180,4/2/1999,142,A
USGS,7134180,4/3/1999,136,A
USGS,7134180,4/4/1999,97,A
USGS,7134180,4/5/1999,106,A
USGS,7134180,4/6/1999,116,A
USGS,7134180,4/7/1999,127,A
USGS,7134180,4/8/1999,127,A
USGS,7134180,4/9/1999,106,A
USGS,7134180,4/10/1999,87,A
USGS,7134180,4/11/1999,84,A
USGS,7134180,4/12/1999,93,A
USGS,7134180,4/13/1999,101,A
USGS,7134180,4/14/1999,144,A
USGS,7134180,4/15/1999,294,A
USGS,7134180,4/16/1999,230,A
USGS,7134180,4/17/1999,172,A
USGS,7134180,4/18/1999,146,A
USGS,7134180,4/19/1999,128,A
USGS,7134180,4/20/1999,146,A
USGS,7134180,4/21/1999,120,A
USGS,7134180,4/22/1999,108,A
USGS,7134180,4/23/1999,110,A
USGS,7134180,4/24/1999,112,A
USGS,7134180,4/25/1999,109,A
USGS,7134180,4/26/1999,143,A
USGS,7134180,4/27/1999,144,A
USGS,7134180,4/28/1999,121,A
USGS,7134180,4/29/1999,106,A
USGS,7134180,4/30/1999,143,A
USGS,7134180,5/1/1999,532,A
USGS,7134180,5/2/1999,935,A
USGS,7134180,5/3/1999,1090,A
USGS,7134180,5/4/1999,2320,A
USGS,7134180,5/5/1999,4070,A
USGS,7134180,5/6/1999,2510,A
USGS,7134180,5/7/1999,2030,A
USGS,7134180,5/8/1999,2260,A
USGS,7134180,5/9/1999,2570,A
USGS,7134180,5/10/1999,2740,A
USGS,7134180,5/11/1999,2670,A
USGS,7134180,5/12/1999,2650,A
USGS,7134180,5/13/1999,2660,A
USGS,7134180,5/14/1999,2670,A
USGS,7134180,5/15/1999,2590,A
USGS,7134180,5/16/1999,2520,A
USGS,7134180,5/17/1999,2560,A
USGS,7134180,5/18/1999,2660,A
USGS,7134180,5/19/1999,2660,A
USGS,7134180,5/20/1999,2680,A
USGS,7134180,5/21/1999,2670,A
