# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,,,,,,,
# have not received Director's approval and as such are provisional and subject to,,,,,,,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,,,,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,,,,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,,,,,,,
#,,,,,,,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,,,,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,,,,,,,
#,,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,,
# retrieved: 2012-01-11 22:35:13 EST       (caww02),,,,,,,,,,
#,,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,,
"#    USGS 07130500 ARKANSAS RIVER BELOW JOHN MARTIN RESERVOIR, CO.",,,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,,
#,,,,,,,,,,
# Data provided for site 07130500,,,,,,,,,,
#    DD parameter statistic   Description,,,,,,,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,,
"#    15   00010     00001     Temperature, water, degrees Celsius (Maximum)",,,,,,,,,,
"#    15   00010     00002     Temperature, water, degrees Celsius (Minimum)",,,,,,,,,,
"#    16   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)",,,,,,,,,,
#,,,,,,,,,,
# Data-value qualification codes included in this output: ,,,,,,,,,,
#     Eqp  Equipment malfunction  ,,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,,,,,,,
#     P  Provisional data subject to revision.  ,,,,,,,,,,
#     e  Value has been estimated.  ,,,,,,,,,,
# ,,,,,,,,,,
agency_cd,site_no,datetime,01_00060_00003,01_00060_00003_cd,15_00010_00001,15_00010_00001_cd,15_00010_00002,15_00010_00002_cd,16_00095_00003,16_00095_00003_cd
5s,15s,20d,14n,10s,14n,10s,14n,10s,14n,10s
USGS,7130500,3/1/1999,69,A,6,A,4,A,2240,A
USGS,7130500,3/2/1999,70,A,5.6,A,4.2,A,2250,A
USGS,7130500,3/3/1999,41,A,6.8,A,3.9,A,2250,A
USGS,7130500,3/4/1999,21,A,7.1,A,4.7,A,2260,A
USGS,7130500,3/5/1999,11,A,8.3,A,4.5,A,2270,A
USGS,7130500,3/6/1999,3.2,A,6.6,A,4.6,A,2280,A
USGS,7130500,3/7/1999,3.2,A,8.6,A,3.7,A,2290,A
USGS,7130500,3/8/1999,6.4,A,8.2,A,5.4,A,2300,A
USGS,7130500,3/9/1999,25,A,6.8,A,5,A,2280,A
USGS,7130500,3/10/1999,51,A,6.8,A,4.8,A,2260,A
USGS,7130500,3/11/1999,62,A,5.1,A,4.6,A,2250,A
USGS,7130500,3/12/1999,38,A,4.8,A,3.8,A,2250,A
USGS,7130500,3/13/1999,22,A,5.4,A,3.6,A,2240,A
USGS,7130500,3/14/1999,22,A,7,A,4,A,2260,A
USGS,7130500,3/15/1999,22,A,7.7,A,4.8,A,2260,A
USGS,7130500,3/16/1999,41,A,7.3,A,5.6,A,2260,A
USGS,7130500,3/17/1999,53,A,7,A,5.1,A,2250,A
USGS,7130500,3/18/1999,61,A,5.6,A,4.5,A,2240,A
USGS,7130500,3/19/1999,40,A,7,A,4.6,A,2230,A
USGS,7130500,3/20/1999,23,A,8.2,A,4.9,A,2230,A
USGS,7130500,3/21/1999,23,A,8.7,A,5.5,A,2230,A
USGS,7130500,3/22/1999,79,A,7.2,A,5.8,A,2240,A
USGS,7130500,3/23/1999,116,A,7,A,5.6,A,2220,A
USGS,7130500,3/24/1999,117,A,6.1,A,5.7,A,2200,A
USGS,7130500,3/25/1999,117,A,7.3,A,5.6,A,2200,A
USGS,7130500,3/26/1999,110,A,8.3,A,6,A,2200,A
USGS,7130500,3/27/1999,105,A,8.4,A,6.8,A,2210,A
USGS,7130500,3/28/1999,105,A,8.3,A,6.7,A,2190,A
USGS,7130500,3/29/1999,122,A,8.1,A,6.6,A,2190,A
USGS,7130500,3/30/1999,138,A,8.7,A,7,A,2220,A
USGS,7130500,3/31/1999,142,A,9,A,7.5,A,2230,A
USGS,7130500,4/1/1999,145,A,9.1,A,7.7,A,2230,A
USGS,7130500,4/2/1999,151,A,8.4,A,7.6,A,2220,A
USGS,7130500,4/3/1999,149,A,9.1,A,7.7,A,2200,A
USGS,7130500,4/4/1999,149,A,8.6,A,8,A,2190,A
USGS,7130500,4/5/1999,121,A,9.2,A,8,A,2190,A
USGS,7130500,4/6/1999,96,A,10,A,7.9,A,2190,A
USGS,7130500,4/7/1999,98,A,10.1,A,8,A,2180,A
USGS,7130500,4/8/1999,104,A,9.9,A,7.9,A,2190,A
USGS,7130500,4/9/1999,106,A,10.7,A,8.5,A,2190,A
USGS,7130500,4/10/1999,101,A,10.4,A,8.3,A,2200,A
USGS,7130500,4/11/1999,102,A,10.6,A,8.5,A,2190,A
USGS,7130500,4/12/1999,136,A,10.2,A,8.6,A,2180,A
USGS,7130500,4/13/1999,308,A,9.5,A,9.1,A,2240,A
USGS,7130500,4/14/1999,252,A,9.1,A,8.7,A,2240,A
USGS,7130500,4/15/1999,148,A,9.2,A,8.3,A,2250,A
USGS,7130500,4/16/1999,134,A,8.9,A,7.9,A,2250,A
USGS,7130500,4/17/1999,128,A,9.4,A,7.6,A,2250,A
USGS,7130500,4/18/1999,127,A,10.2,A,8.4,A,2250,A
USGS,7130500,4/19/1999,368,A,9.5,A,8.7,A,2250,A
USGS,7130500,4/20/1999,559,A,9.4,A,8.7,A,2250,A
USGS,7130500,4/21/1999,468,A,9.2,A,8.6,A,2230,A
USGS,7130500,4/22/1999,417,A,9.2,A,8.6,A,2230,A
USGS,7130500,4/23/1999,394,A,9,A,8.6,A,2230,A
USGS,7130500,4/24/1999,371,A,8.8,A,8.6,A,2230,A
USGS,7130500,4/25/1999,371,A,9.5,A,8.6,A,2230,A
USGS,7130500,4/26/1999,370,A,9.7,A,8.7,A,2230,A
USGS,7130500,4/27/1999,348,A,9.9,A,8.9,A,2220,A
USGS,7130500,4/28/1999,337,A,9.6,A,8.9,A,2200,A
USGS,7130500,4/29/1999,310,A,9.6,A,9.1,A,2220,A
USGS,7130500,4/30/1999,224,A,9.7,A,9.4,A,2210,A
USGS,7130500,5/1/1999,7.5,A,,,,,,
USGS,7130500,5/2/1999,367,A,,,,,,
USGS,7130500,5/3/1999,1830,A,11.8,A,10.1,A,2180,A
USGS,7130500,5/4/1999,1860,A,11.6,A,11.1,A,2100,A
USGS,7130500,5/5/1999,1620,A,11.3,A,11,A,2050,A
USGS,7130500,5/6/1999,1760,A,11.1,A,10.8,A,1990,A
USGS,7130500,5/7/1999,2250,A,11.3,A,10.9,A,2020,A
USGS,7130500,5/8/1999,2590,A,11.3,A,11,A,2050,A
USGS,7130500,5/9/1999,2680,A,11.3,A,11,A,2060,A
USGS,7130500,5/10/1999,2670,A,11.4,A,11,A,2040,A
USGS,7130500,5/11/1999,2670,A,11.7,A,11.2,A,1990,A
USGS,7130500,5/12/1999,2740,A,12.1,A,11.4,A,1940,A
USGS,7130500,5/13/1999,2780,A,11.9,A,11.4,A,1990,A
USGS,7130500,5/14/1999,2840,A,11.7,A,11.3,A,2000,A
USGS,7130500,5/15/1999,2880,A,11.9,A,11.5,A,1980,A
USGS,7130500,5/16/1999,2940,A,11.9,A,11.6,A,1980,A
USGS,7130500,5/17/1999,2990,A,12.3,A,11.7,A,1970,A
USGS,7130500,5/18/1999,2990,A,12.2,A,11.6,A,1960,A
USGS,7130500,5/19/1999,2980,A,12.6,A,12.1,A,1940,A
USGS,7130500,5/20/1999,2970,A,13,A,12.2,A,1930,A
USGS,7130500,5/21/1999,2960,A,13.2,A,12.8,A,1920,A
USGS,7130500,5/22/1999,2950,A,13.4,A,12.7,A,1920,A
USGS,7130500,5/23/1999,2950,A,13.5,A,13,A,1910,A
