# ---------------------------------- WARNING ----------------------------------------,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,
# have not received Director's approval and as such are provisional and subject to,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,
#,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,
#,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,
# retrieved: 2012-01-11 22:55:57 EST       (caww01),,,,
#,,,,
# Data for the following 1 site(s) are contained in this file,,,,
"#    USGS 07137000 FRONTIER DITCH NR COOLIDGE, KS",,,,
# -----------------------------------------------------------------------------------,,,,
#,,,,
# Data provided for site 07137000,,,,
#    DD parameter statistic   Description,,,,
"#    01   00060     00003     Discharge, cubic feet per second (Mean)",,,,
#,,,,
# Data-value qualification codes included in this output: ,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,
#     P  Provisional data subject to revision.  ,,,,
#     e  Value has been estimated.  ,,,,
# ,,,,
agency_cd,site_no,datetime,01_00060_00003,01_00060_00003_cd
5s,15s,20d,14n,10s
USGS,7137000,3/1/1999,0,A
USGS,7137000,3/2/1999,0,A
USGS,7137000,3/3/1999,0,A
USGS,7137000,3/4/1999,0,A
USGS,7137000,3/5/1999,0,A
USGS,7137000,3/6/1999,0,A
USGS,7137000,3/7/1999,0,A
USGS,7137000,3/8/1999,0,A
USGS,7137000,3/9/1999,0,A
USGS,7137000,3/10/1999,0,A
USGS,7137000,3/11/1999,0,A
USGS,7137000,3/12/1999,0,A
USGS,7137000,3/13/1999,0,A
USGS,7137000,3/14/1999,0,A
USGS,7137000,3/15/1999,0,A
USGS,7137000,3/16/1999,0,A
USGS,7137000,3/17/1999,0,A
USGS,7137000,3/18/1999,0,A
USGS,7137000,3/19/1999,0,A
USGS,7137000,3/20/1999,0,A
USGS,7137000,3/21/1999,0,A
USGS,7137000,3/22/1999,0,A
USGS,7137000,3/23/1999,0,A
USGS,7137000,3/24/1999,0,A
USGS,7137000,3/25/1999,0,A
USGS,7137000,3/26/1999,0,A
USGS,7137000,3/27/1999,0,A
USGS,7137000,3/28/1999,0,A
USGS,7137000,3/29/1999,0,A
USGS,7137000,3/30/1999,0,A
USGS,7137000,3/31/1999,0,A
USGS,7137000,4/1/1999,0,A
USGS,7137000,4/2/1999,0,A
USGS,7137000,4/3/1999,0,A
USGS,7137000,4/4/1999,0,A
USGS,7137000,4/5/1999,0,A
USGS,7137000,4/6/1999,0,A
USGS,7137000,4/7/1999,0,A
USGS,7137000,4/8/1999,0,A
USGS,7137000,4/9/1999,0,A
USGS,7137000,4/10/1999,0,A
USGS,7137000,4/11/1999,0,A
USGS,7137000,4/12/1999,0,A
USGS,7137000,4/13/1999,0,A
USGS,7137000,4/14/1999,0,A
USGS,7137000,4/15/1999,0,A
USGS,7137000,4/16/1999,0,A
USGS,7137000,4/17/1999,0,A
USGS,7137000,4/18/1999,0,A
USGS,7137000,4/19/1999,0,A
USGS,7137000,4/20/1999,0,A
USGS,7137000,4/21/1999,0,A
USGS,7137000,4/22/1999,0,A
USGS,7137000,4/23/1999,0,A
USGS,7137000,4/24/1999,0,A
USGS,7137000,4/25/1999,0,A
USGS,7137000,4/26/1999,0,A
USGS,7137000,4/27/1999,0,A
USGS,7137000,4/28/1999,0,A
USGS,7137000,4/29/1999,0,A
USGS,7137000,4/30/1999,0,A
USGS,7137000,5/1/1999,0,A
USGS,7137000,5/2/1999,0.26,A
USGS,7137000,5/3/1999,0.49,A
USGS,7137000,5/4/1999,0.26,A
USGS,7137000,5/5/1999,0,A
USGS,7137000,5/6/1999,0,A
USGS,7137000,5/7/1999,0,A
USGS,7137000,5/8/1999,0,A
USGS,7137000,5/9/1999,0,A
USGS,7137000,5/10/1999,0,A
USGS,7137000,5/11/1999,0,A
USGS,7137000,5/12/1999,0,A
USGS,7137000,5/13/1999,0,A
USGS,7137000,5/14/1999,0,A
USGS,7137000,5/15/1999,0,A
USGS,7137000,5/16/1999,0,A
USGS,7137000,5/17/1999,0,A
USGS,7137000,5/18/1999,0,A
USGS,7137000,5/19/1999,0,A
USGS,7137000,5/20/1999,0,A
USGS,7137000,5/21/1999,0,A
USGS,7137000,5/22/1999,0,A
USGS,7137000,5/23/1999,0,A
USGS,7137000,5/24/1999,0,A
USGS,7137000,5/25/1999,0,A
USGS,7137000,5/26/1999,0,A
USGS,7137000,5/27/1999,0,A
USGS,7137000,5/28/1999,19,A
USGS,7137000,5/29/1999,36,A
USGS,7137000,5/30/1999,36,A
USGS,7137000,5/31/1999,39,A
USGS,7137000,6/1/1999,38,A
USGS,7137000,6/2/1999,32,A
USGS,7137000,6/3/1999,40,A
USGS,7137000,6/4/1999,41,A
USGS,7137000,6/5/1999,40,A
USGS,7137000,6/6/1999,40,A
USGS,7137000,6/7/1999,45,A
USGS,7137000,6/8/1999,53,A
USGS,7137000,6/9/1999,52,A
USGS,7137000,6/10/1999,52,A
USGS,7137000,6/11/1999,46,A
USGS,7137000,6/12/1999,40,A
USGS,7137000,6/13/1999,40,A
USGS,7137000,6/14/1999,40,A
USGS,7137000,6/15/1999,41,A
USGS,7137000,6/16/1999,41,A
USGS,7137000,6/17/1999,34,A
USGS,7137000,6/18/1999,0.92,A
USGS,7137000,6/19/1999,0.38,A
USGS,7137000,6/20/1999,5.7,A
USGS,7137000,6/21/1999,35,A
USGS,7137000,6/22/1999,37,A
USGS,7137000,6/23/1999,36,A
USGS,7137000,6/24/1999,37,A
USGS,7137000,6/25/1999,32,A
USGS,7137000,6/26/1999,42,A
USGS,7137000,6/27/1999,41,A
USGS,7137000,6/28/1999,44,A
USGS,7137000,6/29/1999,42,A
USGS,7137000,6/30/1999,41,A
USGS,7137000,7/1/1999,41,A
USGS,7137000,7/2/1999,32,A
USGS,7137000,7/3/1999,21,A
USGS,7137000,7/4/1999,3.8,A
USGS,7137000,7/5/1999,28,A
USGS,7137000,7/6/1999,41,A
USGS,7137000,7/7/1999,44,A
USGS,7137000,7/8/1999,46,A
USGS,7137000,7/9/1999,45,A
USGS,7137000,7/10/1999,49,A
USGS,7137000,7/11/1999,48,A
USGS,7137000,7/12/1999,47,A
USGS,7137000,7/13/1999,44,A
USGS,7137000,7/14/1999,43,A
USGS,7137000,7/15/1999,44,A
USGS,7137000,7/16/1999,44,A
USGS,7137000,7/17/1999,44,A
