# ---------------------------------- WARNING ----------------------------------------,,,,,,,,,
# The data you have obtained from this automated U.S. Geological Survey database,,,,,,,,,
# have not received Director's approval and as such are provisional and subject to,,,,,,,,,
# revision.  The data are released on the condition that neither the USGS nor the,,,,,,,,,
# United States Government may be held liable for any damages resulting from its use.,,,,,,,,,
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional,,,,,,,,,
#,,,,,,,,,
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info,,,,,,,,,
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info,,,,,,,,,
#,,,,,,,,,
# Contact:   gs-w_support_nwisweb@usgs.gov,,,,,,,,,
# retrieved: 2012-01-11 23:02:38 EST       (sdww01),,,,,,,,,
#,,,,,,,,,
# Data for the following 1 site(s) are contained in this file,,,,,,,,,
"#    USGS 07134990 WILD HORSE CREEK ABOVE HOLLY, CO",,,,,,,,,
# -----------------------------------------------------------------------------------,,,,,,,,,
#,,,,,,,,,
# Data provided for site 07134990,,,,,,,,,
#    DD parameter statistic   Description,,,,,,,,,
"#    02   00060     00003     Discharge, cubic feet per second (Mean)",,,,,,,,,
#,,,,,,,,,
# Data-value qualification codes included in this output: ,,,,,,,,,
#     A  Approved for publication -- Processing and review completed.  ,,,,,,,,,
#     e  Value has been estimated.  ,,,,,,,,,
# ,,,,,,,,,
agency_cd,site_no,datetime,02_00060_00003,02_00060_00003_cd,,,,,
5s,15s,20d,14n,10s,,,,,
USGS,7134990,3/24/1999,9.7,A,,,,,
USGS,7134990,3/25/1999,8.4,A,,,,,
USGS,7134990,3/26/1999,8.2,A,,,,,
USGS,7134990,3/27/1999,8,A,,,,,
USGS,7134990,3/28/1999,7.3,A,,,,,
USGS,7134990,3/29/1999,7.4,A,,,,,
USGS,7134990,3/30/1999,7.4,A,,,,,
USGS,7134990,3/31/1999,7.2,A,,,,,
USGS,7134990,4/1/1999,7.1,A,,,,,
USGS,7134990,4/2/1999,7,A,,,,,
USGS,7134990,4/3/1999,7.3,A,,,,,
USGS,7134990,4/4/1999,7.2,A,,,,,
USGS,7134990,4/5/1999,10,A,,,,,
USGS,7134990,4/6/1999,8.3,A,,,,,
USGS,7134990,4/7/1999,7.9,A,,,,,
USGS,7134990,4/8/1999,11,A,,,,,
USGS,7134990,4/9/1999,23,A,,,,,
USGS,7134990,4/10/1999,36,A,,,,,
USGS,7134990,4/11/1999,34,A,,,,,
USGS,7134990,4/12/1999,19,A,,,,,
USGS,7134990,4/13/1999,9.4,A,,,,,
USGS,7134990,4/14/1999,10,A,,,,,
USGS,7134990,4/15/1999,11,A,,,,,
USGS,7134990,4/16/1999,16,A,,,,,
USGS,7134990,4/17/1999,15,A,,,,,
USGS,7134990,4/18/1999,12,A,,,,,
USGS,7134990,4/19/1999,14,A,,,,,
USGS,7134990,4/20/1999,17,A,,,,,
USGS,7134990,4/21/1999,14,A,,,,,
USGS,7134990,4/22/1999,80,A,,,,,
USGS,7134990,4/23/1999,45,A,,,,,
USGS,7134990,4/24/1999,19,A,,,,,
USGS,7134990,4/25/1999,22,A,,,,,
USGS,7134990,4/26/1999,29,A,,,,,
USGS,7134990,4/27/1999,15,A,,,,,
USGS,7134990,4/28/1999,6.7,A,,,,,
USGS,7134990,4/29/1999,8.1,A,,,,,
USGS,7134990,4/30/1999,11,A,,,,,
USGS,7134990,5/1/1999,127,A,,,,,
USGS,7134990,5/2/1999,197,A,,,,,
USGS,7134990,5/3/1999,59,A,,,,,
USGS,7134990,5/4/1999,37,A,,,,,
USGS,7134990,5/5/1999,46,A,,,,,
USGS,7134990,5/6/1999,32,A,,,,,
USGS,7134990,5/7/1999,40,A,,,,,
USGS,7134990,5/8/1999,34,A,,,,,
USGS,7134990,5/9/1999,31,A,,,,,
USGS,7134990,5/10/1999,35,A,,,,,
USGS,7134990,5/11/1999,41,A,,,,,
USGS,7134990,5/12/1999,42,A,,,,,
USGS,7134990,5/13/1999,32,A,,,,,
USGS,7134990,5/14/1999,27,A,,,,,
USGS,7134990,5/15/1999,24,A,,,,,
USGS,7134990,5/16/1999,22,A,,,,,
USGS,7134990,5/17/1999,21,A,,,,,
USGS,7134990,5/18/1999,20,A,,,,,
USGS,7134990,5/19/1999,25,A,,,,,
USGS,7134990,5/20/1999,34,A,,,,,
USGS,7134990,5/21/1999,30,A,,,,,
USGS,7134990,5/22/1999,49,A,,,,,
USGS,7134990,5/23/1999,42,A,,,,,
USGS,7134990,5/24/1999,33,A,,,,,
USGS,7134990,5/25/1999,34,A,,,,,
USGS,7134990,5/26/1999,45,A,,,,,
