Date/Time	DISCHRG (cfs)	GAGE_HT (ft)
3/1/1999 0:00	0	0
3/2/1999 0:00	0	0
3/3/1999 0:00	0	0
3/4/1999 0:00	0	0
3/5/1999 0:00	0	0
3/6/1999 0:00	0	0
3/7/1999 0:00	0	0
3/8/1999 0:00	0	0
3/9/1999 0:00	0	0
3/10/1999 0:00	0	0
3/11/1999 0:00	0	0
3/12/1999 0:00	0	0
3/13/1999 0:00	0	0
3/14/1999 0:00	0	0
3/15/1999 0:00	0	0
3/16/1999 0:00	0	0
3/17/1999 0:00	0	0
3/18/1999 0:00	0	0
3/19/1999 0:00	0	0
3/20/1999 0:00	0	0
3/21/1999 0:00	0	0
3/22/1999 0:00	0	0
3/23/1999 0:00	0	0
3/24/1999 0:00	0	0
3/25/1999 0:00	0	0
3/26/1999 0:00	0	0
3/27/1999 0:00	0	0
3/28/1999 0:00	0	0
3/29/1999 0:00	0	0
3/30/1999 0:00	0	0
3/31/1999 0:00	0	0
4/1/1999 0:00	0	0
4/2/1999 0:00	0	0
4/3/1999 0:00	0	0
4/4/1999 0:00	0	0
4/5/1999 0:00	0	0
4/6/1999 0:00	0	0
4/7/1999 0:00	0	0
4/8/1999 0:00	0	0
4/9/1999 0:00	0	0
4/10/1999 0:00	0	0
4/11/1999 0:00	0	0
4/12/1999 0:00	0	0
4/13/1999 0:00	68.9	0.6
4/14/1999 0:00	115	1.11
4/15/1999 0:00	10.4	0.29
4/16/1999 0:00	2.6	0.08
4/17/1999 0:00	0	0
4/18/1999 0:00	0	0
4/19/1999 0:00	93.5	0.79
4/20/1999 0:00	298	2.35
4/21/1999 0:00	261	2.15
4/22/1999 0:00	198	1.82
4/23/1999 0:00	197	1.81
4/24/1999 0:00	197	1.81
4/25/1999 0:00	199	1.82
4/26/1999 0:00	198	1.81
4/27/1999 0:00	216	1.92
4/28/1999 0:00	249	2.09
4/29/1999 0:00	250	2.1
4/30/1999 0:00	187	1.65
5/1/1999 0:00	0.268	0.03
5/2/1999 0:00	0.172	0.02
5/3/1999 0:00	64.7	0.78
5/4/1999 0:00	99.6	1.18
5/5/1999 0:00	101	1.19
5/6/1999 0:00	153	1.53
5/7/1999 0:00	203	1.84
5/8/1999 0:00	196	1.8
5/9/1999 0:00	197	1.81
5/10/1999 0:00	192	1.77
5/11/1999 0:00	199	1.82
5/12/1999 0:00	230	1.99
5/13/1999 0:00	250	2.1
5/14/1999 0:00	234	1.99
5/15/1999 0:00	225	1.94
5/16/1999 0:00	223	1.92
5/17/1999 0:00	220	1.88
5/18/1999 0:00	238	2.03
5/19/1999 0:00	234	1.98
5/20/1999 0:00	242	2.06
5/21/1999 0:00	245	2.07
5/22/1999 0:00	245	2.07
5/23/1999 0:00	252	2.11
5/24/1999 0:00	220	1.89
5/25/1999 0:00	235	2
