# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-01-11 22:47:04 EST       (caww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07137500 ARKANSAS R NR COOLIDGE, KS
# -----------------------------------------------------------------------------------
#
# Data provided for site 07137500
#    DD parameter statistic   Description
#    01   00060     00003     Discharge, cubic feet per second (Mean)
#    04   00010     00003     Temperature, water, degrees Celsius (Mean)
#    06   00095     00003     Specific conductance, water, unfiltered, microsiemens per centimeter at 25 degrees Celsius (Mean)
#
# Data-value qualification codes included in this output: 
#     Ice  Ice affected  
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd	04_00010_00003	04_00010_00003_cd	06_00095_00003	06_00095_00003_cd
5s	15s	20d	14n	10s	14n	10s	14n	10s
USGS	07137500	1999-03-01	205	A				
USGS	07137500	1999-03-02	201	A				
USGS	07137500	1999-03-03	195	A				
USGS	07137500	1999-03-04	198	A				
USGS	07137500	1999-03-05	191	A				
USGS	07137500	1999-03-06	184	A				
USGS	07137500	1999-03-07	181	A				
USGS	07137500	1999-03-08	194	A				
USGS	07137500	1999-03-09	196	A				
USGS	07137500	1999-03-10	191	A				
USGS	07137500	1999-03-11	186	A				
USGS	07137500	1999-03-12	198	A				
USGS	07137500	1999-03-13	208	A				
USGS	07137500	1999-03-14	220	A				
USGS	07137500	1999-03-15	221	A				
USGS	07137500	1999-03-16	225	A				
USGS	07137500	1999-03-17	208	A				
USGS	07137500	1999-03-18	194	A				
USGS	07137500	1999-03-19	204	A				
USGS	07137500	1999-03-20	221	A				
USGS	07137500	1999-03-21	216	A				
USGS	07137500	1999-03-22	202	A				
USGS	07137500	1999-03-23	189	A				
USGS	07137500	1999-03-24	201	A				
USGS	07137500	1999-03-25	223	A				
USGS	07137500	1999-03-26	236	A				
USGS	07137500	1999-03-27	251	A				
USGS	07137500	1999-03-28	243	A				
USGS	07137500	1999-03-29	234	A				
USGS	07137500	1999-03-30	226	A				
USGS	07137500	1999-03-31	222	A				
USGS	07137500	1999-04-01	220	A				
USGS	07137500	1999-04-02	220	A				
USGS	07137500	1999-04-03	229	A				
USGS	07137500	1999-04-04	227	A				
USGS	07137500	1999-04-05	260	A				
USGS	07137500	1999-04-06	261	A				
USGS	07137500	1999-04-07	262	A				
USGS	07137500	1999-04-08	263	A				
USGS	07137500	1999-04-09	249	A				
USGS	07137500	1999-04-10	236	A				
USGS	07137500	1999-04-11	231	A				
USGS	07137500	1999-04-12	222	A				
USGS	07137500	1999-04-13	209	A				
USGS	07137500	1999-04-14	234	A				
USGS	07137500	1999-04-15	294	A				
USGS	07137500	1999-04-16	346	A				
USGS	07137500	1999-04-17	294	A				
USGS	07137500	1999-04-18	263	A				
USGS	07137500	1999-04-19	246	A				
USGS	07137500	1999-04-20	248	A				
USGS	07137500	1999-04-21	266	A				
USGS	07137500	1999-04-22	349	A				
USGS	07137500	1999-04-23	358	A				
USGS	07137500	1999-04-24	314	A				
USGS	07137500	1999-04-25	322	A				
USGS	07137500	1999-04-26	372	A				
USGS	07137500	1999-04-27	328	A				
USGS	07137500	1999-04-28	296	A				
USGS	07137500	1999-04-29	272	A				
USGS	07137500	1999-04-30	317	A				
USGS	07137500	1999-05-01	575	A				
USGS	07137500	1999-05-02	1470	A				
USGS	07137500	1999-05-03	1160	A				
USGS	07137500	1999-05-04	1540	A				
USGS	07137500	1999-05-05	2630	A				
USGS	07137500	1999-05-06	3310	A				
USGS	07137500	1999-05-07	2410	A				
USGS	07137500	1999-05-08	2240	A				
USGS	07137500	1999-05-09	2400	A				
USGS	07137500	1999-05-10	2540	A				
USGS	07137500	1999-05-11	2660	A				
USGS	07137500	1999-05-12	2630	A				
USGS	07137500	1999-05-13	2590	A				
USGS	07137500	1999-05-14	2600	A				
USGS	07137500	1999-05-15	2610	A				
USGS	07137500	1999-05-16	2600	A				
USGS	07137500	1999-05-17	2640	A				
USGS	07137500	1999-05-18	2710	A				
USGS	07137500	1999-05-19	2720	A				
USGS	07137500	1999-05-20	2710	A				
USGS	07137500	1999-05-21	2710	A				
USGS	07137500	1999-05-22	2670	A				
USGS	07137500	1999-05-23	2700	A				
USGS	07137500	1999-05-24	2700	A				
USGS	07137500	1999-05-25	2750	A				
USGS	07137500	1999-05-26	2800	A				
USGS	07137500	1999-05-27	2690	A				
USGS	07137500	1999-05-28	2720	A				
USGS	07137500	1999-05-29	2780	A				
USGS	07137500	1999-05-30	2780	A				
USGS	07137500	1999-05-31	2770	A				
USGS	07137500	1999-06-01	2780	A				
USGS	07137500	1999-06-02	2750	A			2250	A
USGS	07137500	1999-06-03	2750	A			2225	A
USGS	07137500	1999-06-04	2760	A			2203	A
USGS	07137500	1999-06-05	2800	A			2190	A
USGS	07137500	1999-06-06	2770	A			2192	A
USGS	07137500	1999-06-07	2810	A			2179	A
USGS	07137500	1999-06-08	2810	A			2170	A
USGS	07137500	1999-06-09	2820	A			2166	A
USGS	07137500	1999-06-10	2820	A			2172	A
USGS	07137500	1999-06-11	2800	A			2180	A
USGS	07137500	1999-06-12	2790	A			2140	A
USGS	07137500	1999-06-13	2760	A			2233	A
USGS	07137500	1999-06-14	2580	A			2269	A
USGS	07137500	1999-06-15	2480	A			2274	A
USGS	07137500	1999-06-16	2440	A			2246	A
USGS	07137500	1999-06-17	2420	A			2268	A
USGS	07137500	1999-06-18	2220	A			2298	A
USGS	07137500	1999-06-19	2160	A			2249	A
USGS	07137500	1999-06-20	2080	A			2260	A
USGS	07137500	1999-06-21	2000	A			2274	A
USGS	07137500	1999-06-22	2000	A			2277	A
USGS	07137500	1999-06-23	1970	A			2260	A
USGS	07137500	1999-06-24	2060	A			2220	A
USGS	07137500	1999-06-25	1760	A			2347	A
USGS	07137500	1999-06-26	1500	A				
USGS	07137500	1999-06-27	1220	A				
USGS	07137500	1999-06-28	1140	A				
USGS	07137500	1999-06-29	1210	A				
USGS	07137500	1999-06-30	1570	A				
USGS	07137500	1999-07-01	1730	A				
USGS	07137500	1999-07-02	1540	A				
USGS	07137500	1999-07-03	1250	A				
USGS	07137500	1999-07-04	843	A				
USGS	07137500	1999-07-05	713	A				
USGS	07137500	1999-07-06	610	A				
USGS	07137500	1999-07-07	519	A				
USGS	07137500	1999-07-08	459	A				
USGS	07137500	1999-07-09	393	A				
USGS	07137500	1999-07-10	577	A				
USGS	07137500	1999-07-11	622	A				
USGS	07137500	1999-07-12	670	A				
USGS	07137500	1999-07-13	649	A				
USGS	07137500	1999-07-14	581	A				
USGS	07137500	1999-07-15	524	A				
USGS	07137500	1999-07-16	541	A				
