# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional
#
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2012-01-11 22:44:35 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 07134180 ARKANSAS RIVER NEAR GRANADA, CO.
# -----------------------------------------------------------------------------------
#
# Data provided for site 07134180
#    DD parameter statistic   Description
#    04   00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
#     P  Provisional data subject to revision.  
#     e  Value has been estimated.  
# 
agency_cd	site_no	datetime	04_00060_00003	04_00060_00003_cd
5s	15s	20d	14n	10s
USGS	07134180	1999-03-01	118	A
USGS	07134180	1999-03-02	118	A
USGS	07134180	1999-03-03	119	A
USGS	07134180	1999-03-04	121	A
USGS	07134180	1999-03-05	112	A
USGS	07134180	1999-03-06	107	A
USGS	07134180	1999-03-07	106	A
USGS	07134180	1999-03-08	112	A
USGS	07134180	1999-03-09	111	A
USGS	07134180	1999-03-10	110	A
USGS	07134180	1999-03-11	113	A
USGS	07134180	1999-03-12	114	A
USGS	07134180	1999-03-13	114	A
USGS	07134180	1999-03-14	138	A
USGS	07134180	1999-03-15	155	A
USGS	07134180	1999-03-16	139	A
USGS	07134180	1999-03-17	122	A
USGS	07134180	1999-03-18	115	A
USGS	07134180	1999-03-19	121	A
USGS	07134180	1999-03-20	142	A
USGS	07134180	1999-03-21	129	A
USGS	07134180	1999-03-22	117	A
USGS	07134180	1999-03-23	114	A
USGS	07134180	1999-03-24	119	A
USGS	07134180	1999-03-25	129	A
USGS	07134180	1999-03-26	164	A
USGS	07134180	1999-03-27	177	A
USGS	07134180	1999-03-28	164	A
USGS	07134180	1999-03-29	151	A
USGS	07134180	1999-03-30	141	A
USGS	07134180	1999-03-31	136	A
USGS	07134180	1999-04-01	136	A
USGS	07134180	1999-04-02	142	A
USGS	07134180	1999-04-03	136	A
USGS	07134180	1999-04-04	97	A
USGS	07134180	1999-04-05	106	A
USGS	07134180	1999-04-06	116	A
USGS	07134180	1999-04-07	127	A
USGS	07134180	1999-04-08	127	A
USGS	07134180	1999-04-09	106	A
USGS	07134180	1999-04-10	87	A
USGS	07134180	1999-04-11	84	A
USGS	07134180	1999-04-12	93	A
USGS	07134180	1999-04-13	101	A
USGS	07134180	1999-04-14	144	A
USGS	07134180	1999-04-15	294	A
USGS	07134180	1999-04-16	230	A
USGS	07134180	1999-04-17	172	A
USGS	07134180	1999-04-18	146	A
USGS	07134180	1999-04-19	128	A
USGS	07134180	1999-04-20	146	A
