# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2012-01-11 22:47:55 EST       (caww02)				
#				
# Data for the following 1 site(s) are contained in this file				
"#    USGS 07133000 ARKANSAS RIVER AT LAMAR, CO."				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 07133000				
#    DD parameter statistic   Description				
"#    01   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     P  Provisional data subject to revision.  				
#     e  Value has been estimated.  				
# 				
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	7133000	3/1/1999	33	A
USGS	7133000	3/2/1999	33	A
USGS	7133000	3/3/1999	35	A
USGS	7133000	3/4/1999	25	A
USGS	7133000	3/5/1999	16	A
USGS	7133000	3/6/1999	15	A
USGS	7133000	3/7/1999	14	A
USGS	7133000	3/8/1999	15	A
USGS	7133000	3/9/1999	13	A
USGS	7133000	3/10/1999	13	A
USGS	7133000	3/11/1999	12	A
USGS	7133000	3/12/1999	11	A
USGS	7133000	3/13/1999	52	A
USGS	7133000	3/14/1999	71	A
USGS	7133000	3/15/1999	43	A
USGS	7133000	3/16/1999	15	A
USGS	7133000	3/17/1999	14	A
USGS	7133000	3/18/1999	13	A
USGS	7133000	3/19/1999	48	A
USGS	7133000	3/20/1999	43	A
USGS	7133000	3/21/1999	14	A
USGS	7133000	3/22/1999	14	A
USGS	7133000	3/23/1999	14	A
USGS	7133000	3/24/1999	18	A
USGS	7133000	3/25/1999	18	A
USGS	7133000	3/26/1999	16	A
USGS	7133000	3/27/1999	15	A
USGS	7133000	3/28/1999	14	A
USGS	7133000	3/29/1999	13	A
USGS	7133000	3/30/1999	15	A
USGS	7133000	3/31/1999	14	A
USGS	7133000	4/1/1999	13	A
USGS	7133000	4/2/1999	14	A
USGS	7133000	4/3/1999	15	A
USGS	7133000	4/4/1999	17	A
USGS	7133000	4/5/1999	35	A
USGS	7133000	4/6/1999	37	A
USGS	7133000	4/7/1999	17	A
USGS	7133000	4/8/1999	14	A
USGS	7133000	4/9/1999	14	A
USGS	7133000	4/10/1999	14	A
USGS	7133000	4/11/1999	14	A
USGS	7133000	4/12/1999	13	A
USGS	7133000	4/13/1999	21	A
USGS	7133000	4/14/1999	77	A
USGS	7133000	4/15/1999	104	A
USGS	7133000	4/16/1999	63	A
USGS	7133000	4/17/1999	38	A
USGS	7133000	4/18/1999	23	A
USGS	7133000	4/19/1999	25	A
USGS	7133000	4/20/1999	59	A
USGS	7133000	4/21/1999	66	A
USGS	7133000	4/22/1999	65	A
USGS	7133000	4/23/1999	68	A
USGS	7133000	4/24/1999	35	A
USGS	7133000	4/25/1999	81	A
USGS	7133000	4/26/1999	111	A
USGS	7133000	4/27/1999	102	A
USGS	7133000	4/28/1999	56	A
USGS	7133000	4/29/1999	75	A
USGS	7133000	4/30/1999	112	A
USGS	7133000	5/1/1999	377	A
USGS	7133000	5/2/1999	484	A
USGS	7133000	5/3/1999	1330	A
USGS	7133000	5/4/1999	1620	A
USGS	7133000	5/5/1999	1550	A
USGS	7133000	5/6/1999	1270	A
USGS	7133000	5/7/1999	1600	A
USGS	7133000	5/8/1999	1980	A
USGS	7133000	5/9/1999	2220	A
USGS	7133000	5/10/1999	2210	A
USGS	7133000	5/11/1999	2220	A
USGS	7133000	5/12/1999	2230	A
USGS	7133000	5/13/1999	2290	A
USGS	7133000	5/14/1999	2300	A
USGS	7133000	5/15/1999	2340	A
USGS	7133000	5/16/1999	2380	A
USGS	7133000	5/17/1999	2510	A
USGS	7133000	5/18/1999	2500	A
USGS	7133000	5/19/1999	2490	A
USGS	7133000	5/20/1999	2490	A
USGS	7133000	5/21/1999	2480	A
USGS	7133000	5/22/1999	2430	A
USGS	7133000	5/23/1999	2400	A
USGS	7133000	5/24/1999	2430	A
