# ---------------------------------- WARNING ----------------------------------------				
# The data you have obtained from this automated U.S. Geological Survey database				
# have not received Director's approval and as such are provisional and subject to				
# revision.  The data are released on the condition that neither the USGS nor the				
# United States Government may be held liable for any damages resulting from its use.				
# Additional info: http://waterdata.usgs.gov/nwis/help/?provisional				
#				
# File-format description:  http://waterdata.usgs.gov/nwis/?tab_delimited_format_info				
# Automated-retrieval info: http://waterdata.usgs.gov/nwis/?automated_retrieval_info				
#				
# Contact:   gs-w_support_nwisweb@usgs.gov				
# retrieved: 2012-01-11 22:52:37 EST       (vaww01)				
#				
# Data for the following 1 site(s) are contained in this file				
"#    USGS 07134100 BIG SANDY CREEK NEAR LAMAR, CO."				
# -----------------------------------------------------------------------------------				
#				
# Data provided for site 07134100				
#    DD parameter statistic   Description				
"#    01   00060     00003     Discharge, cubic feet per second (Mean)"				
#				
# Data-value qualification codes included in this output: 				
#     A  Approved for publication -- Processing and review completed.  				
#     P  Provisional data subject to revision.  				
#     e  Value has been estimated.  				
# 				
agency_cd	site_no	datetime	01_00060_00003	01_00060_00003_cd
5s	15s	20d	14n	10s
USGS	7134100	3/1/1999	25	A
USGS	7134100	3/2/1999	25	A
USGS	7134100	3/3/1999	25	A
USGS	7134100	3/4/1999	25	A
USGS	7134100	3/5/1999	25	A
USGS	7134100	3/6/1999	24	A
USGS	7134100	3/7/1999	27	A
USGS	7134100	3/8/1999	30	A
USGS	7134100	3/9/1999	32	A
USGS	7134100	3/10/1999	31	A
USGS	7134100	3/11/1999	30	A
USGS	7134100	3/12/1999	31	A
USGS	7134100	3/13/1999	32	A
USGS	7134100	3/14/1999	39	A
USGS	7134100	3/15/1999	41	A
USGS	7134100	3/16/1999	41	A
USGS	7134100	3/17/1999	35	A
USGS	7134100	3/18/1999	33	A
USGS	7134100	3/19/1999	36	A
USGS	7134100	3/20/1999	41	A
USGS	7134100	3/21/1999	37	A
USGS	7134100	3/22/1999	34	A
USGS	7134100	3/23/1999	33	A
USGS	7134100	3/24/1999	34	A
USGS	7134100	3/25/1999	49	A
USGS	7134100	3/26/1999	101	A
USGS	7134100	3/27/1999	94	A
USGS	7134100	3/28/1999	76	A
USGS	7134100	3/29/1999	57	A
USGS	7134100	3/30/1999	51	A
USGS	7134100	3/31/1999	47	A
USGS	7134100	4/1/1999	57	A
USGS	7134100	4/2/1999	65	A
USGS	7134100	4/3/1999	69	A
USGS	7134100	4/4/1999	65	A
USGS	7134100	4/5/1999	64	A
USGS	7134100	4/6/1999	79	A
USGS	7134100	4/7/1999	104	A
USGS	7134100	4/8/1999	100	A
USGS	7134100	4/9/1999	68	A
USGS	7134100	4/10/1999	51	A
USGS	7134100	4/11/1999	53	A
USGS	7134100	4/12/1999	65	A
USGS	7134100	4/13/1999	81	A
USGS	7134100	4/14/1999	137	A
USGS	7134100	4/15/1999	228	A
USGS	7134100	4/16/1999	125	A
USGS	7134100	4/17/1999	95	A
USGS	7134100	4/18/1999	92	A
USGS	7134100	4/19/1999	102	A
USGS	7134100	4/20/1999	101	A
USGS	7134100	4/21/1999	33	A
USGS	7134100	4/22/1999	31	A
USGS	7134100	4/23/1999	33	A
USGS	7134100	4/24/1999	30	A
USGS	7134100	4/25/1999	33	A
USGS	7134100	4/26/1999	34	A
USGS	7134100	4/27/1999	29	A
USGS	7134100	4/28/1999	27	A
USGS	7134100	4/29/1999	29	A
USGS	7134100	4/30/1999	38	A
USGS	7134100	5/1/1999	125	A
USGS	7134100	5/2/1999	143	A
USGS	7134100	5/3/1999	66	A
USGS	7134100	5/4/1999	1460	A
USGS	7134100	5/5/1999	1410	A
USGS	7134100	5/6/1999	593	A
USGS	7134100	5/7/1999	263	A
USGS	7134100	5/8/1999	88	A
USGS	7134100	5/9/1999	44	A
USGS	7134100	5/10/1999	41	A
USGS	7134100	5/11/1999	42	A
USGS	7134100	5/12/1999	42	A
USGS	7134100	5/13/1999	42	A
USGS	7134100	5/14/1999	42	A
USGS	7134100	5/15/1999	43	A
USGS	7134100	5/16/1999	43	A
USGS	7134100	5/17/1999	50	A
USGS	7134100	5/18/1999	41	A
USGS	7134100	5/19/1999	41	A
USGS	7134100	5/20/1999	45	A
USGS	7134100	5/21/1999	44	A
USGS	7134100	5/22/1999	42	A
USGS	7134100	5/23/1999	41	A
USGS	7134100	5/24/1999	41	A
USGS	7134100	5/25/1999	42	A
USGS	7134100	5/26/1999	43	A
USGS	7134100	5/27/1999	42	A
USGS	7134100	5/28/1999	42	A
USGS	7134100	5/29/1999	47	A
USGS	7134100	5/30/1999	49	A
USGS	7134100	5/31/1999	44	A
USGS	7134100	6/1/1999	43	A
USGS	7134100	6/2/1999	41	A
USGS	7134100	6/3/1999	41	A
USGS	7134100	6/4/1999	51	A
USGS	7134100	6/5/1999	54	A
USGS	7134100	6/6/1999	57	A
USGS	7134100	6/7/1999	63	A
USGS	7134100	6/8/1999	57	A
USGS	7134100	6/9/1999	49	A
USGS	7134100	6/10/1999	52	A
USGS	7134100	6/11/1999	45	A
USGS	7134100	6/12/1999	43	A
USGS	7134100	6/13/1999	44	A
USGS	7134100	6/14/1999	46	A
USGS	7134100	6/15/1999	46	A
USGS	7134100	6/16/1999	45	A
USGS	7134100	6/17/1999	43	A
USGS	7134100	6/18/1999	41	A
USGS	7134100	6/19/1999	39	A
USGS	7134100	6/20/1999	38	A
USGS	7134100	6/21/1999	38	A
USGS	7134100	6/22/1999	38	A
USGS	7134100	6/23/1999	37	A
USGS	7134100	6/24/1999	36	A
USGS	7134100	6/25/1999	35	A
USGS	7134100	6/26/1999	32	A
USGS	7134100	6/27/1999	33	A
USGS	7134100	6/28/1999	31	A
USGS	7134100	6/29/1999	33	A:e
USGS	7134100	6/30/1999	35	A:e
USGS	7134100	7/1/1999	35	A:e
USGS	7134100	7/2/1999	36	A
USGS	7134100	7/3/1999	28	A
USGS	7134100	7/4/1999	29	A
USGS	7134100	7/5/1999	29	A
USGS	7134100	7/6/1999	29	A
USGS	7134100	7/7/1999	30	A
USGS	7134100	7/8/1999	31	A
USGS	7134100	7/9/1999	29	A
USGS	7134100	7/10/1999	28	A
USGS	7134100	7/11/1999	27	A
USGS	7134100	7/12/1999	26	A
USGS	7134100	7/13/1999	25	A
USGS	7134100	7/14/1999	26	A
USGS	7134100	7/15/1999	28	A
USGS	7134100	7/16/1999	27	A
USGS	7134100	7/17/1999	25	A
USGS	7134100	7/18/1999	27	A
USGS	7134100	7/19/1999	24	A
USGS	7134100	7/20/1999	23	A
USGS	7134100	7/21/1999	24	A
USGS	7134100	7/22/1999	21	A
USGS	7134100	7/23/1999	21	A
USGS	7134100	7/24/1999	23	A
USGS	7134100	7/25/1999	24	A
USGS	7134100	7/26/1999	21	A
USGS	7134100	7/27/1999	19	A
USGS	7134100	7/28/1999	21	A
USGS	7134100	7/29/1999	20	A
USGS	7134100	7/30/1999	20	A
USGS	7134100	7/31/1999	25	A
USGS	7134100	8/1/1999	30	A:e
USGS	7134100	8/2/1999	40	A:e
USGS	7134100	8/3/1999	34	A
USGS	7134100	8/4/1999	31	A
USGS	7134100	8/5/1999	29	A
USGS	7134100	8/6/1999	37	A
