date,q.arkcatco,ec.arkcatco,h.arkcatco,t.arkcatco
3/1/1999,122,NA,2.4,NA
3/2/1999,116,NA,2.39,NA
3/3/1999,170,NA,2.57,NA
3/4/1999,176,NA,2.6,NA
3/5/1999,176,NA,2.61,NA
3/6/1999,194,NA,2.67,NA
3/7/1999,202,NA,2.71,NA
3/8/1999,201,NA,2.71,NA
3/9/1999,194,NA,2.7,NA
3/10/1999,136,NA,2.51,NA
3/11/1999,128,NA,2.48,NA
3/12/1999,139,NA,2.53,NA
3/13/1999,161,NA,2.62,NA
3/14/1999,177,NA,2.67,NA
3/15/1999,188,NA,2.7,NA
3/16/1999,233,NA,2.87,NA
3/17/1999,147,NA,2.59,NA
3/18/1999,147,NA,2.63,NA
3/19/1999,146,NA,2.6,NA
3/20/1999,117,NA,2.5,NA
3/21/1999,99,NA,2.45,NA
3/22/1999,89,NA,2.36,NA
3/23/1999,69,NA,2.23,NA
3/24/1999,62,NA,2.18,NA
3/25/1999,53,NA,2.14,NA
3/26/1999,25,NA,2.06,NA
3/27/1999,57,NA,2.12,NA
3/28/1999,71,NA,2.16,NA
3/29/1999,98,NA,2.27,NA
3/30/1999,121,NA,2.34,NA
3/31/1999,73,NA,2.12,NA
4/1/1999,95,NA,2.21,NA
4/2/1999,96,NA,2.18,NA
4/3/1999,177,NA,2.44,NA
4/4/1999,302,NA,2.81,NA
4/5/1999,312,NA,2.82,NA
4/6/1999,285,NA,2.75,NA
4/7/1999,119,NA,2.21,NA
4/8/1999,86,NA,2.05,NA
4/9/1999,312,NA,2.76,NA
4/10/1999,390,NA,2.92,NA
4/11/1999,577,NA,3.29,NA
4/12/1999,1270,NA,4.11,NA
4/13/1999,525,NA,3.18,NA
4/14/1999,441,NA,3.03,NA
4/15/1999,304,NA,2.76,NA
4/16/1999,280,NA,2.7,NA
4/17/1999,258,NA,2.65,NA
4/18/1999,241,NA,2.62,NA
4/19/1999,240,NA,2.61,NA
4/20/1999,230,NA,2.6,NA
4/21/1999,116,NA,2.24,NA
4/22/1999,91,NA,2.14,NA
4/23/1999,458,NA,3.05,NA
4/24/1999,829,NA,3.83,NA
4/25/1999,606,NA,3.5,NA
4/26/1999,402,NA,3.1,NA
4/27/1999,353,NA,3,NA
4/28/1999,328,NA,2.88,NA
4/29/1999,911,NA,3.7,NA
4/30/1999,4280,NA,6.53,NA
5/1/1999,16200,NA,9.59,NA
5/2/1999,13500,NA,9.43,NA
5/3/1999,6070,NA,6.75,NA
5/4/1999,4230,NA,5.57,NA
5/5/1999,3700,NA,-141.26,NA
5/6/1999,3660,NA,-392.29,NA
5/7/1999,3430,NA,-20.01,NA
5/8/1999,3280,NA,5.05,NA
5/9/1999,3510,NA,5.29,NA
5/10/1999,3790,NA,5.54,NA
5/11/1999,4020,NA,5.77,NA
5/12/1999,3650,NA,5.58,NA
5/13/1999,3410,NA,-196.01,NA
5/14/1999,3000,NA,3.96,NA
5/15/1999,2780,NA,5.05,NA
5/16/1999,2750,NA,5.07,NA
5/17/1999,2570,NA,4.98,NA
5/18/1999,2350,NA,4.83,NA
5/19/1999,2140,NA,4.65,NA
5/20/1999,1790,NA,4.33,NA
5/21/1999,1510,NA,4,NA
5/22/1999,1430,NA,3.85,NA
5/23/1999,1550,NA,3.98,NA
5/24/1999,1710,NA,4.16,NA
5/25/1999,2070,NA,4.55,NA
5/26/1999,3070,NA,5.51,NA
5/27/1999,3040,NA,5.44,NA
5/28/1999,3340,NA,5.69,NA
5/29/1999,3580,NA,5.87,NA
5/30/1999,3180,NA,5.57,NA
5/31/1999,2850,NA,5.29,NA
6/1/1999,2520,NA,4.98,NA
6/2/1999,2550,NA,4.99,NA
6/3/1999,2490,NA,4.94,NA
6/4/1999,2120,NA,4.55,NA
6/5/1999,1800,NA,4.18,NA
6/6/1999,1820,NA,4.18,NA
6/7/1999,1840,NA,4.21,NA
6/8/1999,1440,NA,3.73,NA
6/9/1999,1240,NA,3.43,NA
6/10/1999,1130,NA,3.26,NA
6/11/1999,2190,NA,4.44,NA
6/12/1999,2840,NA,5.17,NA
6/13/1999,3180,NA,5.46,NA
6/14/1999,2770,NA,5.12,NA
6/15/1999,2850,NA,5.17,NA
6/16/1999,2720,NA,5.06,NA
6/17/1999,2850,NA,5.17,NA
6/18/1999,3340,NA,5.54,NA
6/19/1999,3270,NA,5.5,NA
6/20/1999,2930,NA,5.22,NA
6/21/1999,2830,NA,5.13,NA
6/22/1999,2830,NA,5.13,NA
6/23/1999,2610,NA,4.97,NA
6/24/1999,2720,NA,5.05,NA
6/25/1999,2640,NA,5,NA
6/26/1999,3040,NA,5.36,NA
6/27/1999,3090,NA,5.41,NA
6/28/1999,2670,NA,5.09,NA
6/29/1999,2270,NA,4.71,NA
6/30/1999,2020,NA,4.46,NA
7/1/1999,1460,NA,3.81,NA
7/2/1999,1240,NA,3.5,NA
7/3/1999,1390,NA,3.72,NA
7/4/1999,1130,NA,3.38,NA
7/5/1999,904,NA,3.02,NA
7/6/1999,812,NA,2.87,NA
7/7/1999,1010,NA,3.2,NA
7/8/1999,1120,NA,3.36,NA
7/9/1999,954,NA,3.1,NA
7/10/1999,739,NA,2.7,NA
7/11/1999,491,NA,2.21,NA
7/12/1999,439,NA,2.08,NA
7/13/1999,457,NA,2.07,NA
7/14/1999,589,NA,2.33,NA
7/15/1999,730,NA,2.56,NA
7/16/1999,964,NA,2.92,NA
7/17/1999,2620,NA,4.82,NA
7/18/1999,2250,NA,4.58,NA
7/19/1999,1910,NA,4.34,NA
7/20/1999,1480,NA,3.62,NA
7/21/1999,1390,NA,3.49,NA
7/22/1999,1490,NA,3.61,NA
7/23/1999,1210,NA,3.26,NA
7/24/1999,736,NA,2.78,NA
7/25/1999,510,NA,NA,NA
7/26/1999,465,NA,1.96,NA
7/27/1999,507,NA,2.05,NA
7/28/1999,467,NA,1.98,NA
7/29/1999,395,NA,1.84,NA
7/30/1999,409,NA,1.89,NA
7/31/1999,651,NA,2.32,NA
8/1/1999,1750,NA,3.77,NA
8/2/1999,3080,NA,5.31,NA
8/3/1999,2010,NA,4.28,NA
8/4/1999,1920,NA,4.12,NA
8/5/1999,3200,NA,5.27,NA
8/6/1999,4340,NA,6.16,NA
8/7/1999,3340,NA,5.42,NA
8/8/1999,3400,NA,5.46,NA
8/9/1999,3580,NA,5.57,NA
8/10/1999,3650,NA,5.63,NA
