agency,site,date,q.timswico,check
USGS,7121500,3/1/1999,28,A
USGS,7121500,3/2/1999,26,A
USGS,7121500,3/3/1999,24,A
USGS,7121500,3/4/1999,49,A
USGS,7121500,3/5/1999,131,A
USGS,7121500,3/6/1999,79,A
USGS,7121500,3/7/1999,55,A
USGS,7121500,3/8/1999,87,A
USGS,7121500,3/9/1999,49,A
USGS,7121500,3/10/1999,32,A
USGS,7121500,3/11/1999,36,A
USGS,7121500,3/12/1999,48,A
USGS,7121500,3/13/1999,84,A
USGS,7121500,3/14/1999,104,A
USGS,7121500,3/15/1999,55,A
USGS,7121500,3/16/1999,33,A
USGS,7121500,3/17/1999,31,A
USGS,7121500,3/18/1999,33,A
USGS,7121500,3/19/1999,37,A
USGS,7121500,3/20/1999,30,A
USGS,7121500,3/21/1999,29,A
USGS,7121500,3/22/1999,28,A
USGS,7121500,3/23/1999,26,A
USGS,7121500,3/24/1999,62,A
USGS,7121500,3/25/1999,48,A
USGS,7121500,3/26/1999,35,A
USGS,7121500,3/27/1999,45,A
USGS,7121500,3/28/1999,52,A
USGS,7121500,3/29/1999,45,A
USGS,7121500,3/30/1999,45,A
USGS,7121500,3/31/1999,46,A
USGS,7121500,4/1/1999,47,A
USGS,7121500,4/2/1999,41,A
USGS,7121500,4/3/1999,70,A
USGS,7121500,4/4/1999,73,A
USGS,7121500,4/5/1999,75,A
USGS,7121500,4/6/1999,65,A
USGS,7121500,4/7/1999,66,A
USGS,7121500,4/8/1999,55,A
USGS,7121500,4/9/1999,77,A
USGS,7121500,4/10/1999,83,A
USGS,7121500,4/11/1999,83,A
USGS,7121500,4/12/1999,86,A
USGS,7121500,4/13/1999,74,A
USGS,7121500,4/14/1999,71,A
USGS,7121500,4/15/1999,77,A
USGS,7121500,4/16/1999,80,A
USGS,7121500,4/17/1999,80,A
USGS,7121500,4/18/1999,83,A
USGS,7121500,4/19/1999,75,A
USGS,7121500,4/20/1999,72,A
USGS,7121500,4/21/1999,69,A
USGS,7121500,4/22/1999,64,A
USGS,7121500,4/23/1999,87,A
USGS,7121500,4/24/1999,111,A
USGS,7121500,4/25/1999,143,A
USGS,7121500,4/26/1999,158,A
USGS,7121500,4/27/1999,143,A
USGS,7121500,4/28/1999,128,A
USGS,7121500,4/29/1999,351,A
USGS,7121500,4/30/1999,639,A
USGS,7121500,5/1/1999,1140,A
USGS,7121500,5/2/1999,1190,A
USGS,7121500,5/3/1999,214,A
USGS,7121500,5/4/1999,91,A
USGS,7121500,5/5/1999,60,A
USGS,7121500,5/6/1999,64,A
USGS,7121500,5/7/1999,48,A
USGS,7121500,5/8/1999,40,A
USGS,7121500,5/9/1999,38,A
USGS,7121500,5/10/1999,38,A
USGS,7121500,5/11/1999,76,A
USGS,7121500,5/12/1999,103,A
USGS,7121500,5/13/1999,111,A
USGS,7121500,5/14/1999,136,A
USGS,7121500,5/15/1999,91,A
USGS,7121500,5/16/1999,55,A
USGS,7121500,5/17/1999,60,A
USGS,7121500,5/18/1999,61,A
USGS,7121500,5/19/1999,69,A
USGS,7121500,5/20/1999,77,A
USGS,7121500,5/21/1999,76,A
USGS,7121500,5/22/1999,62,A
USGS,7121500,5/23/1999,47,A
USGS,7121500,5/24/1999,61,A
USGS,7121500,5/25/1999,73,A
USGS,7121500,5/26/1999,82,A
USGS,7121500,5/27/1999,104,A
USGS,7121500,5/28/1999,119,A
USGS,7121500,5/29/1999,137,A
USGS,7121500,5/30/1999,146,A
USGS,7121500,5/31/1999,158,A
USGS,7121500,6/1/1999,153,A
USGS,7121500,6/2/1999,112,A
USGS,7121500,6/3/1999,129,A
