agency_cd,site_no,date,q.arklasco,tmax.arklasco,tmin.arklasco,ec.arklasco,,,,INDEP,SHIFT,DEP
USGS,7124000,3/1/1999,77,14.3,4.8,3070,,,,3.49,-0.09,0.1
USGS,7124000,3/2/1999,79,11.4,5.4,3030,,,,3.5,-0.09,0.11
USGS,7124000,3/3/1999,77,12.8,2.4,3080,,,,3.51,-0.09,0.12
USGS,7124000,3/4/1999,77,13.6,5.2,3130,,,,3.52,-0.09,0.14
USGS,7124000,3/5/1999,77,13.6,4.3,3200,,,,3.53,-0.09,0.15
USGS,7124000,3/6/1999,77,8.2,3.7,3200,,,,3.54,-0.09,0.17
USGS,7124000,3/7/1999,87,12,1.5,3030,,,,3.55,-0.09,0.18
USGS,7124000,3/8/1999,94,12.7,6.5,2830,,,,3.56,-0.09,0.2
USGS,7124000,3/9/1999,117,10.8,3.4,2670,,,,3.57,-0.09,0.22
USGS,7124000,3/10/1999,162,12,5.1,2420,,,,3.58,-0.09,0.24
USGS,7124000,3/11/1999,154,7.7,4.4,2550,,,,3.59,-0.09,0.26
USGS,7124000,3/12/1999,153,4.4,0.6,2630,,,,3.6,-0.09,0.28
USGS,7124000,3/13/1999,182,6.9,0.1,2470,,,,3.61,-0.09,0.31
USGS,7124000,3/14/1999,245,10.1,2.1,2250,,,,3.62,-0.09,0.33
USGS,7124000,3/15/1999,195,14.2,6,2270,,,,3.63,-0.09,0.36
USGS,7124000,3/16/1999,84,16.9,7.1,3020,,,,3.64,-0.09,0.39
USGS,7124000,3/17/1999,67,15.5,6.1,NA,,,,3.65,-0.09,0.42
USGS,7124000,3/18/1999,62,8.9,3.7,NA,,,,3.66,-0.09,0.45
USGS,7124000,3/19/1999,60,12.9,3.5,3530,,,,3.67,-0.09,0.49
USGS,7124000,3/20/1999,76,16.1,4,3230,,,,3.68,-0.09,0.53
USGS,7124000,3/21/1999,108,17,7,2460,,,,3.69,-0.09,0.56
USGS,7124000,3/22/1999,71,18.6,8.1,3370,,,,3.7,-0.09,0.61
USGS,7124000,3/23/1999,58,17.1,6.3,3640,,,,3.71,-0.09,0.65
USGS,7124000,3/24/1999,57,11.4,7.2,3680,,,,3.72,-0.09,0.7
USGS,7124000,3/25/1999,59,17.4,5.4,3750,,,,3.73,-0.09,0.74
USGS,7124000,3/26/1999,52,19.9,6.5,3800,,,,3.74,-0.09,0.79
USGS,7124000,3/27/1999,48,20.4,9.4,3810,,,,3.75,-0.09,0.85
USGS,7124000,3/28/1999,46,18.3,7.1,3830,,,,3.76,-0.09,0.9
USGS,7124000,3/29/1999,44,19.6,5.7,3820,,,,3.77,-0.09,0.96
USGS,7124000,3/30/1999,42,19.2,8,3780,,,,3.78,-0.09,1
USGS,7124000,3/31/1999,41,19.4,8.2,3730,,,,3.79,-0.09,1.1
USGS,7124000,4/1/1999,39,19.7,7.5,3650,,,,3.8,-0.09,1.2
USGS,7124000,4/2/1999,39,12.7,6,3580,,,,3.81,-0.09,1.2
USGS,7124000,4/3/1999,41,17.1,5.3,3560,,,,3.82,-0.09,1.3
USGS,7124000,4/4/1999,41,12.6,6.6,3620,,,,3.83,-0.09,1.4
USGS,7124000,4/5/1999,50,17.2,6.3,3610,,,,3.84,-0.09,1.5
USGS,7124000,4/6/1999,68,20.1,6.4,3880,,,,3.85,-0.09,1.5
USGS,7124000,4/7/1999,64,18.2,7.9,3670,,,,3.86,-0.09,1.6
USGS,7124000,4/8/1999,49,18.3,5.8,3980,,,,3.87,-0.09,1.7
USGS,7124000,4/9/1999,43,20.5,6.2,3950,,,,3.88,-0.09,1.8
USGS,7124000,4/10/1999,39,19.2,3.9,3970,,,,3.89,-0.09,1.9
USGS,7124000,4/11/1999,38,19.4,5.3,3850,,,,3.9,-0.09,2
USGS,7124000,4/12/1999,40,22.2,6.1,3830,,,,3.91,-0.09,2.1
USGS,7124000,4/13/1999,38,15,10.6,3640,,,,3.92,-0.09,2.3
USGS,7124000,4/14/1999,40,12.4,6.5,3550,,,,3.93,-0.09,2.4
USGS,7124000,4/15/1999,44,12.2,4.4,4030,,,,3.94,-0.09,2.5
USGS,7124000,4/16/1999,40,11.9,2.3,3670,,,,3.95,-0.09,2.6
USGS,7124000,4/17/1999,38,17.1,2.9,3680,,,,3.96,-0.09,2.8
USGS,7124000,4/18/1999,39,20.5,6,3590,,,,3.97,-0.09,2.9
USGS,7124000,4/19/1999,40,22.9,9.4,3550,,,,3.98,-0.09,3
USGS,7124000,4/20/1999,38,22.1,9.9,3600,,,,3.99,-0.09,3.2
USGS,7124000,4/21/1999,38,18.1,11.7,3720,,,,4,-0.09,3.3
USGS,7124000,4/22/1999,39,17.3,10.5,3940,,,,4.01,-0.09,3.5
USGS,7124000,4/23/1999,43,10.5,7.9,3750,,,,4.02,-0.09,3.7
USGS,7124000,4/24/1999,49,9.2,7.3,3630,,,,4.03,-0.09,3.8
USGS,7124000,4/25/1999,81,12.5,7.7,NA,,,,4.04,-0.09,4
USGS,7124000,4/26/1999,102,15.2,9.7,NA,,,,4.05,-0.09,4.2
USGS,7124000,4/27/1999,77,23.4,11.4,NA,,,,4.06,-0.09,4.4
