date,q.arklajco,tair.arklajco,h.arklajco,ha.arklajco
3/1/1999,13,NA,5.69,NA
3/2/1999,12,NA,5.65,NA
3/3/1999,13,NA,5.67,NA
3/4/1999,13,NA,5.67,NA
3/5/1999,15,NA,5.73,NA
3/6/1999,23,NA,5.97,NA
3/7/1999,28,NA,6.03,NA
3/8/1999,61,NA,6.17,NA
3/9/1999,122,NA,6.7,NA
3/10/1999,98,NA,6.56,NA
3/11/1999,91,NA,6.51,NA
3/12/1999,106,NA,6.57,NA
3/13/1999,168,NA,6.83,NA
3/14/1999,192,NA,6.91,NA
3/15/1999,74,NA,6.34,NA
3/16/1999,43,NA,6.11,NA
3/17/1999,37,NA,6.04,NA
3/18/1999,44,NA,6.09,NA
3/19/1999,83,NA,6.34,NA
3/20/1999,152,NA,6.73,NA
3/21/1999,74,NA,6.37,NA
3/22/1999,49,NA,6.17,NA
3/23/1999,36,NA,6.06,NA
3/24/1999,41,NA,6.12,NA
3/25/1999,36,NA,6.08,NA
3/26/1999,32,NA,6.05,NA
3/27/1999,31,NA,6.03,NA
3/28/1999,30,NA,6.04,NA
3/29/1999,28,NA,6.02,NA
3/30/1999,30,NA,6.06,NA
3/31/1999,31,NA,6.07,NA
4/1/1999,34,NA,6.11,NA
4/2/1999,34,NA,6.12,NA
4/3/1999,35,NA,6.13,NA
4/4/1999,38,NA,6.17,NA
4/5/1999,53,NA,6.31,NA
4/6/1999,65,NA,6.38,NA
4/7/1999,45,NA,6.27,NA
4/8/1999,38,NA,6.2,NA
4/9/1999,42,NA,6.25,NA
4/10/1999,48,NA,6.31,NA
4/11/1999,43,NA,6.28,NA
4/12/1999,41,NA,6.26,NA
4/13/1999,44,NA,6.29,NA
4/14/1999,43,NA,6.29,NA
4/15/1999,44,NA,6.29,NA
4/16/1999,43,NA,6.3,NA
4/17/1999,45,NA,6.33,NA
4/18/1999,44,NA,6.32,NA
4/19/1999,42,NA,6.31,NA
4/20/1999,42,NA,6.27,NA
4/21/1999,38,NA,-271.11,NA
4/22/1999,37,NA,-366.21,NA
4/23/1999,47,NA,6.28,NA
4/24/1999,42,NA,6.23,NA
4/25/1999,52,NA,6.33,NA
4/26/1999,40,NA,6.24,NA
4/27/1999,31,NA,6.14,NA
4/28/1999,34,NA,6.16,NA
4/29/1999,134,NA,6.77,NA
4/30/1999,2110,NA,8.74,NA
5/1/1999,11100,NA,9.68,NA
5/2/1999,19000,NA,13.38,NA
5/3/1999,10800,NA,12.69,NA
5/4/1999,6290,NA,12.49,NA
5/5/1999,4670,NA,12.39,NA
5/6/1999,4150,NA,10.14,NA
5/7/1999,3360,NA,9.18,NA
5/8/1999,2360,NA,8.48,NA
5/9/1999,2240,NA,8.39,NA
5/10/1999,2180,NA,8.35,NA
5/11/1999,2760,NA,8.82,NA
5/12/1999,2910,NA,8.94,NA
5/13/1999,2280,NA,8.48,NA
5/14/1999,2130,NA,8.35,NA
5/15/1999,1600,NA,7.82,NA
5/16/1999,1640,NA,8.89,NA
5/17/1999,1720,NA,8.79,NA
5/18/1999,1370,NA,7.63,NA
5/19/1999,1120,NA,7.3,NA
5/20/1999,802,NA,6.86,NA
5/21/1999,724,NA,6.77,NA
5/22/1999,724,NA,6.77,NA
5/23/1999,724,NA,6.77,NA
5/24/1999,716,NA,6.77,NA
5/25/1999,732,NA,6.71,NA
5/26/1999,1910,NA,7.83,NA
5/27/1999,2350,NA,8.33,NA
5/28/1999,3000,NA,8.85,NA
5/29/1999,3400,NA,9.13,NA
5/30/1999,3260,NA,9.1,NA
5/31/1999,2590,NA,8.65,NA
6/1/1999,1800,NA,8.05,NA
6/2/1999,1410,NA,7.77,NA
6/3/1999,1390,NA,7.79,NA
6/4/1999,1210,NA,7.57,NA
6/5/1999,829,NA,7.06,NA
6/6/1999,594,NA,6.75,NA
6/7/1999,522,NA,6.76,NA
6/8/1999,433,NA,6.75,NA
6/9/1999,278,NA,6.35,NA
6/10/1999,86,NA,5.12,NA
6/11/1999,96,NA,5.11,NA
6/12/1999,861,NA,6.68,NA
6/13/1999,2280,NA,8.05,NA
6/14/1999,1740,NA,7.4,NA
6/15/1999,1940,NA,7.89,NA
6/16/1999,1910,NA,8.31,NA
6/17/1999,1950,NA,8.35,NA
6/18/1999,2420,NA,8.7,NA
6/19/1999,2870,NA,9.07,NA
6/20/1999,2250,NA,8.62,NA
6/21/1999,1980,NA,8.4,NA
6/22/1999,2140,NA,8.53,NA
6/23/1999,2210,NA,8.65,NA
6/24/1999,2060,NA,8.53,NA
6/25/1999,1490,NA,8.07,NA
6/26/1999,1850,NA,8.4,NA
6/27/1999,2170,NA,8.7,NA
6/28/1999,2310,NA,8.86,NA
6/29/1999,1500,NA,8.09,NA
6/30/1999,1340,NA,7.79,NA
7/1/1999,864,NA,7.2,NA
7/2/1999,512,NA,6.55,NA
7/3/1999,586,NA,6.69,NA
7/4/1999,687,NA,-3.57,NA
7/5/1999,311,NA,6.13,NA
7/6/1999,108,NA,5.52,NA
7/7/1999,90,NA,5.43,NA
7/8/1999,164,NA,5.74,NA
7/9/1999,165,NA,5.7,NA
7/10/1999,75,NA,5.32,NA
7/11/1999,54,NA,5.17,NA
7/12/1999,55,NA,5.16,NA
7/13/1999,67,NA,5.23,NA
7/14/1999,57,NA,5.18,NA
7/15/1999,54,NA,5.18,NA
7/16/1999,60,NA,5.27,NA
7/17/1999,3170,NA,8.99,NA
7/18/1999,2640,NA,8.98,NA
7/19/1999,1080,NA,7.6,NA
7/20/1999,614,NA,6.93,NA
7/21/1999,474,NA,6.61,NA
7/22/1999,462,NA,6.56,NA
7/23/1999,496,NA,6.64,NA
7/24/1999,216,NA,6.05,NA
7/25/1999,131,NA,5.75,NA
7/26/1999,91,NA,5.58,NA
7/27/1999,78,NA,5.49,NA
7/28/1999,67,NA,5.44,NA
7/29/1999,55,NA,5.41,NA
7/30/1999,55,NA,5.41,NA
7/31/1999,75,NA,5.57,NA
8/1/1999,168,NA,5.81,NA
8/2/1999,1970,NA,7.65,NA
8/3/1999,1580,NA,8.31,NA
8/4/1999,1010,NA,7.72,NA
8/5/1999,2020,NA,8.59,NA
8/6/1999,3410,NA,9.9,NA
8/7/1999,4340,NA,10.81,NA
8/8/1999,3410,NA,10.8,NA
8/9/1999,2760,NA,10.07,NA
8/10/1999,3320,NA,9.95,NA
8/11/1999,2930,NA,9.6,NA
8/12/1999,1270,NA,8.09,NA
8/13/1999,977,NA,7.67,NA
8/14/1999,587,NA,7.16,NA
8/15/1999,478,NA,7.16,NA
8/16/1999,376,NA,7.14,NA
8/17/1999,173,NA,5.88,NA
8/18/1999,99,NA,5.6,NA
8/19/1999,151,NA,5.76,NA
8/20/1999,225,NA,6.02,NA
8/21/1999,452,NA,6.47,NA
8/22/1999,329,NA,6.23,NA
8/23/1999,221,NA,5.98,NA
8/24/1999,206,NA,5.93,NA
8/25/1999,220,NA,5.97,NA
8/26/1999,257,NA,6.07,NA
8/27/1999,242,NA,-4.44,NA
8/28/1999,235,NA,6,NA
8/29/1999,269,NA,6.05,NA
8/30/1999,314,NA,-4.33,NA
8/31/1999,199,NA,5.86,NA
9/1/1999,172,NA,5.76,NA
9/2/1999,108,NA,5.52,NA
9/3/1999,107,NA,5.49,NA
9/4/1999,118,NA,5.54,NA
9/5/1999,89,NA,5.42,NA
9/6/1999,114,NA,5.54,NA
9/7/1999,103,NA,5.49,NA
9/8/1999,92,NA,5.44,NA
9/9/1999,90,NA,5.41,NA
9/10/1999,81,NA,5.36,NA
9/11/1999,80,NA,5.35,NA
9/12/1999,71,NA,5.29,NA
9/13/1999,85,NA,5.37,NA
9/14/1999,77,NA,5.31,NA
9/15/1999,78,NA,5.31,NA
9/16/1999,66,NA,5.24,NA
9/17/1999,63,NA,5.22,NA
9/18/1999,71,NA,5.27,NA
9/19/1999,74,NA,5.29,NA
9/20/1999,74,NA,5.29,NA
9/21/1999,65,NA,5.23,NA
9/22/1999,71,NA,5.27,NA
9/23/1999,72,NA,5.27,NA
9/24/1999,75,NA,5.29,NA
9/25/1999,79,NA,5.31,NA
9/26/1999,80,NA,5.31,NA
9/27/1999,76,NA,5.29,NA
9/28/1999,75,NA,5.28,NA
9/29/1999,81,NA,5.35,NA
9/30/1999,87,NA,5.45,NA
10/1/1999,88,NA,5.45,NA
10/2/1999,93,NA,5.46,NA
10/3/1999,81,NA,5.41,NA
10/4/1999,113,NA,5.53,NA
10/5/1999,92,NA,5.47,NA
10/6/1999,92,NA,5.47,NA
10/7/1999,77,NA,5.39,NA
10/8/1999,65,NA,5.32,NA
10/9/1999,66,NA,5.33,NA
10/10/1999,65,NA,5.34,NA
