date,q.arkrocco,h.arkrocco,p.arkrocco
3/1/1999,107,1.98,NA
3/2/1999,95,1.93,NA
3/3/1999,98.3,1.94,NA
3/4/1999,97.4,1.94,NA
3/5/1999,56.3,1.89,NA
3/6/1999,45.8,1.88,NA
3/7/1999,45.8,1.88,NA
3/8/1999,46.4,1.88,NA
3/9/1999,44.3,1.87,NA
3/10/1999,44.2,1.87,NA
3/11/1999,43.8,1.87,NA
3/12/1999,42.6,1.86,NA
3/13/1999,48.6,1.9,NA
3/14/1999,50.6,1.91,NA
3/15/1999,76.8,2.05,NA
3/16/1999,121,2.25,NA
3/17/1999,106,2.19,NA
3/18/1999,99.2,2.17,NA
3/19/1999,132,2.3,NA
3/20/1999,127,2.28,NA
3/21/1999,92.7,2.14,NA
3/22/1999,107,2.2,NA
3/23/1999,108,2.21,NA
3/24/1999,95.3,2.15,NA
3/25/1999,79.9,2.07,NA
3/26/1999,71,2.03,NA
3/27/1999,67.8,2.01,NA
3/28/1999,68.5,2.01,NA
3/29/1999,74,2.04,NA
3/30/1999,75.6,2.05,NA
3/31/1999,76.2,2.06,NA
4/1/1999,71,2.03,NA
4/2/1999,73.2,2.04,NA
4/3/1999,73.2,2.04,NA
4/4/1999,104,2.18,NA
4/5/1999,158,2.39,NA
4/6/1999,164,2.41,NA
4/7/1999,156,2.38,NA
4/8/1999,112,2.22,NA
4/9/1999,211,2.24,NA
4/10/1999,328,2.44,NA
4/11/1999,381,2.53,NA
4/12/1999,525,2.71,NA
4/13/1999,445,2.61,NA
4/14/1999,360,2.5,NA
4/15/1999,345,2.47,NA
4/16/1999,342,2.47,NA
4/17/1999,331,2.45,NA
4/18/1999,318,2.43,NA
4/19/1999,295,2.38,NA
4/20/1999,284,2.36,NA
4/21/1999,190,2.29,NA
4/22/1999,162,2.22,NA
4/23/1999,160,2.21,NA
4/24/1999,517,2.86,NA
4/25/1999,563,2.92,NA
4/26/1999,444,2.76,NA
4/27/1999,361,2.64,NA
4/28/1999,362,2.62,NA
4/29/1999,803,3.19,NA
4/30/1999,2590,4.77,NA
5/1/1999,4870,6.48,NA
5/2/1999,7930,8.62,NA
5/3/1999,7940,8.63,NA
5/4/1999,7940,8.63,NA
