date,q.rfhcanco,h.rfhcanco,ha.rfhcanco,hb.rfhcanco
3/1/1999,0,0,0,0
3/2/1999,0,0,0,0
3/3/1999,0,0,0,0
3/4/1999,0,0,0,0
3/5/1999,0,0,0,0
3/6/1999,0,0,0,0
3/7/1999,0,0,0,0
3/8/1999,0,0,0,0
3/9/1999,0,0,0,0
3/10/1999,0,0,0,0
3/11/1999,0,0,0,0
3/12/1999,0,0,0,0
3/13/1999,0,0,0,0
3/14/1999,-20.8,-20.81,-20.8,-10.4
3/15/1999,0,0,0,0
3/16/1999,0,0,0,0
3/17/1999,81.4,1.1,1.1,0.937
3/18/1999,153,1.89,1.89,1.62
3/19/1999,159,1.96,1.96,1.71
3/20/1999,149,1.87,1.87,1.63
3/21/1999,147,1.85,1.85,1.61
3/22/1999,147,1.86,1.86,1.63
3/23/1999,151,1.88,1.88,1.63
3/24/1999,199,2.24,2.24,1.95
3/25/1999,222,2.43,2.43,2.14
3/26/1999,224,2.48,2.48,2.22
3/27/1999,222,2.46,2.46,2.2
3/28/1999,221,2.45,2.45,2.2
3/29/1999,222,2.46,2.46,2.21
3/30/1999,223,2.49,2.49,2.25
3/31/1999,220,2.49,2.49,2.26
4/1/1999,221,2.52,2.52,2.3
4/2/1999,225,2.54,2.54,2.32
4/3/1999,225,2.55,2.55,2.33
4/4/1999,222,2.56,2.56,2.37
4/5/1999,219,2.56,2.56,-10.1
4/6/1999,196,-18.27,-18.3,-8.02
4/7/1999,221,2.59,2.59,2.41
4/8/1999,230,2.64,2.64,2.45
4/9/1999,223,2.62,2.62,2.44
4/10/1999,227,2.65,2.65,2.47
4/11/1999,238,2.75,2.75,2.57
4/12/1999,231,2.71,2.71,2.55
4/13/1999,228,2.68,2.68,2.51
4/14/1999,226,2.65,2.65,2.48
4/15/1999,226,2.65,2.65,2.48
4/16/1999,226,2.65,2.65,2.48
4/17/1999,225,2.65,2.65,2.48
4/18/1999,223,2.64,2.64,2.47
4/19/1999,219,2.63,2.63,2.47
4/20/1999,224,2.67,2.67,2.51
4/21/1999,227,2.7,2.7,2.55
4/22/1999,231,2.72,2.72,2.56
4/23/1999,227,2.68,2.68,2.52
4/24/1999,217,2.65,2.65,2.51
4/25/1999,220,2.68,2.68,2.54
4/26/1999,220,2.7,2.7,2.56
4/27/1999,228,2.71,2.71,2.55
4/28/1999,226,2.67,2.67,2.51
4/29/1999,231,2.74,2.74,2.58
4/30/1999,148,2.01,2.01,1.88
5/1/1999,238,2.78,2.78,2.62
5/2/1999,196,2.41,2.41,2.24
5/3/1999,138,1.91,1.91,1.78
5/4/1999,101,-10.82,-10.8,-10.9
5/5/1999,75.6,-19.33,-19.3,-29.9
5/6/1999,86.4,1.39,1.39,1.29
5/7/1999,12.3,-50.91,-50.9,-51
5/8/1999,-54.4,-113.31,-113.3,-123.5
5/9/1999,140,1.97,1.97,1.86
5/10/1999,135,-18.74,-18.7,1.98
5/11/1999,150,2.05,2.05,1.92
5/12/1999,149,2.06,2.06,1.94
5/13/1999,150,2.04,2.04,1.92
5/14/1999,169,-8.67,-8.67,2.2
5/15/1999,201,2.49,2.49,2.34
5/16/1999,193,2.46,2.46,-39.4
5/17/1999,118,-60.16,-60.2,-60.3
5/18/1999,176,-19.49,-19.5,2.4
5/19/1999,197,-20.74,-20.7,-44.5
5/20/1999,234,-7.57,-7.57,-7.73
5/21/1999,199,-49.18,-49.2,-49.3
5/22/1999,86.5,-153.42,-153.4,-153.6
5/23/1999,141,-117.91,-117.9,-118.1
5/24/1999,320,3.52,3.52,-8.47
5/25/1999,346,3.69,3.69,3.5
5/26/1999,348,3.82,3.82,3.67
5/27/1999,90.9,-196.66,-196.7,-196.8
5/28/1999,320,-6.53,-6.53,-27.6
5/29/1999,351,3.86,3.86,3.7
5/30/1999,332,3.71,3.71,3.57
5/31/1999,103,-163.44,-163.4,-163.6
6/1/1999,271,-27.65,-27.7,-26.9
6/2/1999,298,-6.76,-6.76,-6.9
