DATE,q.in,ec.in,t.in,q.HOL,q.RFD,q.FLS,q.RFR,q.TIM,q.FLY,q.CAN,q.CON,q.HRC,q.WTP,q.out,ec.out,t.out,da.0,da.1,dc.0,dc.1,dd.0,dd.1,de.0,de.1,p,et
3/1/1999,122,NA,NA,31.32,46.47,3.16,0,28,158.03,4.1,0,15,NA,77,3.07,9.55,1.28,NA,1.05,NA,0.58,NA,1.16,NA,0,0.19
3/2/1999,116,NA,NA,41.62,47.42,0,0,26,114.68,4.2,0,13,NA,79,3.03,8.4,1.27,1.28,1,1.05,0.54,0.58,1.18,1.16,0,0.19
3/3/1999,170,NA,NA,90.51,47.19,0,0,24,110.11,4.6,0,12,NA,77,3.08,7.6,1.45,1.27,1.01,1,0.56,0.54,1.16,1.18,0,0.2
3/4/1999,176,NA,NA,118.39,45.44,0,0,49,107.5,4.8,0,12,NA,77,3.13,9.4,1.48,1.45,1.01,1.01,0.56,0.56,1.16,1.16,0,0.19
3/5/1999,176,NA,NA,111.16,45.73,0,0,131,196.15,21,0,12,NA,77,3.2,8.95,1.49,1.48,0.96,1.01,0.62,0.56,1.16,1.16,0,0.16
3/6/1999,194,NA,NA,125.32,47.5,0,0,79,164.38,35,0,11,NA,77,3.2,5.95,1.55,1.49,0.95,0.96,0.86,0.62,1.16,1.16,0,0.33
3/7/1999,202,NA,NA,142.7,47.83,0,0,55,121.59,NA,0,12,NA,87,3.03,6.75,1.59,1.55,0.95,0.95,0.92,0.86,1.23,1.16,0,0.26
3/8/1999,201,NA,NA,141.96,47.63,0,0,87,171.01,14,0,12,NA,94,2.83,9.6,1.59,1.59,0.95,0.95,1.06,0.92,1.27,1.23,0,0.16
3/9/1999,194,NA,NA,140.68,47.86,0,0,49,140.73,17,0,11,NA,117,2.67,7.1,1.58,1.59,0.94,0.95,1.59,1.06,1.4,1.27,0,0.24
3/10/1999,136,NA,NA,109.72,45.29,0,0,32,109.85,10,0,11,NA,162,2.42,8.55,1.39,1.58,0.94,0.94,1.45,1.59,1.6,1.4,0,0.21
3/11/1999,128,NA,NA,82.76,45.85,0,0,36,104.19,6.9,0,11,NA,154,2.55,6.05,1.36,1.39,0.94,0.94,1.4,1.45,1.56,1.6,0,0.12
3/12/1999,139,NA,NA,80.91,47.61,0,0,48,80.22,20,0,12,NA,153,2.63,2.5,1.41,1.36,0.93,0.94,1.46,1.4,1.56,1.56,0.16,0.09
3/13/1999,161,NA,NA,98.55,47.37,0,0,84,0,NA,1.91,15,NA,182,2.47,3.5,1.5,1.41,0.97,0.93,1.72,1.46,1.67,1.56,0,0.16
3/14/1999,177,NA,NA,115.38,50.28,0,0,104,2.52,12,17.62,16,NA,245,2.25,6.1,1.55,1.5,0.98,0.97,1.8,1.72,1.92,1.67,0,0.14
3/15/1999,188,NA,NA,0,68.43,0,0,55,176.12,16,121.26,15,NA,195,2.27,10.1,1.58,1.55,1.12,0.98,1.23,1.8,1.72,1.92,0,0.19
3/16/1999,233,NA,NA,0,72.58,0,22.47,33,243.54,6,95.97,16,NA,84,3.02,12,1.75,1.58,1.32,1.12,1,1.23,1.21,1.72,0,0.17
3/17/1999,147,NA,NA,0,70.75,0,19.82,31,264.61,5.6,64.59,14,NA,67,NA,10.8,1.47,1.75,1.26,1.32,0.93,1,1.09,1.21,0.02,0.08
3/18/1999,147,NA,NA,0,70.85,0,20.14,33,218.91,7.3,57.63,13,NA,62,NA,6.3,1.51,1.47,1.24,1.26,0.98,0.93,1.05,1.09,0.06,0.09
3/19/1999,146,NA,NA,0,70.93,0,20.33,37,215.47,9.1,64.68,14,NA,60,3.53,8.2,1.48,1.51,1.37,1.24,1.23,0.98,1.04,1.05,0,0.17
3/20/1999,117,NA,NA,38.47,70.85,0,20.33,30,183.01,8.3,75.35,15,NA,76,3.23,10.05,1.38,1.48,1.35,1.37,1.62,1.23,1.16,1.04,0,0.34
3/21/1999,99,NA,NA,56.07,70.89,0,20.33,29,190.21,4.5,77.26,15,NA,108,2.46,12,1.33,1.38,1.21,1.35,1.26,1.62,1.35,1.16,0,0.2
3/22/1999,89,NA,NA,0,70.86,0,20.33,28,201.83,4.6,70.71,18,NA,71,3.37,13.35,1.24,1.33,1.27,1.21,1.06,1.26,1.12,1.35,0,0.25
3/23/1999,69,NA,NA,0,70.79,0,20.33,26,202.32,3.9,66.09,15,NA,58,3.64,11.7,1.11,1.24,1.28,1.27,0.95,1.06,1.02,1.12,0.6,0.17
3/24/1999,62,NA,NA,0,70.7,0,20.33,62,224.01,4.4,66.29,17,NA,57,3.68,9.3,1.06,1.11,1.22,1.28,1.01,0.95,1.01,1.02,0,0.21
3/25/1999,53,NA,NA,0,68.88,0,20.33,48,191.85,9.5,70.27,18,NA,59,3.75,11.4,1.02,1.06,1.14,1.22,0.97,1.01,1.03,1.01,0,0.39
3/26/1999,25,NA,NA,0,65.98,0,18.22,35,159.08,3.7,63.4,16,NA,52,3.8,13.2,0.94,1.02,1.1,1.14,0.94,0.97,0.97,1.03,0,0.4
3/27/1999,57,NA,NA,0,59.13,0,13.77,45,158.3,4.9,56.96,15,NA,48,3.81,14.9,1,0.94,1.08,1.1,0.92,0.94,0.93,0.97,0,0.31
3/28/1999,71,NA,NA,0,68.24,0,18.07,52,161.38,4.4,51.72,14,NA,46,3.83,12.7,1.04,1,1.08,1.08,0.93,0.92,0.91,0.93,0,0.33
3/29/1999,98,NA,NA,0,69.78,0,20.19,45,163.78,4.8,49.59,14,NA,44,3.82,12.65,1.15,1.04,1.11,1.08,0.91,0.93,0.89,0.91,0,0.47
3/30/1999,121,NA,NA,0,70.93,0,20,45,166.07,11,48.77,15,NA,42,3.78,13.6,1.22,1.15,1.12,1.11,0.95,0.91,0.87,0.89,0,0.58
3/31/1999,73,NA,NA,0,63.93,0,19.67,46,182.68,11,52.17,14,NA,41,3.73,13.8,1,1.22,1.13,1.12,0.96,0.95,0.86,0.87,0,0.36
4/1/1999,95,NA,NA,0,79.41,0,27.27,47,158.54,17,51.92,14,NA,39,3.65,13.6,1.09,1,1.1,1.13,1,0.96,0.84,0.86,0,0.17
4/2/1999,96,NA,NA,0,72.78,0,29.69,41,160.57,14,54.88,14,NA,39,3.58,9.35,1.06,1.09,1.11,1.1,1.01,1,0.84,0.84,0.05,0.22
4/3/1999,177,NA,NA,0,83.3,0,31.06,70,193.37,19,61.94,15,NA,41,3.56,11.2,1.32,1.06,1.11,1.11,1.02,1.01,0.86,0.84,0,0.16
4/4/1999,302,NA,NA,0,83.11,0,31.06,73,238.13,19,59.51,15,NA,41,3.62,9.6,1.69,1.32,1.25,1.11,1.06,1.02,0.86,0.86,0.34,0.29
4/5/1999,312,NA,NA,0,83,0,31.04,75,362.84,23,71.01,24,NA,50,3.61,11.75,1.7,1.69,1.46,1.25,1.2,1.06,0.95,0.86,0,0.21
4/6/1999,285,NA,NA,0,82.96,0,30.76,65,346.29,21,74.78,27,NA,68,3.88,13.25,1.63,1.7,1.48,1.46,1.27,1.2,1.1,0.95,0,0.38
4/7/1999,119,NA,NA,0,77.09,0,29.52,66,374.4,13,73.15,19,NA,64,3.67,13.05,1.09,1.63,1.45,1.48,1.16,1.27,1.07,1.1,0,0.54
4/8/1999,86,NA,NA,0,57.57,0,22.99,55,274.07,16,61.85,17,NA,49,3.98,12.05,0.93,1.09,1.29,1.45,1.09,1.16,0.94,1.07,0,0.5
4/9/1999,312,NA,NA,0,78.03,0,23.23,77,256.94,19,56.82,15,NA,43,3.95,13.35,1.64,0.93,1.31,1.29,1.14,1.09,0.88,0.94,0,0.35
4/10/1999,390,NA,NA,0.41,83.21,0,30.27,83,388.64,32,56.5,14,NA,39,3.97,11.55,1.8,1.64,1.51,1.31,1.2,1.14,0.84,0.88,0,0.34
4/11/1999,577,NA,NA,0.45,82.97,0,30.3,83,474.8,19,63.91,15,NA,38,3.85,12.35,2.17,1.8,1.6,1.51,1.17,1.2,0.82,0.84,0,0.33
4/12/1999,1270,NA,NA,219.81,83,69.53,30.31,86,488.53,17,60.13,13,NA,40,3.83,14.15,2.99,2.17,1.78,1.6,1.15,1.17,0.85,0.82,0,0.21
4/13/1999,525,NA,NA,75.8,82.34,0,30.3,74,615.25,28,59.21,15,NA,38,3.64,12.8,2.06,2.99,1.68,1.78,1.18,1.15,0.82,0.85,0.03,0.31
4/14/1999,441,NA,NA,0,82.44,0,30.28,71,466.6,20,69.46,16,NA,40,3.55,9.45,1.91,2.06,1.57,1.68,1.18,1.18,0.85,0.82,0,0.25
4/15/1999,304,NA,NA,0,82.58,0,30.3,77,422.14,24,70.08,23,NA,44,4.03,8.3,1.64,1.91,1.54,1.57,1.18,1.18,0.89,0.85,0,0.24
4/16/1999,280,NA,NA,0,82.92,0,30.3,80,406.59,20,63.18,16,NA,40,3.67,7.1,1.58,1.64,1.54,1.54,1.19,1.18,0.85,0.89,0,0.24
4/17/1999,258,NA,NA,0,82.97,0,30.3,80,395.02,20,61.73,14,NA,38,3.68,10,1.53,1.58,1.52,1.54,1.22,1.19,0.82,0.85,0,0.27
4/18/1999,241,NA,NA,0,82.78,0,30.3,83,386.61,18,65.35,15,NA,39,3.59,13.25,1.5,1.53,1.5,1.52,1.21,1.22,0.84,0.82,0,0.26
4/19/1999,240,NA,NA,0,82.97,0,30.3,75,370.54,18,65.39,14,NA,40,3.55,16.15,1.49,1.5,1.45,1.5,1.2,1.21,0.85,0.84,0,0.36
4/20/1999,230,NA,NA,0,82.67,0,29.66,72,334.21,12,61.16,13,NA,38,3.6,16,1.48,1.49,1.43,1.45,1.16,1.2,0.82,0.85,0.26,0.22
4/21/1999,116,NA,NA,0,77.89,0,27.88,69,312.07,8.9,55.38,14,NA,38,3.72,14.9,1.12,1.48,1.36,1.43,NA,1.16,0.82,0.82,0.41,0.22
4/22/1999,91,NA,NA,0,64.49,0,30.26,64,244.16,12,57.66,17,NA,39,3.94,13.9,1.02,1.12,1.29,1.36,NA,NA,0.84,0.82,0.07,0.14
4/23/1999,458,NA,NA,0,83.61,0,30.3,87,261.37,27,67.62,19,NA,43,3.75,9.2,1.93,1.02,1.28,1.29,1.17,NA,0.88,0.84,0.21,0.13
4/24/1999,829,NA,NA,101.61,82.71,0,30.25,111,670.83,25,72.67,19,NA,49,3.63,8.25,2.71,1.93,1.93,1.28,1.12,1.17,0.94,0.88,0.3,0.18
4/25/1999,606,NA,NA,44.68,82.29,0,30.3,143,886.45,37,75.34,32,NA,81,NA,10.1,2.38,2.71,1.99,1.93,1.22,1.12,1.19,0.94,0,0.23
4/26/1999,402,NA,NA,0,82.07,0,30.3,158,752.03,27,76.16,29,NA,102,NA,12.45,1.98,2.38,1.83,1.99,1.13,1.22,1.32,1.19,0,0.23
4/27/1999,353,NA,NA,0,82.55,0,30.3,143,598.98,16,73.92,17,NA,77,NA,17.4,1.88,1.98,1.71,1.83,1.03,1.13,1.16,1.32,0.54,0.35
4/28/1999,328,NA,NA,0,79.29,0,35.83,128,523.64,19,70.53,15,NA,67,3.39,15.45,1.76,1.88,1.69,1.71,1.05,1.03,1.09,1.16,0.14,0.26
4/29/1999,911,NA,NA,119.93,0,0,0.88,351,1070.49,9,54.34,30,NA,94,3.12,11.45,2.58,1.76,2.26,1.69,1.66,1.05,1.27,1.09,1.7,0.25
4/30/1999,NA,NA,NA,136.64,0.9,0,8.22,639,681.22,NA,29.33,NA,NA,1150,1.87,10,NA,2.58,3.84,2.26,3.63,1.66,3.94,1.27,1.06,0.16
5/1/1999,NA,NA,NA,0,64.91,0,0,1140,432.95,NA,0.83,NA,NA,6970,0.975,9.6,NA,NA,NA,3.84,4.57,3.63,NA,3.94,0,0.26
5/2/1999,NA,NA,NA,0,116.25,0,0,1190,536.05,34,1.19,NA,NA,21700,0.843,10.5,NA,NA,NA,NA,NA,4.57,NA,NA,0,0.41
5/3/1999,NA,NA,NA,0,0,0,0,214,238.48,13,0.84,NA,NA,22600,1.02,12.25,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.24
5/4/1999,NA,NA,NA,0,0,0,0,91,71.46,9,0.67,NA,NA,11800,1.15,12.7,4.45,NA,NA,NA,NA,NA,NA,NA,0.26,0.22
5/5/1999,NA,NA,NA,0,0,0,0,60,14.81,7.3,0.66,NA,NA,6410,1.27,12.25,NA,4.45,NA,NA,NA,NA,NA,NA,0,0.24
5/6/1999,NA,NA,NA,0,0,0,0,64,7.17,7.2,0.62,NA,NA,4750,1.32,12.35,NA,NA,NA,NA,NA,NA,NA,NA,0,0.24
5/7/1999,NA,NA,NA,0,0,0,0,48,42.61,6.5,0.51,63,NA,3810,1.36,14.25,NA,NA,NA,NA,4.07,NA,NA,NA,0,0.3
5/8/1999,NA,NA,NA,0,0,0,0,40,309.74,8.6,0.52,49,NA,2920,1.4,16.5,3.93,NA,NA,NA,3.37,4.07,NA,NA,0,0.47
5/9/1999,NA,NA,NA,0,0,0,0,38,576.41,8.1,19.43,42,NA,2330,NA,18.15,4.17,3.93,NA,NA,3.28,3.37,4.84,NA,0,0.39
