,DATE,q.in,ec.in,t.in,q.HOL,q.RFD,q.FLS,q.RFR,q.TIM,q.FLY,q.CAN,q.CON,q.HRC,q.WTP,q.out,ec.out,t.out,da.0,da.1,dc.0,dc.1,dd.0,dd.1,de.0,de.1,p,et
1,3/1/1999,3.454655284,NA,NA,0.886883635,1.315883861,0.089481235,0,0.792871705,4.474911267,0.116099071,0,0.424752699,NA,2.180397187,3.07,9.55,0.390144,NA,0.32004,NA,0.176784,NA,0.353568,NA,0,0.004826
2,3/2/1999,3.284754204,NA,NA,1.178547155,1.342784865,0,0,0.736238011,3.247375967,0.118930756,0,0.368119006,NA,2.237030881,3.03,8.4,0.387096,0.390144,0.3048,0.32004,0.164592,0.176784,0.359664,0.353568,0,0.004826
3,3/3/1999,4.81386392,NA,NA,2.562957785,1.336271991,0,0,0.679604318,3.117967978,0.130257494,0,0.339802159,NA,2.180397187,3.08,7.6,0.44196,0.387096,0.307848,0.3048,0.170688,0.164592,0.353568,0.359664,0,0.00508
4,3/4/1999,4.983765,NA,NA,3.352431468,1.286717509,0,0,1.387525483,3.044061008,0.135920864,0,0.339802159,NA,2.180397187,3.13,9.4,0.451104,0.44196,0.307848,0.307848,0.170688,0.170688,0.353568,0.353568,0,0.004826
5,3/5/1999,4.983765,NA,NA,3.147700667,1.294929395,0,0,3.709506903,5.554349459,0.594653778,0,0.339802159,NA,2.180397187,3.2,8.95,0.454152,0.451104,0.292608,0.307848,0.188976,0.170688,0.353568,0.353568,0,0.004064
6,3/6/1999,5.493468238,NA,NA,3.548667215,1.345050213,0,0,2.237030881,4.654723242,0.991089631,0,0.311485312,NA,2.180397187,3.2,5.95,0.47244,0.454152,0.28956,0.292608,0.262128,0.188976,0.353568,0.353568,0,0.008382
7,3/7/1999,5.720003011,NA,NA,4.040814008,1.354394772,0,0,1.557426562,3.443045377,NA,0,0.339802159,NA,2.463565653,3.03,6.75,0.484632,0.47244,0.28956,0.28956,0.280416,0.262128,0.374904,0.353568,0,0.006604
8,3/8/1999,5.691686165,NA,NA,4.019859542,1.348731403,0,0,2.463565653,4.842463935,0.396435852,0,0.339802159,NA,2.661783579,2.83,9.6,0.484632,0.484632,0.28956,0.28956,0.323088,0.280416,0.387096,0.374904,0,0.004064
9,3/9/1999,5.493468238,NA,NA,3.983613978,1.355244278,0,0,1.387525483,3.985029821,0.481386392,0,0.311485312,NA,3.313071051,2.67,7.1,0.481584,0.484632,0.286512,0.28956,0.484632,0.323088,0.42672,0.387096,0,0.006096
10,3/10/1999,3.851091136,NA,NA,3.106924408,1.282469982,0,0,0.906139091,3.110605598,0.283168466,0,0.311485312,NA,4.587329148,2.42,8.55,0.423672,0.481584,0.286512,0.286512,0.44196,0.484632,0.48768,0.42672,0,0.005334
11,3/11/1999,3.624556364,NA,NA,2.343502224,1.298327416,0,0,1.019406477,2.950332246,0.195386241,0,0.311485312,NA,4.360794375,2.55,6.05,0.414528,0.423672,0.286512,0.286512,0.42672,0.44196,0.475488,0.48768,0,0.003048
12,3/12/1999,3.936041676,NA,NA,2.291116058,1.348165066,0,0,1.359208636,2.271577433,0.566336932,0,0.339802159,NA,4.332477528,2.63,2.5,0.429768,0.414528,0.283464,0.286512,0.445008,0.42672,0.475488,0.475488,0.004064,0.002286
13,3/13/1999,4.559012301,NA,NA,2.790625231,1.341369023,0,0,2.378615114,0,NA,0.054085177,0.424752699,NA,5.153666079,2.47,3.5,0.4572,0.429768,0.295656,0.283464,0.524256,0.445008,0.509016,0.475488,0,0.004064
14,3/14/1999,5.012081846,NA,NA,3.26719776,1.423771047,0,0,2.944952045,0.071358453,0.339802159,0.498942837,0.453069545,NA,6.937627415,2.25,6.1,0.47244,0.4572,0.298704,0.295656,0.54864,0.524256,0.585216,0.509016,0,0.003556
15,3/15/1999,5.323567159,NA,NA,0,1.937721812,0,0,1.557426562,4.987163021,0.453069545,3.433700818,0.424752699,NA,5.521785085,2.27,10.1,0.481584,0.47244,0.341376,0.298704,0.374904,0.54864,0.524256,0.585216,0,0.004826
16,3/16/1999,6.597825255,NA,NA,0,2.055236726,0,0.636279543,0.934455937,6.896284819,0.16990108,2.717567767,0.453069545,NA,2.378615114,3.02,12,0.5334,0.481584,0.402336,0.341376,0.3048,0.374904,0.368808,0.524256,0,0.004318
17,3/17/1999,4.162576449,NA,NA,0,2.003416896,0,0.561239899,0.877822244,7.492920776,0.158574341,1.828985121,0.396435852,NA,1.897228722,NA,10.8,0.448056,0.5334,0.384048,0.402336,0.283464,0.3048,0.332232,0.368808,0.000508,0.002032
18,3/18/1999,4.162576449,NA,NA,0,2.006248581,0,0.57030129,0.934455937,6.198840887,0.20671298,1.631899869,0.368119006,NA,1.755644489,NA,6.3,0.460248,0.448056,0.377952,0.384048,0.298704,0.283464,0.32004,0.332232,0.001524,0.002286
19,3/19/1999,4.134259602,NA,NA,0,2.008513929,0,0.575681491,1.047723324,6.101430935,0.257683304,1.831533637,0.396435852,NA,1.699010795,3.53,8.2,0.451104,0.460248,0.417576,0.377952,0.374904,0.298704,0.316992,0.32004,0,0.004318
20,3/20/1999,3.313071051,NA,NA,1.089349088,2.006248581,0,0.575681491,0.849505398,5.182266094,0.235029827,2.133674391,0.424752699,NA,2.152080341,3.23,10.05,0.420624,0.451104,0.41148,0.417576,0.493776,0.374904,0.353568,0.316992,0,0.008636
21,3/21/1999,2.803367812,NA,NA,1.587725588,2.007381255,0,0.575681491,0.821188551,5.38614739,0.12742581,2.187759568,0.424752699,NA,3.058219432,2.46,12,0.405384,0.420624,0.368808,0.41148,0.384048,0.493776,0.41148,0.353568,0,0.00508
22,3/22/1999,2.520199347,NA,NA,0,2.006531749,0,0.575681491,0.792871705,5.715189147,0.130257494,2.002284222,0.509703239,NA,2.010496108,3.37,13.35,0.377952,0.405384,0.387096,0.368808,0.323088,0.384048,0.341376,0.41148,0,0.00635
