locate,point,date,cse,q.in,ec.in,t.in,q.out,ec.out,t.out,di,q.x
UDIV,U12,6/20/2006,4.47,21.52080341,0.524,23.9,16.90515741,0.796,24.2,32.5087488,NA
UDIV,U127,6/20/2006,5.01,21.52080341,0.524,23.9,16.90515741,0.796,24.2,42.53496192,NA
UDIV,U141,6/20/2006,4.62,21.52080341,0.524,23.9,16.90515741,0.796,24.2,23.62516992,NA
UDIV,U161,6/20/2006,4.43,21.52080341,0.524,23.9,16.90515741,0.796,24.2,9.26982144,NA
UDIV,U162,6/20/2006,3.28,21.52080341,0.524,23.9,16.90515741,0.796,24.2,70.74676224,NA
U163,U163,6/20/2006,3.78,21.52080341,0.524,23.9,16.90515741,0.796,24.2,0,NA
UDIV,U164,6/20/2006,3.82,21.52080341,0.524,23.9,16.90515741,0.796,24.2,10.92744576,NA
U167,U167,6/20/2006,4.38,21.52080341,0.524,23.9,16.90515741,0.796,24.2,14.78987136,NA
U201,U201,6/20/2006,5.31,21.52080341,0.524,23.9,16.90515741,0.796,24.2,99.32871168,NA
UDIV,U95,6/20/2006,5.24,21.52080341,0.524,23.9,16.90515741,0.796,24.2,54.37973376,NA
UDIV,U12,5/24/2007,6.16,65.41191562,0.669,13.5,22.54020989,0.996,16.35,32.5087488,NA
UDIV,U127,5/24/2007,6.3,65.41191562,0.669,13.5,22.54020989,0.996,16.35,42.53496192,NA
UDIV,U141,5/24/2007,5.88,65.41191562,0.669,13.5,22.54020989,0.996,16.35,23.62516992,NA
UDIV,U161,5/24/2007,NA,65.41191562,0.669,13.5,22.54020989,0.996,16.35,9.26982144,NA
UDIV,U162,5/24/2007,6.83,65.41191562,0.669,13.5,22.54020989,0.996,16.35,70.74676224,NA
U163,U163,5/24/2007,5.68,65.41191562,0.669,13.5,22.54020989,0.996,16.35,0,NA
UDIV,U164,5/24/2007,5.47,65.41191562,0.669,13.5,22.54020989,0.996,16.35,10.92744576,NA
U167,U167,5/24/2007,5.89,65.41191562,0.669,13.5,22.54020989,0.996,16.35,14.78987136,NA
U201,U201,5/24/2007,7.06,65.41191562,0.669,13.5,22.54020989,0.996,16.35,99.32871168,NA
UDIV,U95,5/24/2007,6.72,65.41191562,0.669,13.5,22.54020989,0.996,16.35,54.37973376,NA
UDIV,U12,10/11/2007,9.02,4.530695454,0.995,15.1,12.14792719,1.29,14.9,32.5087488,NA
UDIV,U127,10/11/2007,10.1,4.530695454,0.995,15.1,12.14792719,1.29,14.9,42.53496192,NA
UDIV,U141,10/11/2007,9.43,4.530695454,0.995,15.1,12.14792719,1.29,14.9,23.62516992,NA
UDIV,U161,10/11/2007,9.5,4.530695454,0.995,15.1,12.14792719,1.29,14.9,9.26982144,NA
UDIV,U162,10/11/2007,7.96,4.530695454,0.995,15.1,12.14792719,1.29,14.9,70.74676224,NA
U163,U163,10/11/2007,9.98,4.530695454,0.995,15.1,12.14792719,1.29,14.9,0,NA
UDIV,U164,10/11/2007,8.46,4.530695454,0.995,15.1,12.14792719,1.29,14.9,10.92744576,NA
U167,U167,10/11/2007,9.74,4.530695454,0.995,15.1,12.14792719,1.29,14.9,14.78987136,NA
U201,U201,10/11/2007,8.36,4.530695454,0.995,15.1,12.14792719,1.29,14.9,99.32871168,NA
UDIV,U95,10/11/2007,8.86,4.530695454,0.995,15.1,12.14792719,1.29,14.9,54.37973376,NA
