"date","cse","q.in","ec.in","t.in","q.out","ec.out","t.out","q.x"
"6/20/2006",9.29,760,0.524,23.9,597,0.796,24.2,6.3
"5/24/2007",8.55,2310,0.669,13.5,796,0.996,16.35,23
"10/11/2007",13.8,160,0.995,15.1,429,1.29,14.9,13
"3/20/2008",14.6,459,0.935,10.3,45,2.78,11.25,14
"6/26/2008",8.54,1530,0.456,21.4,646,0.931,24.25,18
"8/14/2008",9.32,560,0.559,22.5,690,1.05,23.5,32
"1/17/2009",20.3,162,1.5,3.56,122,2.37,4.25,3.7
"5/14/2009",12.2,994,0.692,16.1,473,1.19,17.7,10
"7/22/2009",10.6,639,0.728,22.1,295,1.51,24.1,12
"11/20/2009",21.4,386,1.25,5.77,200,NA,6.25,5.9
"3/20/2010",11.9,317,1.11,5.36,77,2.42,7.1,22
"5/16/2010",13,496,0.892,17.9,314,1.7,17.55,22
"7/20/2010",12.5,334,0.776,25.1,69,2.43,24.8,17
"8/12/2010",10.4,606,0.797,24.5,358,1.38,25.25,27
"11/19/2010",20.7,291,1.25,7.14,129,1.82,7.6,19.2
"3/9/2011",19.5,36.8,1.44,7.35,158,1.59,6.1,4.41
"5/20/2011",12.4,433,0.736,16.4,30,2.62,17.7,12.2
"7/11/2011",7.96,1860,0.402,21.9,526,0.791,24.9,21.8
