"","X","Section","H","Tw","SurveyXS"
"1",1,1,0.1524,29.51841696,1
"2",2,1,0.18288,56.40269136,1
"3",3,1,0.21336,64.32337656,1
"4",4,1,0.24384,65.9878284,1
"5",5,1,0.27432,67.09711752,1
"6",6,1,0.3048,67.83625752,1
"7",7,1,0.33528,68.575428,1
"8",8,1,0.36576,70.49030352,1
"9",9,1,0.39624,75.14856192,1
"10",10,1,0.42672,79.36635384,1
"11",11,1,0.4572,79.59818472,1
"12",12,1,0.48768,79.8300156,1
"13",13,1,0.51816,80.06187696,1
"14",14,1,0.54864,80.29370784,1
"15",15,1,0.57912,80.52553872,1
"16",16,1,0.6096,80.76373992,1
"17",17,1,0.64008,81.05875584,1
"18",18,1,0.67056,81.33624576,1
"19",19,1,0.70104,81.58249368,1
"20",20,1,0.73152,81.8287416,1
"21",21,1,0.762,82.07498952,1
"22",22,1,0.79248,82.32126792,1
"23",23,1,0.82296,82.56751584,1
"24",24,1,0.85344,82.81376376,1
"25",25,1,0.88392,83.06004216,1
"26",26,1,0.9144,83.30629008,1
"27",27,1,0.94488,83.552538,1
"28",28,1,0.97536,83.7988164,1
"29",29,1,1.00584,84.80301048,1
"30",30,1,1.03632,86.31253248,1
"31",31,1,1.0668,87.82205448,1
"32",32,1,1.09728,89.99957616,1
"33",33,1,1.12776,94.84894416,1
"34",34,1,1.15824,99.72830448,1
"35",35,1,1.18872,104.74378848,1
"36",36,1,1.2192,109.75933344,1
"37",37,1,1.24968,114.77484792,1
"38",38,1,1.28016,117.12226512,1
"39",39,1,1.31064,119.89731672,1
"40",40,1,1.34112,132.52393104,1
"41",41,1,1.3716,136.48925712,1
"42",42,1,1.40208,136.7425764,1
"43",43,1,1.43256,136.99589568,1
"44",44,1,1.46304,137.24921496,1
"45",45,1,1.49352,137.50253424,1
"46",46,1,1.524,137.75585352,1
"47",47,2,0.1524,59.59486176,2
"48",48,2,0.18288,59.7315036,2
"49",49,2,0.21336,59.85686784,2
"50",50,2,0.24384,59.96534616,2
"51",51,2,0.27432,60.07382448,2
"52",52,2,0.3048,60.1823028,2
"53",53,2,0.33528,60.27669936,2
"54",54,2,0.36576,60.36951096,2
"55",55,2,0.39624,60.46235304,2
"56",56,2,0.42672,60.5491296,2
"57",57,2,0.4572,60.62176344,2
"58",58,2,0.48768,60.69442776,2
"59",59,2,0.51816,60.7670616,2
"60",60,2,0.54864,60.83969544,2
"61",61,2,0.57912,60.91235976,2
"62",62,2,0.6096,60.9849936,2
"63",63,2,0.64008,61.05762744,2
"64",64,2,0.67056,61.13029176,2
"65",65,2,0.70104,61.2029256,2
"66",66,2,0.73152,61.27543752,2
"67",67,2,0.762,61.34767512,2
"68",68,2,0.79248,61.41991272,2
"69",69,2,0.82296,61.49215032,2
"70",70,2,0.85344,61.56438792,2
"71",71,2,0.88392,61.63662552,2
"72",72,2,0.9144,61.70886312,2
"73",73,2,0.94488,61.78110072,2
"74",74,2,0.97536,61.85333832,2
"75",75,2,1.00584,61.92557592,2
"76",76,2,1.03632,61.99781352,2
"77",77,2,1.0668,62.07005112,2
"78",78,2,1.09728,62.13293136,2
"79",79,2,1.12776,62.18648472,2
"80",80,2,1.15824,62.24003808,2
"81",81,2,1.18872,62.29359144,2
"82",82,2,1.2192,62.34711432,2
"83",83,2,1.24968,62.40054576,2
"84",84,2,1.28016,62.45284944,2
"85",85,2,1.31064,62.50512264,2
"86",86,2,1.34112,62.55742632,2
"87",87,2,1.3716,62.60973,2
"88",88,2,1.40208,62.6620032,2
"89",89,2,1.43256,62.71430688,2
"90",90,2,1.46304,62.76661056,2
"91",91,2,1.49352,62.81888376,2
"92",92,2,1.524,62.87118744,2
"93",93,3,0.1524,24.13442976,3
"94",94,3,0.18288,28.961334,3
"95",95,3,0.21336,41.76372648,3
"96",96,3,0.24384,62.21062488,3
"97",97,3,0.27432,73.66811784,3
"98",98,3,0.3048,74.13083472,3
"99",99,3,0.33528,74.40424032,3
"100",100,3,0.36576,74.60095824,3
"101",101,3,0.39624,74.79767616,3
"102",102,3,0.42672,74.9943636,3
"103",103,3,0.4572,75.19108152,3
"104",104,3,0.48768,75.37938696,3
"105",105,3,0.51816,75.49207152,3
"106",106,3,0.54864,75.60478656,3
"107",107,3,0.57912,75.71747112,3
"108",108,3,0.6096,75.83015568,3
"109",109,3,0.64008,75.94287072,3
"110",110,3,0.67056,76.05723168,3
"111",111,3,0.70104,76.171806,3
"112",112,3,0.73152,76.26696456,3
"113",113,3,0.762,76.31692128,3
"114",114,3,0.79248,76.36684752,3
"115",115,3,0.82296,76.41677376,3
"116",116,3,0.85344,76.4667,3
"117",117,3,0.88392,76.51662624,3
"118",118,3,0.9144,76.56655248,3
"119",119,3,0.94488,76.61647872,3
"120",120,3,0.97536,76.66640496,3
"121",121,3,1.00584,76.7163312,3
"122",122,3,1.03632,76.76625744,3
"123",123,3,1.0668,76.922376,3
"124",124,3,1.09728,77.12397072,3
"125",125,3,1.12776,77.32559592,3
"126",126,3,1.15824,77.52719064,3
"127",127,3,1.18872,77.64179544,3
"128",128,3,1.2192,77.71909272,3
"129",129,3,1.24968,77.79642048,3
"130",130,3,1.28016,77.87371776,3
"131",131,3,1.31064,77.95101504,3
"132",132,3,1.34112,78.02831232,3
"133",133,3,1.3716,78.1056096,3
"134",134,3,1.40208,78.18095616,3
"135",135,3,1.43256,78.23630784,3
"136",136,3,1.46304,78.31586064,3
"137",137,3,1.49352,78.38331288,3
"138",138,3,1.524,78.45076512,3
"139",139,4,0.1524,64.14293496,4
"140",140,4,0.18288,64.19929248,4
"141",141,4,0.21336,64.25565,4
"142",142,4,0.24384,64.31200752,4
"143",143,4,0.27432,64.36836504,4
"144",144,4,0.3048,64.42472256,4
"145",145,4,0.33528,64.48108008,4
"146",146,4,0.36576,64.5374376,4
"147",147,4,0.39624,64.59379512,4
"148",148,4,0.42672,64.65015264,4
"149",149,4,0.4572,64.87491216,4
"150",150,4,0.48768,65.19943272,4
"151",151,4,0.51816,65.52700128,4
"152",152,4,0.54864,65.85460032,4
"153",153,4,0.57912,66.18219936,4
"154",154,4,0.6096,66.50976792,4
"155",155,4,0.64008,66.83736696,4
"156",156,4,0.67056,67.16493552,4
"157",157,4,0.70104,67.49253456,4
"158",158,4,0.73152,67.82010312,4
"159",159,4,0.762,68.14770216,4
"160",160,4,0.79248,68.4753012,4
"161",161,4,0.82296,68.80286976,4
"162",162,4,0.85344,69.1304688,4
"163",163,4,0.88392,69.24867024,4
"164",164,4,0.9144,69.34361544,4
"165",165,4,0.94488,69.43856064,4
"166",166,4,0.97536,69.53353632,4
"167",167,4,1.00584,69.62848152,4
"168",168,4,1.03632,69.72342672,4
"169",169,4,1.0668,69.81837192,4
"170",170,4,1.09728,69.91331712,4
"171",171,4,1.12776,70.00826232,4
"172",172,4,1.15824,70.10320752,4
"173",173,4,1.18872,70.19815272,4
"174",174,4,1.2192,70.2931284,4
"175",175,4,1.24968,70.3880736,4
"176",176,4,1.28016,70.5256908,4
"177",177,4,1.31064,70.69177632,4
"178",178,4,1.34112,70.85783136,4
"179",179,4,1.3716,71.02391688,4
"180",180,4,1.40208,71.1900024,4
"181",181,4,1.43256,71.35605744,4
"182",182,4,1.46304,71.52214296,4
"183",183,4,1.49352,71.68822848,4
"184",184,4,1.524,71.85428352,4
"185",185,5,0.1524,9.07218912,5
"186",186,5,0.18288,10.88663304,5
"187",187,5,0.21336,12.70104648,5
"188",188,5,0.24384,14.5154904,5
"189",189,5,0.27432,16.32993432,5
