Reach,Section,Name,Tw,H
A,1,USS1,27.6281,0
A,1,USS1,55.4516,0.1
A,1,USS1,83.275,0.2
A,1,USS1,94.2869,0.3
A,1,USS1,97.8505,0.4
A,1,USS1,186.031,0.5
A,1,USS1,212.2306,0.6
A,1,USS1,217.6458,0.7
A,1,USS1,221.259,0.8
A,1,USS1,223.6353,0.9
A,1,USS1,226.0116,1
A,1,USS1,232.155,1.1
A,1,USS1,247.3894,1.2
A,1,USS1,261.2666,1.3
A,1,USS1,261.9067,1.4
A,1,USS1,262.5468,1.5
A,1,USS1,263.1868,1.6
A,1,USS1,263.8268,1.7
A,1,USS1,264.4668,1.8
A,1,USS1,265.1069,1.9
A,1,USS1,265.9567,2
A,1,USS1,266.8103,2.1
A,1,USS1,267.6207,2.2
A,1,USS1,268.4311,2.3
A,1,USS1,269.2415,2.4
A,1,USS1,270.0519,2.5
A,1,USS1,270.8623,2.6
A,1,USS1,271.6726,2.7
A,1,USS1,272.4831,2.8
A,1,USS1,273.2934,2.9
A,1,USS1,274.1037,3
A,1,USS1,274.9142,3.1
A,1,USS1,278.1804,3.2
A,1,USS1,283.1325,3.3
A,1,USS1,288.0844,3.4
A,2,USS2,32.6616,0
A,2,USS2,65.3231,0.1
A,2,USS2,97.9847,0.2
A,2,USS2,130.6463,0.3
A,2,USS2,195.5212,0.4
A,2,USS2,195.9695,0.5
A,2,USS2,196.3808,0.6
A,2,USS2,196.7367,0.7
A,2,USS2,197.0926,0.8
A,2,USS2,197.4485,0.9
A,2,USS2,197.7582,1
A,2,USS2,198.0627,1.1
A,2,USS2,198.3673,1.2
A,2,USS2,198.652,1.3
A,2,USS2,198.8903,1.4
A,2,USS2,199.1287,1.5
A,2,USS2,199.367,1.6
A,2,USS2,199.6053,1.7
A,2,USS2,199.8437,1.8
A,2,USS2,200.082,1.9
A,2,USS2,200.3203,2
A,2,USS2,200.5587,2.1
A,2,USS2,200.797,2.2
A,2,USS2,201.0349,2.3
A,2,USS2,201.2719,2.4
A,2,USS2,201.5089,2.5
A,2,USS2,201.7459,2.6
A,2,USS2,201.9829,2.7
A,2,USS2,202.2199,2.8
A,2,USS2,202.4569,2.9
A,2,USS2,202.6939,3
