Section,H,Tw
1,0.5,96.8452
1,0.6,185.0482
1,0.7,211.0347
1,0.8,216.4955
1,0.9,220.1349
1,1,222.5599
1,1.1,224.985
1,1.2,231.2674
1,1.3,246.5504
1,1.4,260.3883
1,1.5,261.1489
1,1.6,261.9095
1,1.7,262.6702
1,1.8,263.4308
1,1.9,264.1914
1,2,264.9729
1,2.1,265.9408
1,2.2,266.8512
1,2.3,267.6591
1,2.4,268.467
1,2.5,269.2749
1,2.6,270.0829
1,2.7,270.8908
1,2.8,271.6987
1,2.9,272.5067
1,3,273.3146
1,3.1,274.1225
1,3.2,274.9305
1,3.3,278.2251
1,3.4,283.1776
1,3.5,288.1301
1,3.6,295.2742
1,3.7,311.1842
1,3.8,327.1926
1,3.9,343.6476
1,4,360.1028
1,4.1,376.5579
1,4.2,384.2594
1,4.3,393.3639
1,4.4,434.7898
1,4.5,447.7994
1,4.6,448.6305
1,4.7,449.4616
1,4.8,450.2927
1,4.9,451.1238
1,5,451.9549
2,0.5,195.5212
2,0.6,195.9695
2,0.7,196.3808
2,0.8,196.7367
2,0.9,197.0926
2,1,197.4485
2,1.1,197.7582
2,1.2,198.0627
2,1.3,198.3673
2,1.4,198.652
2,1.5,198.8903
2,1.6,199.1287
2,1.7,199.367
2,1.8,199.6053
2,1.9,199.8437
2,2,200.082
2,2.1,200.3203
2,2.2,200.5587
2,2.3,200.797
2,2.4,201.0349
2,2.5,201.2719
2,2.6,201.5089
2,2.7,201.7459
2,2.8,201.9829
2,2.9,202.2199
2,3,202.4569
2,3.1,202.6939
2,3.2,202.9309
2,3.3,203.1679
2,3.4,203.4049
2,3.5,203.6419
2,3.6,203.8482
2,3.7,204.0239
2,3.8,204.1996
2,3.9,204.3753
2,4,204.5509
2,4.1,204.7262
2,4.2,204.8978
2,4.3,205.0693
2,4.4,205.2409
2,4.5,205.4125
2,4.6,205.584
2,4.7,205.7556
2,4.8,205.9272
2,4.9,206.0987
2,5,206.2703
3,0.5,79.1812
3,0.6,95.0175
3,0.7,137.0201
3,0.8,204.1031
3,0.9,241.6933
3,1,243.2114
3,1.1,244.1084
3,1.2,244.7538
3,1.3,245.3992
3,1.4,246.0445
3,1.5,246.6899
3,1.6,247.3077
3,1.7,247.6774
3,1.8,248.0472
3,1.9,248.4169
3,2,248.7866
3,2.1,249.1564
3,2.2,249.5316
3,2.3,249.9075
3,2.4,250.2197
3,2.5,250.3836
3,2.6,250.5474
3,2.7,250.7112
3,2.8,250.875
3,2.9,251.0388
3,3,251.2026
3,3.1,251.3664
3,3.2,251.5302
3,3.3,251.694
3,3.4,251.8578
3,3.5,252.37
3,3.6,253.0314
3,3.7,253.6929
3,3.8,254.3543
3,3.9,254.7303
3,4,254.9839
3,4.1,255.2376
3,4.2,255.4912
3,4.3,255.7448
3,4.4,255.9984
3,4.5,256.252
3,4.6,256.4992
3,4.7,256.6808
3,4.8,256.9418
3,4.9,257.1631
3,5,257.3844
4,0.5,210.4427
4,0.6,210.6276
4,0.7,210.8125
4,0.8,210.9974
4,0.9,211.1823
4,1,211.3672
4,1.1,211.5521
4,1.2,211.737
4,1.3,211.9219
4,1.4,212.1068
4,1.5,212.8442
4,1.6,213.9089
4,1.7,214.9836
4,1.8,216.0584
4,1.9,217.1332
4,2,218.2079
4,2.1,219.2827
4,2.2,220.3574
4,2.3,221.4322
4,2.4,222.5069
4,2.5,223.5817
4,2.6,224.6565
4,2.7,225.7312
4,2.8,226.806
4,2.9,227.1938
4,3,227.5053
4,3.1,227.8168
4,3.2,228.1284
4,3.3,228.4399
4,3.4,228.7514
4,3.5,229.0629
4,3.6,229.3744
4,3.7,229.6859
4,3.8,229.9974
4,3.9,230.3089
4,4,230.6205
4,4.1,230.932
4,4.2,231.3835
4,4.3,231.9284
4,4.4,232.4732
4,4.5,233.0181
4,4.6,233.563
4,4.7,234.1078
4,4.8,234.6527
4,4.9,235.1976
4,5,235.7424
5,0.5,29.7644
5,0.6,35.7173
5,0.7,41.6701
5,0.8,47.623
5,0.9,53.5759
5,1,59.5288
5,1.1,65.4816
5,1.2,71.4345
5,1.3,77.3874
5,1.4,83.3403
5,1.5,87.1938
5,1.6,90.5225
5,1.7,93.8512
5,1.8,97.18
5,1.9,100.5087
5,2,103.8374
5,2.1,107.1661
5,2.2,110.4948
5,2.3,113.8235
5,2.4,117.5418
5,2.5,123.1243
5,2.6,128.8707
5,2.7,134.6171
5,2.8,140.3635
5,2.9,146.1099
5,3,151.8562
5,3.1,157.6026
5,3.2,163.349
5,3.3,169.0954
5,3.4,174.8417
5,3.5,180.5881
5,3.6,186.3345
5,3.7,193.2672
5,3.8,211.1613
5,3.9,213.7968
5,4,216.4324
5,4.1,219.0679
5,4.2,221.7034
5,4.3,224.3389
5,4.4,226.9745
5,4.5,229.61
5,4.6,232.2455
5,4.7,234.8811
5,4.8,236.4766
5,4.9,237.8121
5,5,239.1477
6,0.5,150.9209
6,0.6,204.4545
6,0.7,204.7561
6,0.8,205.0576
6,0.9,205.3592
6,1,205.6112
6,1.1,205.8509
6,1.2,206.0259
6,1.3,206.1731
6,1.4,206.3203
6,1.5,206.4676
6,1.6,206.6148
6,1.7,206.762
6,1.8,206.9092
6,1.9,207.0564
6,2,207.2036
6,2.1,207.3508
6,2.2,207.4981
6,2.3,207.6453
6,2.4,207.7925
6,2.5,207.9397
6,2.6,208.0869
6,2.7,208.2341
6,2.8,208.3813
6,2.9,208.5285
6,3,208.6758
6,3.1,208.823
6,3.2,208.9702
6,3.3,209.1174
6,3.4,209.2646
6,3.5,209.4118
6,3.6,209.559
6,3.7,209.7063
6,3.8,209.8535
6,3.9,210.0007
6,4,210.1479
6,4.1,210.2951
6,4.2,210.4492
6,4.3,210.6191
6,4.4,210.7891
6,4.5,210.959
6,4.6,211.129
6,4.7,211.299
6,4.8,211.4689
6,4.9,211.6389
6,5,211.8088
7,0.5,26.1435
7,0.6,31.3722
7,0.7,36.6009
7,0.8,41.8296
7,0.9,47.0583
7,1,52.2588
7,1.1,57.431
7,1.2,63.5806
7,1.3,71.5558
7,1.4,83.5375
7,1.5,91.1857
7,1.6,97.7507
7,1.7,103.5615
7,1.8,107.6127
7,1.9,111.6639
7,2,115.7153
7,2.1,119.7665
7,2.2,123.8177
7,2.3,127.8689
7,2.4,131.9201
7,2.5,136.1699
7,2.6,140.5521
7,2.7,144.9342
7,2.8,149.3164
7,2.9,154.0551
7,3,159.1503
7,3.1,164.2456
7,3.2,169.3408
7,3.3,174.4361
7,3.4,179.4792
7,3.5,184.444
7,3.6,189.0551
7,3.7,191.1447
7,3.8,192.7603
7,3.9,194.3759
7,4,195.9915
7,4.1,197.6071
7,4.2,199.2226
7,4.3,200.8382
7,4.4,202.4538
7,4.5,204.0694
7,4.6,205.6849
7,4.7,207.3005
7,4.8,208.9161
7,4.9,210.5317
7,5,212.1472
10,0.5,74.4716
10,0.6,97.4743
10,0.7,120.477
10,0.8,139.9651
10,0.9,147.4149
10,1,150.6765
10,1.1,153.6522
10,1.2,156.6279
10,1.3,159.6037
10,1.4,162.5794
10,1.5,165.5551
10,1.6,168.5308
10,1.7,171.5066
10,1.8,174.4823
10,1.9,177.4581
10,2,200.8126
10,2.1,203.8324
10,2.2,206.8521
10,2.3,209.8719
10,2.4,212.8916
10,2.5,215.9113
10,2.6,218.931
10,2.7,221.9508
10,2.8,224.9705
10,2.9,227.9902
10,3,231.0099
10,3.1,234.0297
10,3.2,236.9677
10,3.3,239.8514
10,3.4,242.735
10,3.5,245.6187
10,3.6,248.5023
10,3.7,251.386
10,3.8,254.2696
10,3.9,256.3494
10,4,256.5535
10,4.1,256.7577
10,4.2,256.9618
10,4.3,257.1659
10,4.4,257.3701
10,4.5,257.5742
10,4.6,257.7783
10,4.7,257.9825
10,4.8,258.1866
10,4.9,258.3907
10,5,258.5949
11,0.5,118.3497
11,0.6,138.4644
11,0.7,158.5792
11,0.8,176.8997
11,0.9,179.0721
11,1,181.2445
11,1.1,183.4169
11,1.2,208.1806
11,1.3,228.9948
11,1.4,229.3616
11,1.5,229.7284
11,1.6,230.0952
11,1.7,230.462
11,1.8,230.8287
11,1.9,231.1577
11,2,231.3352
11,2.1,231.5127
11,2.2,231.6902
11,2.3,231.8677
11,2.4,232.0452
11,2.5,232.2227
11,2.6,232.4002
11,2.7,232.5777
11,2.8,232.7552
11,2.9,232.9874
11,3,233.3017
11,3.1,233.6159
11,3.2,233.9301
11,3.3,234.2443
11,3.4,234.518
11,3.5,234.7744
11,3.6,235.0307
11,3.7,235.2871
11,3.8,235.5434
11,3.9,235.7998
11,4,236.0561
11,4.1,236.3125
11,4.2,236.5688
11,4.3,236.8252
11,4.4,237.0815
11,4.5,237.3379
11,4.6,237.5942
11,4.7,237.8506
11,4.8,238.1069
11,4.9,238.3633
11,5,238.6196
12,0.5,274.8525
12,0.6,275.704
12,0.7,276.5556
12,0.8,277.4072
12,0.9,277.853
12,1,278.0834
12,1.1,278.3138
12,1.2,278.5442
12,1.3,278.7747
12,1.4,279.0051
12,1.5,279.2355
12,1.6,279.4659
12,1.7,279.6963
12,1.8,279.9267
12,1.9,280.1417
12,2,280.3465
12,2.1,280.5512
12,2.2,280.756
12,2.3,281.02
12,2.4,281.3729
12,2.5,281.7258
12,2.6,282.0787
12,2.7,282.4316
12,2.8,282.7845
12,2.9,283.1374
12,3,283.4903
12,3.1,283.8432
12,3.2,284.1961
12,3.3,284.549
12,3.4,284.9019
12,3.5,285.2548
12,3.6,285.6077
12,3.7,285.9606
12,3.8,286.3135
12,3.9,286.6664
12,4,287.0193
12,4.1,287.3723
12,4.2,287.7252
12,4.3,288.0781
12,4.4,288.431
12,4.5,289.1101
12,4.6,290.2786
12,4.7,291.4471
12,4.8,292.6156
12,4.9,293.7841
12,5,294.9526
13,1.1,92.7413
13,1.2,187.5743
13,1.3,197.5515
13,1.4,198.1002
13,1.5,198.6489
13,1.6,199.1976
13,1.7,199.7463
13,1.8,200.171
13,1.9,200.3062
13,2,200.4414
13,2.1,200.5767
13,2.2,200.7119
13,2.3,200.8471
13,2.4,200.9824
13,2.5,201.1283
13,2.6,201.2813
13,2.7,201.4343
13,2.8,201.5872
13,2.9,201.7402
13,3,201.8932
13,3.1,202.0462
13,3.2,202.1992
13,3.3,202.3522
13,3.4,202.5052
13,3.5,202.6582
13,3.6,202.8112
13,3.7,202.9642
13,3.8,203.1171
13,3.9,203.2701
13,4,203.4231
13,4.1,203.5761
13,4.2,203.7291
13,4.3,203.8821
13,4.4,204.0351
13,4.5,204.1881
13,4.6,204.3411
13,4.7,204.4941
13,4.8,204.6471
13,4.9,204.8
13,5,204.9797
14,0.5,52.831
14,0.6,68.617
14,0.7,81.9244
14,0.8,91.5139
14,0.9,101.1033
14,1,110.6928
14,1.1,120.2823
14,1.2,129.8717
14,1.3,139.4612
14,1.4,149.0507
14,1.5,158.6402
14,1.6,167.9423
14,1.7,176.9572
14,1.8,184.2375
14,1.9,188.2717
14,2,192.3061
14,2.1,196.3404
14,2.2,200.3746
14,2.3,204.409
14,2.4,208.4432
14,2.5,212.4775
14,2.6,216.5119
14,2.7,220.5461
14,2.8,224.5804
14,2.9,228.6148
14,3,232.649
14,3.1,236.6834
14,3.2,240.7177
14,3.3,244.7519
14,3.4,248.7863
14,3.5,252.796
14,3.6,256.8306
14,3.7,260.9743
14,3.8,265.1181
14,3.9,269.262
14,4,273.4058
14,4.1,275.6144
14,4.2,275.8878
14,4.3,276.1612
14,4.4,276.4345
14,4.5,276.7079
14,4.6,276.9813
14,4.7,277.2547
14,4.8,277.528
14,4.9,277.8014
14,5,278.0748
16,0.5,26.0654
16,0.6,29.6577
16,0.7,33.2501
16,0.8,36.8424
16,0.9,41.4984
16,1,47.8133
16,1.1,54.1283
16,1.2,60.4433
16,1.3,66.7582
16,1.4,72.8886
16,1.5,78.2806
16,1.6,83.6726
16,1.7,89.0646
16,1.8,94.4566
16,1.9,102.6929
16,2,110.9292
16,2.1,119.1655
16,2.2,127.4018
16,2.3,135.6381
16,2.4,140.3827
16,2.5,144.7394
16,2.6,149.0961
16,2.7,153.4527
16,2.8,157.8094
16,2.9,162.1661
16,3,163.3166
16,3.1,164.4671
16,3.2,165.6176
16,3.3,166.768
16,3.4,167.9185
16,3.5,168.6212
16,3.6,169.2742
16,3.7,169.9271
16,3.8,170.58
16,3.9,171.233
16,4,171.8859
16,4.1,172.5389
16,4.2,173.1918
16,4.3,173.8447
16,4.4,174.4977
16,4.5,175.1506
16,4.6,175.8035
16,4.7,176.4565
16,4.8,177.1094
16,4.9,177.7624
16,5,178.4153
17,0.5,26.4291
17,0.6,31.7149
17,0.7,37.0007
17,0.8,42.2866
17,0.9,48.598
17,1,56.448
17,1.1,64.298
17,1.2,72.148
17,1.3,79.998
17,1.4,89.6039
17,1.5,99.2098
17,1.6,108.1251
17,1.7,111.111
17,1.8,114.5112
17,1.9,117.9113
17,2,121.3114
17,2.1,124.7116
17,2.2,128.1117
17,2.3,131.5118
17,2.4,134.9072
17,2.5,138.6529
17,2.6,140.8886
17,2.7,141.9612
17,2.8,143.0337
17,2.9,144.1063
17,3,145.1789
17,3.1,146.2515
