Date,q.WTP.MGD,cse,ec.in,ec.out,q.WTP,q.in,q.out,t.in,t.out
1/3/2006,1.39,16,1.25,2.29,2.150647826,286,90,5.37,6.5
2/7/2006,1.48,16,1.44,2.34,2.289898405,101,70,4.56,5.35
3/7/2006,1.56,13,NA,2.27,2.413676697,193,75,10.5,11.9
4/4/2006,2.17,17,1.07,2.85,3.357486175,220,15,12.1,14.1
5/2/2006,2.47,19,0.86,2.93,3.82165477,180,17,18.6,20
6/6/2006,2.85,25,NA,0.88,4.409601658,1650,741,22.4,24.8
7/11/2006,1.9,17,0.697,0.951,2.939734439,3610,880,22.7,25.45
8/8/2006,2.49,25,0.942,1.8,3.852599343,168,113,26.4,27.2
9/5/2006,1.73,16,0.967,1.24,2.676705568,358,488,20.6,19.7
10/3/2006,1.76,21,0.955,1.8,2.723122428,261,174,17,17.6
11/7/2006,1.45,15,0.975,2.3,2.243481545,560,73,10.2,11.65
1/16/2007,1.45,16,1.38,2.27,2.243481545,332,95,NA,0
2/6/2007,1.51,16,1.38,2.18,2.336315265,190,138,0.504,3.25
3/6/2007,1.47,26,1.19,2.42,2.274426118,352,175,8.12,8.9
4/4/2007,1.63,23,0.958,3.01,2.521982703,146,35,11.5,11.5
5/8/2007,3,19,0.608,2.83,4.641685956,1380,40,14.7,17.2
5/15/2007,1.79,22,0.722,NA,2.769539287,1390,226,17.1,18.95
5/22/2007,1.93,25,0.671,1.02,2.986151298,1650,716,16.5,19.8
5/29/2007,1.83,20,0.721,1.07,2.831428433,1800,1040,19.5,21.55
6/5/2007,2.01,23,0.625,0.995,3.109929591,2000,802,18.8,21.25
6/12/2007,1.84,23,0.616,0.978,2.84690072,1200,633,20.5,22.45
6/19/2007,2.07,27,0.577,1,3.20276331,1730,636,21.5,23.8
6/26/2007,2.06,29,0.579,1.05,3.187291023,1520,559,23.1,25.5
7/3/2007,2.37,26,0.687,1.29,3.666931905,926,408,24.5,24.7
7/10/2007,2.13,30,0.641,1.21,3.295597029,835,441,22.9,23.95
7/17/2007,2.54,31,0.738,1.44,3.929960776,326,310,25.4,25.15
7/24/2007,2.67,33,0.71,1.21,4.131100501,596,289,25.9,27.05
7/31/2007,2.64,29,0.664,1.1,4.084683641,851,367,25.5,26.1
8/7/2007,2.16,31,0.64,1.15,3.342013888,1600,380,24.2,25.55
8/14/2007,2.6,34,0.739,1.04,4.022794495,646,572,26,26.95
8/21/2007,2.44,28,0.721,0.953,3.775237911,961,442,25.6,25.9
8/28/2007,3.43,21,0.783,1.23,5.306994276,487,418,24.2,24.3
9/4/2007,2.67,25,0.818,1.4,4.131100501,391,358,23,23.05
9/11/2007,2.03,24,NA,1.5,3.140874164,242,286,17.8,17.75
9/18/2007,1.92,24,0.967,1.89,2.970679012,171,121,19.1,19.95
10/2/2007,1.96,27,1.11,2.29,3.032568158,73,62,16.4,18.55
11/6/2007,1.47,23,1.04,2.21,2.274426118,248,79,7.79,9.1
12/6/2007,1.38,21,1.31,2.16,2.13517554,289,163,6.89,7.2
1/8/2008,1.47,16,1.26,2.27,2.274426118,337,135,1.52,2.5
2/5/2008,1.53,11,1.42,2.23,2.367259838,105,140,0.969,2.15
3/4/2008,1.5,19,1.27,2.32,2.320842978,253,114,6.12,6.9
4/1/2008,1.8,19,NA,2.71,2.785011574,334,35,8.92,10.2
5/6/2008,2.54,33,0.876,NA,3.929960776,195,162,18.7,17.9
5/20/2008,2.63,23,0.71,1.36,4.069211355,742,475,20.3,21.2
6/3/2008,2.83,21,0.584,0.971,4.378657085,1260,574,17.8,21.7
7/1/2008,3.13,22,0.408,0.772,4.842825681,1840,629,21.3,24
8/4/2008,2.45,21,NA,1.19,3.790710197,677,295,25.2,26.2
9/2/2008,2.29,21,0.767,1.65,3.543153613,108,274,17.5,20.45
10/1/2008,2.01,16,1.12,2.38,3.109929591,70,56,14.3,17.55
11/4/2008,1.37,17,1.09,2.5,2.119703253,162,45,10.8,12.35
12/2/2008,1.35,16,1.29,2.23,2.08875868,356,172,5.4,5.15
1/6/2009,1.26,16,1.24,2.36,1.949508102,358,127,1.19,2.85
2/3/2009,1.34,15,1.49,2.38,2.073286394,133,106,3.61,4.75
3/3/2009,1.67,15,1.63,2.13,2.583871849,55,169,9.44,9.25
4/1/2009,1.43,16,1.12,2.01,2.212536972,199,81,8.96,9.35
5/5/2009,2.03,19,0.739,1.38,3.140874164,760,319,16.7,18.7
6/2/2009,1.78,18,0.611,0.95,2.754067001,1620,722,16.5,18.45
7/7/2009,2.59,23,0.609,0.966,4.007322209,977,577,21.7,22.55
8/4/2009,2.29,21,0.885,1.26,3.543153613,477,388,23.5,24.35
9/1/2009,2.5,23,0.916,2.12,3.86807163,271,62,21.4,22.4
10/6/2009,2.05,17,1.23,2.15,3.171818737,22,69,12.5,14.5
11/10/2009,1.32,14,0.99,2.38,2.042341821,483,62,9.06,10.2
12/8/2009,1.83,18,1.3,2.33,2.831428433,362,145,NA,0
1/5/2010,1.22,17,1.23,NA,1.887618955,409,133,2.28,3.4
2/9/2010,1.36,16,NA,2.34,2.104230967,184,130,2.27,2.9
3/2/2010,1.39,18,1.4,2.18,2.150647826,139,135,6.87,6.5
4/6/2010,1.66,21,0.903,2.24,2.568399562,606,109,11,12.55
5/4/2010,2.21,20,NA,NA,3.419375321,672,520,16.2,16.45
6/1/2010,2.48,23,NA,0.979,3.837127057,2200,555,17.5,20.65
7/6/2010,2.54,22,0.589,1.38,3.929960776,558,308,23,23.5
8/3/2010,1.94,17,0.646,1.39,3.001623585,711,238,24.8,26.35
9/7/2010,2.44,20,0.831,2.7,3.775237911,213,33,18.8,18.6
10/5/2010,2.3,20,1.36,2.72,3.5586259,122,50,17.3,18.65
11/2/2010,1.4,16,NA,2.7,2.166120113,148,35,9.86,11.65
12/7/2010,1.7,17,1.26,2.34,2.630288708,307,121,4.83,5.1
1/4/2011,1.35,15,1.26,NA,2.08875868,365,119,0.123,1.3
2/1/2011,1.29,16,1.71,2.44,1.995924961,46,80,NA,0.6
3/1/2011,1.39,17,1.53,2.16,2.150647826,42,97,7.97,8.4
4/5/2011,1.51,15,1.09,2.87,2.336315265,118,25,13,13.15
5/3/2011,1.94,23,0.981,2.64,3.001623585,264,32,13.5,14.15
6/7/2011,2.65,20,0.561,0.933,4.100155928,1430,559,18.5,21.9
7/12/2011,2.7,18,NA,0.836,4.17751736,1840,439,21.6,25.35
8/2/2011,2.53,17,NA,1.32,3.91448849,551,260,24.8,25.6
9/6/2011,2.38,21,0.777,1.93,3.682404192,491,66,20.5,17.85
