"","DATE","q.in","ec.in","t.in","q.HOL","q.RFD","q.FLS","q.RFR","q.TIM","q.FLY","q.CAN","q.CON","q.HRC","q.WTP","q.out","ec.out","t.out","da.0","dc.0","dd.0","de.0","p","et","RHmin","u2","se.CAT","se.HOL","se.RFD","se.FLS","se.TIM","se.FLY","se.CAN","se.LAS"
"236","5/24/2007",65.41191562,0.669,13.5,7.373140515,1.441893828,5.210299773,0.739069696,4.643962841,19.13454275,0.651287472,1.937721812,0.792871705,0.073605229,22.54020989,0.996,16.35,1.261872,0.832104,1.231392,1.002792,0,0.006096,38,2.462191358,5.68,5.47,5.89,5.88,8.55,6.3,7.84,7.06
"376","10/11/2007",4.530695454,0.995,15.1,0,1.633032543,0,0.748980592,1.897228722,4.564392502,0.368119006,1.928094084,0.101940648,0.084996515,12.14792719,1.29,14.9,0.307848,0.25908,0.591312,0.752856,0,0.004826,18.33333333,1.054012346,9.98,8.46,9.74,9.43,13.8,10.1,10.9,8.36
"539","3/22/2008",9.118024602,NA,9.17,0,0.760024162,0,0.359623952,1.557426562,12.08987765,0.396435852,1.400268064,0.509703239,0.071852724,1.359208636,2.71,9.6,0.4572,0.316992,0.143256,0.283464,0.000592667,0.002878667,28.7,2.782021605,10.4,10.2,11,11.8,14.6,13.4,12.6,14
"635","6/26/2008",43.32477528,0.456,21.4,4.327097327,1.604432528,0,0.757758815,2.463565653,29.77997805,0.509703239,3.46824737,0.481386392,0.132752288,18.2926829,0.931,24.25,1.027176,0.789432,0.935736,0.908304,0,0.010583333,9.566666667,1.6875,NA,3.63,3.87,3.76,8.54,3.84,8.98,5.18
"684","8/14/2008",15.85743409,NA,22.5,4.458487496,1.581495882,0,0.750962772,3.171486818,10.28751037,0.906139091,1.38809182,0.135920864,0.083682135,19.53862415,1.05,23.5,0.591312,0.515112,0.832104,0.935736,0.007366,0.002286,37.36666667,2.312114198,5.55,4.28,5.24,5.01,9.32,5.18,19.6,6.42
"840","1/17/2009",4.587329148,1.5,3.56,0,0,4.105942756,0,0.481386392,0,0.104772332,0,0.116099071,0.05783268,3.454655284,2.37,4.25,0.341376,0.085344,0.219456,0.432816,0,0.005588,12.5,1.961419753,16.9,13.9,13.3,14.2,20.3,16.1,14.6,12.4
"957","5/14/2009",28.14694551,NA,16.1,4.526447927,1.50249188,0,0.748131087,1.783961335,4.696632175,0.283168466,2.303858639,0.396435852,0.099454685,13.39386844,1.19,17.7,0.816864,0.475488,0.73152,0.786384,0,0.008382,14.8,4.119984568,7.54,7.17,8.1,7.57,12.2,7.86,10.2,9.16
"1026","7/22/2009",18.09446497,0.728,22.1,4.602337076,1.514101787,0,0.746432076,1.925545568,8.131465667,0.339802159,2.393056705,0.152910972,0.100769064,8.353469744,1.51,24.1,0.64008,0.368808,0.56388,0.637032,0,0.009228667,25.26666667,1.120756173,NA,5.58,7.31,6.4,10.6,5.31,9.37,7.83
"1147","11/20/2009",10.93030278,1.25,5.77,0,0,11.38337233,0,0.877822244,0,0.167069395,0,0.198217926,0.055203922,5.663369318,NA,6.25,0.527304,0.109728,0.371856,0.527304,0,0.00127,26,1.422067901,13.8,11.4,11.7,12.6,21.4,15.6,13.4,12
"1266","3/19/2010",8.381786591,1.08,6.59,0,0.949747035,0,0.352827909,3.313071051,10.92322357,0.594653778,1.760458353,0.424752699,0.05783268,2.237030881,2.54,6.15,0.469392,0.298704,0.222504,0.359664,0.000508,0.002878667,64.86666667,4.228780864,10.4,10.6,NA,11.4,11.9,11,11,12.5
"1324","5/16/2010",14.04515591,0.892,17.9,4.410348856,1.44529185,0,0.738786528,1.982179261,8.421713344,0.622970625,1.565638448,0.594653778,0.076672114,8.891489829,1.7,17.55,0.585216,0.371856,0.536448,0.65532,0.000169333,0.007027333,21.7,1.705246914,7.78,9.22,9.8,6.88,13,8.62,9.97,9.16
"1389","7/20/2010",9.457826761,0.776,25.1,4.558445964,1.461715621,0,0.744733065,4.162576449,8.054160676,0.481386392,2.350298267,0.538020085,0.101645316,1.953862415,2.43,24.8,0.466344,0.173736,0.280416,0.338328,0,0.006942667,40.86666667,2.435185185,5.71,6.83,8.24,8.81,12.5,7.89,9.79,12
"1412","8/12/2010",17.16000903,0.797,24.5,0,1.462565126,0,0.738220191,3.143169971,17.19398925,0.764554858,1.497961185,0.651287472,0.107340959,10.13743108,1.38,25.25,0.618744,0.4572,0.54864,0.694944,8.47e-05,0.00762,21.7,1.438657407,5.36,5.65,6.92,6.72,10.4,7.49,7.75,7.9
