"","vName","Mod","Mean","dMean"
"1","qin","+10%",0.0452,-18.6
"2","qin","-10%",0.0659,18.6
"3","ecin","+10%",0.0556,0
"4","ecin","-10%",0.0556,0
"5","tin","+5C",0.0556,0
"6","tin","-5C",0.0556,0
"7","qout","+10%",0.0648,16.7
"8","qout","-10%",0.0463,-16.7
"9","ecout","+10%",0.0556,0
"10","ecout","-10%",0.0556,0
"11","tout","+5C",0.0556,0
"12","tout","-5C",0.0556,0
"13","qHOL","+20%",0.0587,5.63
"14","qHOL","-20%",0.0524,-5.63
"15","qRFD","+20%",0.0573,3.13
"16","qRFD","-20%",0.0538,-3.13
"17","qFLS","+20%",0.0568,2.14
"18","qFLS","-20%",0.0544,-2.14
"19","qRFR","+20%",0.0548,-1.46
"20","qRFR","-20%",0.0564,1.48
"21","qTIM","+15%",0.0537,-3.44
"22","qTIM","-15%",0.0575,3.44
"23","qFLY","+20%",0.072,29.6
"24","qFLY","-20%",0.0391,-29.6
"25","qCAN","+15%",0.0548,-1.4
"26","qCAN","-15%",0.0564,1.42
"27","qCON","+20%",0.0582,4.77
"28","qCON","-20%",0.0529,-4.77
"29","qHRC","+20%",0.0548,-1.33
"30","qHRC","-20%",0.0563,1.33
"31","qWTP","+15%",0.0553,-0.45
"32","qWTP","-15%",0.0558,0.45
"33","p","+25%",0.0556,0
"34","p","-25%",0.0556,0
"35","et","+0.98mm",0.0556,0
"36","et","-0.98mm",0.0556,0
"37","u2","+0.5mps",0.0556,0
"38","u2","-0.5mps",0.0556,0
"39","RHmin","+2%",0.0556,0
"40","RHmin","-2%",0.0556,0
"41","B1","+10%",0.0554,-0.234
"42","B1","-10%",0.0557,0.234
"43","B2","+10%",0.0556,0.018
"44","B2","-10%",0.0556,-0.018
"45","depthA","+0.01ft",0.0556,0
"46","depthA","-0.01ft",0.0556,0
"47","depthB","+0.01ft",0.0556,0
"48","depthB","-0.01ft",0.0556,0
"49","depthC","+0.01ft",0.0556,0
"50","depthC","-0.01ft",0.0556,0
"51","depthD","+0.01ft",0.0556,0
"52","depthD","-0.01ft",0.0556,0.018
"53","depthE","+0.01ft",0.0556,0
"54","depthE","-0.01ft",0.0556,0
"55","depthA","+0.05ft",0.0556,0
"56","depthA","-0.05ft",0.0556,0
"57","depthB","+0.05ft",0.0556,0
"58","depthB","-0.05ft",0.0556,0
"59","depthC","+0.05ft",0.0556,0
"60","depthC","-0.05ft",0.0556,0
"61","depthD","+0.05ft",0.0556,-0.036
"62","depthD","-0.05ft",0.0556,0.036
"63","depthE","+0.05ft",0.0556,0
"64","depthE","-0.05ft",0.0556,0
"65","depthA","+0.1ft",0.0556,0
"66","depthA","-0.1ft",0.0556,0.018
"67","depthB","+0.1ft",0.0556,0
"68","depthB","-0.1ft",0.0556,0
"69","depthC","+0.1ft",0.0556,0
"70","depthC","-0.1ft",0.0556,0
"71","depthD","+0.1ft",0.0556,-0.054
"72","depthD","-0.1ft",0.0556,0.09
"73","depthE","+0.1ft",0.0556,0
"74","depthE","-0.1ft",0.0556,0
"75","depthA","+0.25ft",0.0556,-0.018
"76","depthA","-0.25ft",0.0568,2.25
"77","depthB","+0.25ft",0.0556,0
"78","depthB","-0.25ft",0.0578,3.98
"79","depthC","+0.25ft",0.0556,-0.036
"80","depthC","-0.25ft",0.0623,12.1
"81","depthD","+0.25ft",0.0555,-0.144
"82","depthD","-0.25ft",0.0554,-0.378
"83","depthE","+0.25ft",0.0556,0
"84","depthE","-0.25ft",0.0555,-0.216
"85","base","none",0.0556,0
