"","vName","Mod","Mean","dMean"
"1","qin","+10%",0.0327,-38.6
"2","qin","-10%",0.0738,38.6
"3","ecin","+10%",0.0532,0
"4","ecin","-10%",0.0532,0
"5","tin","+5C",0.0532,0
"6","tin","-5C",0.0532,0
"7","qout","+10%",0.0675,26.9
"8","qout","-10%",0.0389,-26.9
"9","ecout","+10%",0.0532,0
"10","ecout","-10%",0.0532,0
"11","tout","+5C",0.0532,0
"12","tout","-5C",0.0532,0
"13","qHOL","+20%",0.0594,11.6
"14","qHOL","-20%",0.047,-11.6
"15","qRFD","+20%",0.0558,4.85
"16","qRFD","-20%",0.0507,-4.85
"17","qFLS","+20%",0.0551,3.44
"18","qFLS","-20%",0.0514,-3.44
"19","qRFR","+20%",0.052,-2.29
"20","qRFR","-20%",0.0545,2.29
"21","qTIM","+15%",0.0496,-6.91
"22","qTIM","-15%",0.0569,6.89
"23","qFLY","+20%",0.0785,47.4
"24","qFLY","-20%",0.028,-47.4
"25","qCAN","+15%",0.0523,-1.69
"26","qCAN","-15%",0.0541,1.69
"27","qCON","+20%",0.0569,6.8
"28","qCON","-20%",0.0496,-6.8
"29","qHRC","+20%",0.0525,-1.43
"30","qHRC","-20%",0.054,1.43
"31","qWTP","+15%",0.0531,-0.263
"32","qWTP","-15%",0.0534,0.263
"33","p","+25%",0.0531,-0.319
"34","p","-25%",0.0534,0.319
"35","et","+0.98mm",0.0544,2.24
"36","et","-0.98mm",0.052,-2.24
"37","u2","+0.5mps",0.0532,-0.0939
"38","u2","-0.5mps",0.0533,0.0939
"39","RHmin","+2%",0.0532,0
"40","RHmin","-2%",0.0532,0
"41","B1","+10%",0.054,1.37
"42","B1","-10%",0.0525,-1.37
"43","B2","+10%",0.0531,-0.244
"44","B2","-10%",0.0534,0.244
"45","depthA","+0.01ft",0.0532,0
"46","depthA","-0.01ft",0.0532,0
"47","depthB","+0.01ft",0.0532,0
"48","depthB","-0.01ft",0.0532,0
"49","depthC","+0.01ft",0.0532,0.0188
"50","depthC","-0.01ft",0.0532,-0.0376
"51","depthD","+0.01ft",0.0533,0.0376
"52","depthD","-0.01ft",0.0532,-0.0376
"53","depthE","+0.01ft",0.0532,0.0188
"54","depthE","-0.01ft",0.0532,-0.0188
"55","depthA","+0.05ft",0.0533,0.0376
"56","depthA","-0.05ft",0.0532,-0.0376
"57","depthB","+0.05ft",0.0532,0.0188
"58","depthB","-0.05ft",0.0532,-0.0188
"59","depthC","+0.05ft",0.0533,0.131
"60","depthC","-0.05ft",0.0532,-0.15
"61","depthD","+0.05ft",0.0533,0.15
"62","depthD","-0.05ft",0.0532,-0.169
"63","depthE","+0.05ft",0.0533,0.0563
"64","depthE","-0.05ft",0.0532,-0.0751
"65","depthA","+0.1ft",0.0533,0.0563
"66","depthA","-0.1ft",0.0532,-0.0751
"67","depthB","+0.1ft",0.0532,0.0188
"68","depthB","-0.1ft",0.0532,-0.0376
"69","depthC","+0.1ft",0.0534,0.244
"70","depthC","-0.1ft",0.0531,-0.319
"71","depthD","+0.1ft",0.0534,0.301
"72","depthD","-0.1ft",0.053,-0.394
"73","depthE","+0.1ft",0.0533,0.131
"74","depthE","-0.1ft",0.0532,-0.15
"75","depthA","+0.25ft",0.0533,0.15
"76","depthA","-0.25ft",0.0538,0.977
"77","depthB","+0.25ft",0.0533,0.0563
"78","depthB","-0.25ft",0.0548,2.87
"79","depthC","+0.25ft",0.0535,0.563
"80","depthC","-0.25ft",0.0585,9.88
"81","depthD","+0.25ft",0.0536,0.676
"82","depthD","-0.25ft",0.0553,3.79
"83","depthE","+0.25ft",0.0534,0.282
"84","depthE","-0.25ft",0.0528,-0.751
"85","base","none",0.0532,0
