"","d025","dmn","d975","s025","smn","s975","DiffofMean"
"$Q_{ARKCATCO}$&",1.699,15.29,53.66,1.699,15.29,53.66,0
"$Q_{CANSWKCO}$&",0.0538,0.4575,1.189,0.0538,0.4575,1.189,0
"$Q_{CONDITCO}$&",0,1.251,3.531,0,1.251,3.531,0
"$Q_{FLSCANCO}$&",0,2.542,11.77,0,2.542,11.77,0
"$Q_{FLYCANCO}$&",0,8.501,26.18,0,8.501,26.18,0
"$Q_{HOLCANCO}$&",0,1.962,9.838,0,1.962,9.838,0
"$Q_{HRC194CO}$&",0.09345,0.2906,0.8778,0.09345,0.2906,0.8778,0
"$Q_{RFDMANCO}$&",0,0.9073,1.669,0,0.9073,1.669,0
"$Q_{RFDRETCO}$&",0,0.4271,0.7592,0,0.4271,0.7592,0
"$Q_{TIMSWICO}$&",0.3681,1.864,4.163,0.3681,1.864,4.163,0
"$Q_{La Junta WWTP}$&",0.05421,0.08081,0.1245,0.05421,0.08081,0.1245,0
"$Q_{ARKLASCO}$&",0.9061,7.136,26.75,0.9061,7.136,26.75,0
"$EC_{ARKCATCO}$&",0.4893,1.026,1.58,0.4893,1.026,1.58,0
"$EC_{ARKLASCO}$&",0.8772,1.894,2.79,0.8772,1.894,2.79,0
"$T_{ARKCATCO}$&",0.193,12.86,25.1,0.193,12.86,25.1,0
"$T_{ARKLASCO}$&",0.5075,13.4,25.95,0.5075,13.4,25.95,0
"$h_{A}$&",0.2286,0.566,1.155,0.2286,0.566,1.155,0
"$h_{B}$&",0.1798,0.4473,0.9707,0.1798,0.4473,0.9707,0
"$h_{C}$&",0.1646,0.4175,0.823,0.1646,0.4175,0.823,0
"$h_{D}$&",0.1615,0.4461,1.11,0.1615,0.4461,1.11,0
"$h_{E}$&",0.2286,0.5433,1.088,0.2286,0.5433,1.088,0
"$ET_{Ref}$&",0.001103,0.00571,0.01169,0.001103,0.00571,0.01169,0
"$P$&",0,0.000832,0.007963,0,0.000832,0.007963,0
"$RH_{Min}$&",7.1,27.67,74.52,7.1,27.67,74.52,0
"$U_{2}$&",0.9731,2.265,5.29,0.9731,2.265,5.29,0
