"","d025","dmn","d975","s025","smn","s975","DiffofMean"
"$dot{M}_{Inlet}$&",1.856,9.573,22.93,1.871,9.561,22.77,-0.125
"$dot{M}_{CANSWKCO}$&",0.06297,0.4129,1.245,0.06308,0.4108,1.193,-0.509
"$dot{M}_{CONDITCO}$&",0,0.9339,2.27,0,0.9395,2.168,0.6
"$dot{M}_{FLSCANCO}$&",0,2.839,12.42,0,2.853,12.21,0.493
"$dot{M}_{FLYCANCO}$&",0,5.531,18.48,0,5.567,18.42,0.651
"$dot{M}_{HOLCANCO}$&",0,1.021,5.017,0,1.025,5.012,0.392
"$dot{M}_{HRC194CO}$&",0.1467,0.3103,0.5597,0.1514,0.3085,0.5055,-0.58
"$dot{M}_{RFDCANCO}$&",0,0.3098,0.7873,0,0.3087,0.7616,-0.355
"$dot{M}_{RFDRETCO}$&",0,0.3098,0.7873,0,0.3087,0.7616,-0.355
"$dot{M}_{TIMSWICO}$&",0.5482,1.255,2.429,0.5702,1.174,2.115,-6.45
"$dot{M}_{La Junta WWTP}$&",0.05199,0.1405,0.2923,0.07535,0.1427,0.2695,1.57
"$dot{M}_{Outlet}$&",0.9978,5.242,11.21,1.027,5.203,10.29,-0.744
